Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date,Last_Update
8601,Hamster Tarou,GB,99,Simulation,Jorudan  ,Jorudan  ,,,N/,0.30,N/,N/,0.30,29th Oct 99  ,
8602,Star Saviors,PC,,Shooter,Unknown  ,Sharpened Edge Studios  ,,,0.30,N/,N/,N/,N/,,15th Feb 19
8603,Capcom Classics Collection Remixed,PSP,06,Misc,Capcom  ,Digital Eclipse  ,,7.7  ,N/,0.30,0.27,0.00,N/,22nd Mar 06  ,
8604,Shark Tale,GC,04,Action,Activision  ,Edge of Reality  ,,,N/,0.30,0.23,0.06,N/,27th Sep 04  ,
8605,Radiant Historia,DS,11,Role-Playing,Atlus  ,Atlus Co.  ,8.8  ,8.5  ,N/,0.30,0.19,N/,0.09,22nd Feb 11  ,
8606,Guitar Hero: Van Halen,X360,09,Misc,Activision  ,Neversoft Entertainment  ,,6.2  ,N/,0.30,0.16,0.10,N/,22nd Dec 09  ,
8607,MLB SlugFest Loaded,PS2,04,Sports,Midway Games  ,Point of View  ,,,N/,0.30,0.14,0.11,N/,23rd Jun 04  ,
8608,Batman: The Brave and the Bold the Videogame,DS,10,Action,Warner Bros. Interactive  ,WayForward Technologies  ,7.3  ,7.5  ,N/,0.30,0.23,0.04,N/,07th Sep 10  ,
8609,Dreamworks Madagascar Kartz,PS3,09,Racing,Activision  ,Sidhe Interactive  ,,,N/,0.30,0.19,0.07,N/,27th Oct 09  ,
8610,Pit People,PC,18,Strategy,The Behemoth  ,The Behemoth  ,,,0.30,N/,N/,N/,N/,02nd Mar 18  ,11th Sep 18
8611,Dark and Light,PC,,Role-Playing,Unknown  ,Snail Games USA  ,,,0.30,N/,N/,N/,N/,,15th Feb 19
8612,Teenage Mutant Ninja Turtles,XB,03,Action,Konami  ,Konami  ,,,N/,0.30,0.22,0.06,N/,21st Oct 03  ,
8613,Phineas and Ferb Ride Again,DS,10,Action,Disney Interactive Studios  ,Altron  ,,,N/,0.30,0.24,0.03,N/,14th Sep 10  ,
8614,Sniper Elite 4,XOne,17,Shooter,Rebellion Developments  ,Rebellion Developments  ,,,N/,0.30,0.18,0.09,N/,14th Feb 17  ,29th May 18
8615,FIFA 13,3DS,12,Sports,EA Sports  ,EA Canada  ,,,N/,0.30,0.06,0.21,N/,25th Sep 12  ,06th Apr 18
8616,I Spy: Spooky Mansion,Wii,10,Puzzle,Storm City Games  ,Storm City Games  ,,,N/,0.30,0.27,N/,N/,19th Oct 10  ,
8617,N3: Ninety-Nine Nights,X360,06,Action,Microsoft Game Studios  ,Q Entertainment / Phantagram  ,,6.3  ,N/,0.30,0.20,0.03,0.05,15th Aug 06  ,
8618,Syphon Filter: Dark Mirror,PSP,06,Shooter,Sony Computer Entertainment  ,SCEA Bend Studio  ,,8.5  ,N/,0.30,0.26,0.01,N/,14th Mar 06  ,
8619,Bejeweled 3,PC,10,Puzzle,PopCap Games  ,PopCap Games  ,,8.1  ,0.30,N/,N/,N/,N/,07th Dec 10  ,
8620,AMF Bowling 2004,XB,03,Sports,Mud Duck Productions  ,Bethesda Softworks  ,,,N/,0.30,0.22,0.06,N/,01st Dec 03  ,
8621,Harry Potter and the Order of the Phoenix,X360,07,Adventure,Electronic Arts  ,EA Games  ,,,N/,0.30,0.24,0.03,N/,25th Jun 07  ,
8622,Scooby-Doo! Night of 100 Frights,GC,02,Platform,THQ  ,Heavy Iron Studios  ,,,N/,0.30,0.23,0.06,N/,16th Sep 02  ,
8623,MySims SkyHeroes,Wii,10,Action,Electronic Arts  ,The Sims Studio  ,,6.4  ,N/,0.30,0.16,0.10,N/,28th Sep 10  ,
8624,The Walking Dead: Season Two,PS4,14,Misc,Telltale Games  ,Unknown  ,,,N/,0.30,0.13,0.09,0.03,21st Oct 14  ,
8625,There's Poop In My Soup,PC,,Action,Unknown  ,K Bros Games  ,,,0.29,N/,N/,N/,N/,,15th Feb 19
8626,Imagine: Makeup Artist,DS,20,Simulation,Ubisoft  ,Global A Entertainment  ,,,N/,0.29,0.27,N/,N/,31st Dec 20  ,
8627,Sword Art Online: Fatal Bullet,PS4,18,Role-Playing,Namco Bandai Games  ,Dimps Corporation  ,6.0  ,,N/,0.29,0.11,0.03,0.13,23rd Feb 18  ,23rd Feb 18
8628,Spider-Man: Friend or Foe,X360,07,Action,Activision  ,Next Level Games  ,,5.9  ,N/,0.29,0.26,0.01,N/,02nd Oct 07  ,
8629,RealSports Boxing,2600,87,Sports,Atari  ,Atari  ,,,N/,0.29,0.28,0.02,N/,01st Jan 87  ,
8630,Grandia II,PS2,02,Role-Playing,Ubisoft  ,Game Arts  ,,7.4  ,N/,0.29,0.14,0.11,N/,28th Jan 02  ,
8631,Lego Star Wars: The Force Awakens,WiiU,16,Action-Adventure,Warner Bros. Interactive Entertainment  ,TT Fusion  ,,,N/,0.29,0.12,0.13,0.02,28th Jun 16  ,31st Mar 18
8632,Blood Bowl 2,PC,,Sports,Unknown  ,Cyanide Studios  ,,,0.29,N/,N/,N/,N/,,15th Feb 19
8633,Front Mission Evolved,PS3,10,Shooter,Square Enix  ,Double Helix Games  ,,,N/,0.29,0.09,0.07,0.11,28th Sep 10  ,
8634,Fable: The Journey,X360,12,Role-Playing,Microsoft Studios  ,Lionhead Studios  ,,,N/,0.29,0.19,0.08,N/,09th Oct 12  ,12th Aug 18
8635,Need for Speed Underground,GBA,03,Racing,Electronic Arts  ,Pocketeers  ,,,N/,0.29,0.21,0.08,N/,18th Dec 03  ,
8636,Power Pro Kun Pocket 4,GBA,02,Sports,Konami  ,Diamond Head  ,,,N/,0.29,N/,N/,0.29,02nd Mar 02  ,
