Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date,Last_Update
66901,Yodanji,NS,17,Role-Playing,Kemco  ,Kemco  ,,,N/,N/,N/,N/,N/,07th Dec 17  ,26th Mar 18
66902,Yohane the Parhelion: Blaze in the Deepblue,NS,,Action,Unknown  ,Inti Creates  ,6.5  ,,N/,N/,N/,N/,N/,,26th Jun 23
66903,Yohane the Parhelion: Blaze in the Deepblue,PC,,Action,Unknown  ,Inti Creates  ,,,N/,N/,N/,N/,N/,,26th Jun 23
66904,Yohane the Parhelion: Blaze in the Deepblue,PS4,,Action,Unknown  ,Inti Creates  ,,,N/,N/,N/,N/,N/,,26th Jun 23
66905,Yohane the Parhelion: Blaze in the Deepblue,PS5,,Action,Unknown  ,Inti Creates  ,,,N/,N/,N/,N/,N/,,26th Jun 23
66906,Yohane the Parhelion: Blaze in the Deepblue,XOne,,Action,Unknown  ,Inti Creates  ,,,N/,N/,N/,N/,N/,,26th Jun 23
66907,Yohane the Parhelion: Blaze in the Deepblue,XS,,Action,Unknown  ,Inti Creates  ,,,N/,N/,N/,N/,N/,,26th Jun 23
66908,Yokai Watch 4,NS,19,Role-Playing,Level 5  ,Level 5  ,,,N/,N/,N/,N/,N/,20th Jun 19  ,15th May 19
66909,Yomawari: Lost in the Dark,PS4,,Action-Adventure,Unknown  ,Nippon Ichi Software  ,8.0  ,,N/,N/,N/,N/,N/,,31st May 22
66910,Yomawari: Lost in the Dark,NS,,Action-Adventure,Unknown  ,Nippon Ichi Software  ,,,N/,N/,N/,N/,N/,,31st May 22
66911,Yomawari: Lost in the Dark,All,,Action-Adventure,Unknown  ,Nippon Ichi Software  ,,,N/,N/,N/,N/,N/,,31st May 22
66912,Yomawari: Night Alone,All,16,Adventure,NIS America  ,Nippon Ichi Software  ,,,N/,N/,N/,N/,N/,25th Oct 16  ,03rd Feb 21
66913,Yono and the Celestial Elephants,NS,17,Adventure,Plug In Digital  ,Neckbolt  ,,,N/,N/,N/,N/,N/,12th Oct 17  ,26th Mar 18
66914,Yooka-Laylee,NS,17,Platform,Team17 Digital Ltd  ,Playtonic Games  ,,,N/,N/,N/,N/,N/,14th Dec 17  ,31st May 18
66915,Yooka-Laylee,Series,17,Platform,Team 17  ,Playtonic Games  ,,,N/,N/,N/,N/,N/,11th Apr 17  ,15th Mar 20
66916,Yooka-Laylee,All,17,Platform,Team17  ,Playtonic Games  ,,,N/,N/,N/,N/,N/,11th Apr 17  ,24th Jan 21
66917,Yooka-Laylee and the Impossible Lair,PS4,19,Platform,Team 17  ,Playtonic Games  ,,,N/,N/,N/,N/,N/,08th Oct 19  ,08th Jun 19
66918,Yooka-Laylee and the Impossible Lair,XOne,19,Platform,Team 17  ,Playtonic Games  ,,,N/,N/,N/,N/,N/,08th Oct 19  ,08th Jun 19
66919,Yooka-Laylee and the Impossible Lair,NS,19,Platform,Team 17  ,Playtonic Games  ,8.0  ,,N/,N/,N/,N/,N/,08th Oct 19  ,08th Jun 19
66920,Yooka-Laylee and the Impossible Lair,PC,19,Platform,Team 17  ,Playtonic Games  ,,,N/,N/,N/,N/,N/,08th Oct 19  ,08th Jun 19
66921,Yooka-Replaylee,XS,,Platform,Unknown  ,Playtonic Games  ,,,N/,N/,N/,N/,N/,,03rd Apr 25
66922,Yooka-Replaylee,PS5,,Platform,Unknown  ,Playtonic Games  ,,,N/,N/,N/,N/,N/,,03rd Apr 25
66923,Yooka-Replaylee,XOne,,Platform,Unknown  ,Playtonic Games  ,,,N/,N/,N/,N/,N/,,03rd Apr 25
66924,Yooka-Replaylee,PC,,Platform,Unknown  ,Playtonic Games  ,,,N/,N/,N/,N/,N/,,03rd Apr 25
66925,Yooka-Replaylee,NS2,,Platform,Unknown  ,Playtonic Games  ,,,N/,N/,N/,N/,N/,,03rd Apr 25
66926,"Yoru, Tomosu",PS4,20,Visual Novel,Nippon Ichi Software  ,Nippon Ichi Software  ,,,N/,N/,N/,N/,N/,30th Jul 20  ,09th May 20
66927,"Yoru, Tomosu",NS,20,Visual Novel,Nippon Ichi Software  ,Nippon Ichi Software  ,,,N/,N/,N/,N/,N/,30th Jul 20  ,09th May 20
66928,Yoshi and the Mysterious Book,NS2,26,Platform,Nintendo  ,Nintendo  ,,,N/,N/,N/,N/,N/,21st May 26  ,22nd Sep 25
66929,Young Souls,XOne,,Action,Unknown  ,1P2P  ,,,N/,N/,N/,N/,N/,,09th Feb 22
66930,Young Souls,PS4,,Action,Unknown  ,1P2P  ,,,N/,N/,N/,N/,N/,,09th Feb 22
66931,Young Souls,PC,,Action,Unknown  ,1P2P  ,,,N/,N/,N/,N/,N/,,09th Feb 22
66932,Young Souls,NS,,Action,Unknown  ,1P2P  ,6.5  ,,N/,N/,N/,N/,N/,,09th Feb 22
66933,Ys IX: Monstrum Nox,PS4,19,Role-Playing,Falcom Corporation  ,Falcom  ,8.0  ,,N/,N/,N/,N/,N/,26th Sep 19  ,24th Mar 19
66934,Ys IX: Monstrum Nox,PC,,Role-Playing,Unknown  ,Nihon Falcom Corporation  ,,,N/,N/,N/,N/,N/,,30th Jul 21
66935,Ys IX: Monstrum Nox,NS,21,Role-Playing,NIS America  ,Nihon Falcom Corporation  ,,,N/,N/,N/,N/,N/,06th Jul 21  ,30th Jul 21
66936,Ys Memoire: Revelations in Celceta,NS,,Role-Playing,Unknown  ,Nihon Falcom Corporation  ,,,N/,N/,N/,N/,N/,,21st Mar 26
66937,Ys Memoire: The Oath in Felghana,PS5,,Role-Playing,Unknown  ,Nihon Falcom Corporation  ,,,N/,N/,N/,N/,N/,,05th Dec 24
66938,Ys Memoire: The Oath in Felghana,PS4,,Role-Playing,Unknown  ,Nihon Falcom Corporation  ,,,N/,N/,N/,N/,N/,,05th Dec 24
66939,Ys Memoire: The Oath in Felghana,NS,,Role-Playing,Unknown  ,Nihon Falcom Corporation  ,,,N/,N/,N/,N/,N/,,05th Dec 24
66940,Ys Origin,XOne,,Role-Playing,Unknown  ,Nihon Falcom Corporation  ,,,N/,N/,N/,N/,N/,,21st Feb 18
66941,Ys Origin,NS,20,Role-Playing,DotEmu  ,Falcom  ,,,N/,N/,N/,N/,N/,01st Oct 20  ,02nd Dec 20
66942,Ys VIII: Lacrimosa of Dana,PC,18,Role-Playing,NIS America  ,Falcom  ,,,N/,N/,N/,N/,N/,31st Dec 18  ,10th Jan 18
66943,Ys vs. Trails in the Sky: Alternative Saga,PS5,,Fighting,Unknown  ,Nihon Falcom Corporation  ,,,N/,N/,N/,N/,N/,,18th Oct 25
66944,Ys vs. Trails in the Sky: Alternative Saga,PS4,,Fighting,Unknown  ,Nihon Falcom Corporation  ,,,N/,N/,N/,N/,N/,,18th Oct 25
66945,Ys vs. Trails in the Sky: Alternative Saga,PC,,Fighting,Unknown  ,Nihon Falcom Corporation  ,,,N/,N/,N/,N/,N/,,18th Oct 25
66946,Ys vs. Trails in the Sky: Alternative Saga,NS,,Fighting,Unknown  ,Nihon Falcom Corporation  ,,,N/,N/,N/,N/,N/,,18th Oct 25
66947,Ys X: Nordics,PS5,,Role-Playing,Unknown  ,Nihon Falcom Corporation  ,7.0  ,,N/,N/,N/,N/,N/,,24th Apr 24
66948,Ys X: Nordics,PS4,,Role-Playing,Unknown  ,Nihon Falcom Corporation  ,,,N/,N/,N/,N/,N/,,24th Apr 24
66949,Ys X: Nordics,PC,,Role-Playing,Unknown  ,Nihon Falcom Corporation  ,,,N/,N/,N/,N/,N/,,24th Apr 24
66950,Ys X: Nordics,NS,,Role-Playing,Unknown  ,Nihon Falcom Corporation  ,,,N/,N/,N/,N/,N/,,24th Apr 24
66951,Ys X: Proud Nordics,NS2,25,Role-Playing,Nihon Falcom Corp   ,Nihon Falcom Corporation  ,,,N/,N/,N/,N/,N/,31st Jul 25  ,28th Apr 25
66952,Ys: Memories of Celceta - Kai,PS4,20,Role-Playing,Xseed Games  ,Nihon Falcom Corporation  ,8.0  ,,N/,N/,N/,N/,N/,09th Jun 20  ,14th May 19
66953,Yu Yu Hakusho Tournament Tactics,GBA,04,Strategy,Atari  ,Sensory Sweep Studios  ,,,N/,N/,N/,N/,N/,18th Nov 04  ,30th Dec 17
66954,Yu-Gi-Oh! Cross Duel,iOS,,Strategy,Unknown  ,Konami  ,,,N/,N/,N/,N/,N/,,12th Oct 22
66955,Yu-Gi-Oh! Cross Duel,And,,Strategy,Unknown  ,Konami  ,,,N/,N/,N/,N/,N/,,12th Oct 22
66956,Yu-Gi-Oh! Duel Links,PC,,Strategy,Unknown  ,Konami  ,,,N/,N/,N/,N/,N/,,12th Oct 22
66957,Yu-Gi-Oh! Duel Links,And,,Strategy,Unknown  ,Konami  ,,,N/,N/,N/,N/,N/,,12th Oct 22
66958,Yu-Gi-Oh! EARLY DAYS COLLECTION,NS,,Strategy,Unknown  ,Digital Eclipse  ,,,N/,N/,N/,N/,N/,,18th Feb 25
66959,Yu-Gi-Oh! EARLY DAYS COLLECTION,PC,,Strategy,Unknown  ,Digital Eclipse  ,,,N/,N/,N/,N/,N/,,18th Feb 25
66960,Yu-Gi-Oh! Legacy of the Duelist,PS4,15,Strategy,Konami  ,Other Ocean Interactive  ,,,N/,N/,N/,N/,N/,31st Jul 15  ,20th Apr 19
66961,Yu-Gi-Oh! Legacy of the Duelist,XOne,15,Strategy,Konami  ,Other Ocean Interactive  ,,,N/,N/,N/,N/,N/,31st Jul 15  ,20th Apr 19
66962,Yu-Gi-Oh! Legacy of the Duelist: Link Evolution,NS,19,Strategy,Konami  ,Other Ocean Interactive  ,,,N/,N/,N/,N/,N/,31st Aug 19  ,20th Apr 19
66963,Yu-Gi-Oh! Master Duel,PC,22,Strategy,Konami  ,Konami  ,,,N/,N/,N/,N/,N/,19th Jan 22  ,21st Feb 22
66964,Yu-Gi-Oh! Master Duel,PS4,22,Strategy,Konami  ,Konami  ,,,N/,N/,N/,N/,N/,19th Jan 22  ,21st Feb 22
66965,Yu-Gi-Oh! Master Duel,PS5,22,Strategy,Konami  ,Konami  ,,,N/,N/,N/,N/,N/,19th Jan 22  ,21st Feb 22
66966,Yu-Gi-Oh! Master Duel,NS,22,Strategy,Konami  ,Konami  ,,,N/,N/,N/,N/,N/,18th Jan 22  ,21st Feb 22
66967,Yu-Gi-Oh! Master Duel,XOne,22,Strategy,Konami  ,Konami  ,,,N/,N/,N/,N/,N/,19th Jan 22  ,21st Feb 22
66968,Yu-Gi-Oh! Master Duel,XS,22,Strategy,Konami  ,Konami  ,,,N/,N/,N/,N/,N/,19th Jan 22  ,21st Feb 22
66969,Yu-Gi-Oh! RUSH DUEL: Dawn of the Battle Royale!!,NS,,Board Game,Unknown  ,Konami  ,,,N/,N/,N/,N/,N/,,13th Oct 22
