Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date,Last_Update
13101,Barbie and The Three Musketeers,DS,09,Adventure,Activision  ,Activision  ,,,N/,0.13,0.12,0.00,N/,03rd Nov 09  ,
13102,Hitman 2: Silent Assassin,GC,03,Action,Eidos Interactive  ,IO Interactive  ,,8.3  ,N/,0.13,0.10,0.03,N/,19th Jun 03  ,
13103,"Warhammer 40,000: Regicide",PC,15,Strategy,Hammerfall Publishing  ,Hammerfall Publishing  ,,,0.13,N/,N/,N/,N/,08th Sep 15  ,29th Mar 19
13104,"Linea, the Game",PC,16,Action,KHB-Soft  ,KHB-Soft  ,,,0.13,N/,N/,N/,N/,04th Jan 16  ,21st Apr 19
13105,Puyo Puyo!! 20th Anniversary,3DS,11,Puzzle,Sega  ,Sonic Team  ,,,N/,0.13,N/,N/,0.13,15th Dec 11  ,
13106,Ape Escape 3,PS2,06,Platform,Sony Computer Entertainment  ,SCE Japan Studio  ,,7.8  ,N/,0.13,0.06,0.05,N/,17th Jan 06  ,16th Sep 18
13107,Digimon Racing,GBA,04,Racing,Bandai  ,Griptonite Games  ,,6.0  ,N/,0.13,0.09,0.03,N/,13th Sep 04  ,
13108,Cucumber Blues,PC,17,Action-Adventure,Unknown  ,Unknown  ,,,0.13,N/,N/,N/,N/,03rd Apr 17  ,21st Apr 19
13109,"Crouching Tiger, Hidden Dragon",PS2,03,Action,Ubisoft  ,Light Weight  ,,,N/,0.13,0.06,0.05,N/,09th Oct 03  ,
13110,Eat Lead: The Return of Matt Hazard,PS3,09,Shooter,D3 Publisher  ,Vicious Cycle  ,,5.3  ,N/,0.13,0.09,0.02,0.00,26th Feb 09  ,
13111,Family Fortunes,Wii,09,Misc,Mindscape  ,Mindscape  ,,,N/,0.13,N/,0.12,N/,23rd Oct 09  ,
13112,Last Bronx,SAT,97,Fighting,Sega  ,Sega  ,,,N/,0.13,N/,N/,0.13,30th Sep 97  ,
13113,Bootombaa,PC,17,Adventure,cada  ,Naarassusi Game  ,,,0.13,N/,N/,N/,N/,09th Mar 17  ,21st Apr 19
13114,Dungreed,PC,18,Action,TEAM HORAY  ,TEAM HORAY  ,,,0.13,N/,N/,N/,N/,15th Feb 18  ,21st Apr 19
13115,Obduction,PC,16,Adventure,Cyan Worlds  ,Cyan Worlds  ,,,0.13,N/,N/,N/,N/,24th Aug 16  ,21st Apr 19
13116,Iridion II,GBA,03,Shooter,Majesco  ,Shin'en GmbH  ,,7.9  ,N/,0.13,0.09,0.03,N/,29th May 03  ,
13117,Momotaro Douchuuki,SAT,97,Misc,Hudson Soft  ,SIMS  ,,,N/,0.13,N/,N/,0.13,25th Sep 97  ,
13118,Watch Dogs,WiiU,14,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,,,N/,0.13,0.07,0.05,N/,18th Nov 14  ,15th Mar 18
13119,Borderlands: Double Game Add-On Pack,X360,10,Shooter,2K Games  ,Gearbox Software  ,,,N/,0.13,0.10,0.02,N/,06th Apr 10  ,
13120,My Baby: First Steps,Wii,09,Simulation,SouthPeak Interactive  ,Nobilis  ,,,N/,0.13,0.12,0.00,N/,03rd Nov 09  ,
13121,Whiplash,PS2,03,Platform,Eidos Interactive  ,Crystal Dynamics  ,,,N/,0.13,0.06,0.05,N/,18th Nov 03  ,
13122,Steel Battalion: Heavy Armor,X360,12,Simulation,Capcom  ,From Software  ,,,N/,0.13,0.08,0.02,0.02,19th Jun 12  ,
13123,Star Wars: Lethal Alliance,PSP,06,Adventure,Ubisoft  ,Ubisoft Montreal  ,,6.3  ,N/,0.13,0.11,0.01,N/,07th Dec 06  ,
13124,Runestone Keeper,PC,15,Role-Playing,Blackfire Games  ,Blackfire Games  ,,,0.13,N/,N/,N/,N/,23rd Mar 15  ,21st Apr 19
13125,Street Fighter IV,PC,09,Fighting,Capcom  ,Capcom / Dimps Corporation  ,,9.1  ,N/,0.13,0.07,0.05,N/,07th Jul 09  ,
13126,Summon Night: Twin Age,DS,08,Role-Playing,Atlus  ,Flight-Plan  ,,7.3  ,N/,0.13,0.07,N/,0.05,03rd Jun 08  ,
13127,Cataegis : The White Wind,PC,15,Action,Kiss  ,Acido Cinza  ,,,0.13,N/,N/,N/,N/,25th Sep 15  ,21st Apr 19
13128,Golf Club 2,PS4,17,Sports,Maximum Games  ,HB Studios  ,,,N/,0.13,0.05,0.06,N/,27th Jun 17  ,03rd Jul 18
13129,Eye of the Beholder,All,,Role-Playing,Unknown  ,Westwood Associates  ,,,0.13,N/,N/,N/,N/,,24th Mar 21
13130,Rango: The Video Game,X360,11,Action,Paramount Digital Entertainment  ,Behaviour Studios  ,,,N/,0.13,0.06,0.06,N/,01st Mar 11  ,
13131,NBA Live 16,XOne,15,Sports,EA Sports  ,EA Tiburon  ,,,N/,0.13,0.11,0.01,N/,29th Sep 15  ,30th May 18
13132,Puppies 3D,3DS,11,Misc,Ubisoft  ,Ubisoft  ,,,N/,0.13,0.08,0.04,N/,08th Nov 11  ,
13133,Destroy All Humans! Path of the Furon,X360,08,Action,THQ  ,Sandblast Games  ,,4.1  ,N/,0.13,0.08,0.04,N/,02nd Dec 08  ,
13134,Margot's Word Brain,Wii,08,Puzzle,Zoo Digital Publishing  ,Slam Games  ,,,N/,0.13,0.12,0.00,N/,23rd Sep 08  ,
13135,Army Men: Soldiers of Misfortune,Wii,08,Shooter,Zoo Games  ,"Big Blue Bubble, Inc.  ",,,N/,0.13,0.12,N/,N/,10th Oct 08  ,
13136,Spider-Man: Battle for New York,DS,06,Platform,Activision  ,Torus Games  ,,,N/,0.13,0.12,N/,N/,14th Nov 06  ,
13137,Pop'n Music Portable,PSP,10,Misc,Konami  ,Konami  ,,,N/,0.13,N/,N/,0.13,04th Feb 10  ,
13138,SoulCalibur II (JP weekly data),PS2,03,Fighting,Namco  ,Namco  ,,,N/,0.13,N/,N/,0.13,27th Aug 03  ,
13139,Nintendo Puzzle Collection,GC,,Puzzle,Unknown  ,Intelligent Systems  ,,,N/,0.13,N/,N/,0.13,,
13140,Tales of Destiny 2,PSP,07,Role-Playing,Namco Bandai  ,Namco Tales Studio  ,,,0.13,N/,N/,N/,N/,15th Feb 07  ,
13141,Otogi: Myth of Demons,XB,03,Action,Sega  ,From Software  ,,,N/,0.13,0.08,0.02,0.03,27th Aug 03  ,
13142,Victorious: Time to Shine,X360,11,Action,D3 Publisher  ,High Voltage Software  ,,,N/,0.13,0.12,N/,N/,15th Nov 11  ,
13143,Alter Echo,PS2,03,Shooter,THQ  ,Outrage Games  ,,,N/,0.13,0.06,0.05,N/,19th Aug 03  ,
13144,Deepak Chopra's Leela,X360,11,Misc,THQ  ,Curious Pictures  ,,,N/,0.13,0.07,0.05,N/,08th Nov 11  ,
13145,Walt Disney Pictures Presents: The Wild,GBA,06,Platform,Buena Vista  ,Climax Group  ,,,N/,0.13,0.09,0.03,N/,08th Sep 06  ,
13146,Deception IV: Blood Ties,PS3,14,Action,Tecmo Koei  ,Tecmo Koei Games  ,,,N/,0.13,0.03,0.02,0.07,25th Mar 14  ,09th Nov 18
13147,DreamWorks Super Star Kartz,DS,11,Racing,Activision  ,Activision  ,,,N/,0.13,0.08,0.03,N/,15th Nov 11  ,
13148,Puzzle de Harvest Moon,DS,07,Puzzle,Natsume  ,Platinum Egg  ,,,N/,0.13,0.12,N/,N/,06th Nov 07  ,
13149,Hero of the Kingdom,PC,12,Role-Playing,Lonely Troops  ,Lonely Troops  ,,,0.13,N/,N/,N/,N/,20th Dec 12  ,21st Apr 19
