Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date,Last_Update
22601,Breath: Toiki wa Akaneiro,DS,08,Adventure,Success  ,Success  ,,,N/,0.00,N/,N/,0.00,26th Jun 08  ,
22602,Final Fantasy XI: The Vana'diel Collection,X360,07,Role-Playing,Square Enix  ,Square Enix  ,,,N/,0.00,0.00,N/,N/,22nd Nov 07  ,
22603,Age of Pirates 2: City of Abandoned Ships,PC,09,Role-Playing,Playlogic Game Factory  ,Akella  ,,,N/,0.00,0.00,N/,N/,26th May 09  ,
22604,Mortal Kombat Advance,GBA,01,Fighting,Midway Games  ,Virtucraft  ,,,N/,0.00,0.00,0.00,N/,12th Dec 01  ,
22605,Saikin Koishiteru?,DS,09,Adventure,D3 Publisher  ,Microvision  ,,,N/,0.00,N/,N/,0.00,30th Jul 09  ,
22606,The Godfather,PC,06,Action,Electronic Arts  ,Headgate  ,,,N/,0.00,N/,0.00,N/,21st Mar 06  ,
22607,Driving Theory Training 2009/2010 Edition,DS,09,Misc,Atari  ,Anuman Interactive  ,,,N/,0.00,N/,0.00,N/,28th Aug 09  ,
22608,Tiny Token Empires,PC,11,Strategy,THQ  ,BiP media  ,,,N/,0.00,0.00,N/,N/,18th Oct 11  ,02nd Jan 19
22609,Magical Zunou Power!!,DS,08,Action,D3 Publisher  ,D3 Publisher  ,,,N/,0.00,N/,N/,0.00,25th Dec 08  ,
22610,Raven's Cry,PS3,15,Role-Playing,TopWare Interactive  ,Reality Pump Studios  ,,,N/,0.00,N/,0.00,N/,30th Jan 15  ,30th Jul 18
22611,Sakai Burai Kaiji: Death or Survival,DS,08,Adventure,Compile Heart  ,Compile Heart  ,,,N/,0.00,N/,N/,0.00,25th Sep 08  ,
22612,Strike Force Hydra,GBA,04,Shooter,AIA  ,Awesome Developments  ,,,N/,0.00,0.00,0.00,N/,27th Oct 04  ,
22613,Dungeons 2,PC,15,Role-Playing,Kalypso Media  ,Realmforge Studios  ,,,N/,0.00,N/,0.00,N/,24th Apr 15  ,
22614,LEGO Island 2: The Brickster's Revenge,GBA,01,Adventure,LEGO Media  ,Silicon Dreams  ,,,N/,0.00,0.00,0.00,N/,02nd Oct 01  ,
22615,ScreamRide,X360,15,Simulation,Microsoft Studios  ,Frontier Developments  ,,,N/,0.00,N/,0.00,N/,03rd Mar 15  ,24th Apr 18
22616,The Hidden Mystery Collectives: Mystic Diary 1 & 2,PC,11,Puzzle,Unknown  ,Big Fish Games  ,,,N/,0.00,N/,0.00,N/,05th Aug 11  ,
22617,Deception IV: The Nightmare Princess,PS4,15,Action,Tecmo Koei  ,Koei Tecmo Games  ,,,N/,0.00,N/,0.00,N/,14th Jul 15  ,01st Aug 18
22618,Dokapon: Monster Hunter,GBA,01,Role-Playing,AIA  ,"Asmik Ace Entertainment, Inc  ",,6.4  ,N/,0.00,0.00,0.00,N/,30th Oct 01  ,
22619,ArmA: Gold,PC,08,Strategy,Atari  ,Atari  ,,,N/,0.00,N/,0.00,N/,26th Feb 08  ,
22620,Shrek Smash n' Crash Racing,DS,07,Racing,Activision  ,Torus Games  ,,,N/,0.00,N/,0.00,N/,09th Mar 07  ,
22621,World Snooker Championship: Season 2007-08,DS,07,Sports,Blade Interactive  ,Blade Interactive  ,,,N/,0.00,N/,0.00,N/,26th Oct 07  ,
22622,Jungle Party,PSP,10,Misc,Sony Computer Entertainment  ,SCEE  ,,,N/,0.00,N/,0.00,N/,05th Nov 10  ,
22623,Ora ga Omae o Mamoru,DS,09,Platform,Idea Factory  ,Vingt-et-un Systems  ,,,N/,0.00,N/,N/,0.00,21st May 09  ,
22624,Antz Extreme Racing,GBA,02,Racing,Empire Interactive  ,Magic Pockets  ,,,N/,0.00,0.00,0.00,N/,20th Nov 02  ,
22625,Mystery P.I.: The Lottery Ticket,PC,07,Puzzle,PopCap Games  ,SpinTop Games  ,,,N/,0.00,N/,0.00,N/,18th Jul 07  ,
22626,Fallout 2,PC,98,Role-Playing,Interplay  ,Black Isle Studios  ,,9.2  ,N/,0.00,N/,0.00,N/,30th Sep 98  ,
22627,PC Engine Best Collection: Soldier Collection,PSP,08,Shooter,Hudson Soft  ,Hudson Soft  ,,,N/,0.00,N/,N/,0.00,25th Sep 08  ,
