Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date,Last_Update
6501,Bomberman Hero,N64,98,Platform,Nintendo  ,AI  ,,,N/,0.47,0.27,0.06,0.08,01st Sep 98  ,
6502,Despicable Me: The Game,All,10,Action-Adventure,D3 Publisher  ,D3Publisher  ,,,0.47,N/,N/,N/,N/,06th Jul 10  ,19th Nov 20
6503,Doom 64,N64,97,Shooter,Midway Games  ,Midway Studios San Diego  ,,7.4  ,N/,0.47,0.38,0.08,N/,31st Mar 97  ,
6504,Gods Eater Burst,PSP,11,Action,D3 Publisher  ,Shift  ,,7.1  ,0.47,N/,N/,N/,N/,15th Mar 11  ,
6505,Momotarou Dentetsu V,PS,99,Misc,Hudson Entertainment  ,Hudson  ,,,N/,0.47,N/,N/,0.44,16th Dec 99  ,
6506,Quest 64,N64,98,Role-Playing,THQ  ,Imagineer  ,,5.4  ,N/,0.47,0.38,0.08,N/,11th Jun 98  ,
6507,Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb,3DS,12,Misc,Namco Bandai Games  ,Bandai Namco Games  ,,,0.47,N/,N/,N/,N/,12th Jul 12  ,08th Jan 18
6508,Crash: Mind Over Mutant,X360,08,Platform,Activision  ,Radical Entertainment  ,,,N/,0.47,0.22,0.20,N/,21st Oct 08  ,
6509,Commando,2600,88,Action,Activision  ,Data East  ,,,N/,0.47,0.44,0.02,N/,01st Jan 88  ,
6510,Viva Pinata: Trouble in Paradise,X360,08,Simulation,Microsoft Game Studios  ,Rare Ltd.  ,,8.5  ,N/,0.47,0.16,0.25,0.01,02nd Sep 08  ,
6511,NBA Ballers: Phenom,PS2,06,Sports,Midway Games  ,Midway  ,,,N/,0.47,0.23,0.18,N/,05th Apr 06  ,
6512,Need for Speed Carbon,XB,06,Racing,Electronic Arts  ,EA Black Box  ,,7.9  ,N/,0.47,0.35,0.10,N/,31st Oct 06  ,
6513,Payday 2,PS3,13,Shooter,505 Games  ,Overkill Software  ,,,N/,0.47,0.24,0.15,N/,13th Aug 13  ,08th Jan 18
6514,Silent Hill: Shattered Memories,Wii,09,Adventure,Konami  ,Climax Group  ,8.9  ,7.3  ,N/,0.47,0.22,0.19,0.01,08th Dec 09  ,
6515,FlingSmash,Wii,10,Action,Nintendo  ,Artoon  ,,3.8  ,N/,0.47,0.37,0.01,0.07,07th Nov 10  ,
6516,Emergency Heroes,Wii,08,Racing,Ubisoft  ,Ubisoft Barcelona / Ubisoft Reflections  ,,,N/,0.47,0.14,0.27,N/,27th May 08  ,
6517,Deadpool,PS4,15,Action,Activision  ,High Moon Studios  ,,,N/,0.47,0.26,0.13,N/,18th Nov 15  ,10th Oct 18
6518,Running with Rifles,PC,15,Shooter,Modulaatio Games  ,Modulaatio Games  ,,,0.47,N/,N/,N/,N/,02nd Apr 15  ,
6519,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS4,17,Action,Square Enix  ,Omega Force  ,,,N/,0.47,0.05,0.09,0.30,25th Apr 17  ,
6520,MTV Music Generator,PS,99,Misc,Codemasters  ,Jester Interactive  ,,,N/,0.47,0.26,0.18,N/,30th Nov 99  ,
6521,Hamsterz Life,DS,06,Action,Ubisoft  ,Unknown  ,,,N/,0.47,0.43,0.01,N/,28th Nov 06  ,
6522,"Warhammer 40,000: Dawn of War II",PC,09,Strategy,THQ  ,Relic  ,,8.7  ,N/,0.47,N/,0.45,N/,19th Feb 09  ,
6523,Super Momotarou Dentetsu DX,SNES,95,Misc,Hudson Soft  ,Hudson Soft  ,,,N/,0.47,N/,N/,0.47,08th Dec 95  ,
6524,World Soccer Winning Eleven 8: Liveware Evolution,PS2,05,Sports,Konami  ,Konami Computer Entertainment Tokyo  ,,,N/,0.47,N/,N/,0.47,24th Mar 05  ,
6525,TrackMania Turbo,PS4,16,Racing,Ubisoft  ,Nadeo  ,,,N/,0.47,0.04,0.35,N/,22nd Mar 16  ,29th May 18
6526,Madden NFL 17,X360,16,Sports,EA Sports  ,EA Tiburon  ,,,N/,0.47,0.37,0.05,N/,23rd Aug 16  ,01st Apr 18
6527,Cars: Race-O-Rama,PS2,09,Racing,THQ  ,Rainbow Studios  ,,,N/,0.47,0.27,0.03,N/,13th Oct 09  ,
6528,Final Fantasy Crystal Chronicles: Echoes of Time,DS,09,Role-Playing,Square Enix  ,Square Enix  ,7.9  ,7.7  ,N/,0.47,0.12,0.06,0.27,24th Mar 09  ,
