Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date,Last_Update
4101,Lego Batman 3: Beyond Gotham,X360,14,Action,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,,,N/,0.94,0.48,0.37,N/,11th Nov 14  ,01st Dec 18
4102,MLB 2000,PS,99,Sports,Sony Computer Entertainment  ,989 Sports  ,,,N/,0.94,0.52,0.35,N/,28th Feb 99  ,
4103,EA Sports Active 2,PS3,10,Sports,Electronic Arts  ,EA Vancouver  ,,8.0  ,N/,0.94,0.54,0.27,N/,16th Nov 10  ,
4104,The Sims 2,DS,05,Simulation,Electronic Arts  ,Maxis  ,,,N/,0.94,0.81,0.05,N/,24th Oct 05  ,
4105,Prince of Persia: The Sands of Time,XB,03,Adventure,Ubisoft  ,Ubisoft Montreal  ,,9.0  ,N/,0.94,0.57,0.33,N/,12th Nov 03  ,
4106,Hot Shots Golf Fore!,PS2,04,Sports,Sony Computer Entertainment  ,Clap Hanz  ,,,N/,0.94,0.46,0.36,N/,17th Aug 04  ,
4107,MLB 06: The Show,PS2,06,Sports,Sony Computer Entertainment  ,SCEA San Diego Studios  ,,,N/,0.94,0.78,0.03,N/,28th Feb 06  ,
4108,Sniper: Ghost Warrior,PC,10,Shooter,City Interactive  ,City Interactive  ,,5.4  ,0.93,N/,N/,N/,N/,29th Jun 10  ,
4109,NHL 2003,PS2,02,Sports,EA Sports  ,EA Canada  ,,,N/,0.93,0.46,0.36,N/,30th Sep 02  ,
4110,SingStar Abba,PS3,08,Misc,Sony Computer Entertainment  ,SCEE London Studio  ,,,N/,0.93,0.27,0.51,N/,02nd Dec 08  ,
4111,MLB 12: The Show,PS3,12,Sports,Sony Computer Entertainment America  ,SCE San Diego Studio  ,8.9  ,,N/,0.93,0.86,N/,N/,06th Mar 12  ,
4112,Monster Trucks / Quad Desert Fury Double Value!,GBA,05,Racing,Majesco  ,Skyworks Technologies  ,,,N/,0.93,0.67,0.25,N/,25th Apr 05  ,
4113,Tony Hawk's Pro Skater 4,XB,02,Sports,Activision  ,Neversoft Entertainment  ,,,N/,0.93,0.59,0.30,N/,23rd Oct 02  ,
4114,Kingdom Hearts Re:coded,DS,11,Role-Playing,Square Enix  ,High Horse Entertainment  ,7.3  ,6.8  ,N/,0.93,0.53,0.09,0.27,11th Jan 11  ,
4115,FIFA Street (2012),X360,12,Sports,EA Sports  ,EA Canada  ,6.8  ,,N/,0.93,0.21,0.63,N/,13th Mar 12  ,31st Jan 18
4116,Guitar Hero: Metallica,Wii,09,Misc,Activision  ,BudCat Creations  ,,8.9  ,N/,0.93,0.40,0.43,N/,29th Mar 09  ,
4117,Fallout 76,XOne,18,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,,5.1  ,N/,0.93,0.59,0.26,N/,14th Nov 18  ,02nd Nov 18
4118,2 Games in 1 Double Pack: Finding Nemo / Monsters Inc.,GBA,05,Misc,THQ  ,Vicarious Visions  ,,,N/,0.93,0.67,0.25,N/,08th Jun 05  ,
4119,Monster High: Ghoul Spirit,DS,11,Adventure,THQ  ,THQ  ,,,N/,0.93,0.69,0.16,N/,25th Oct 11  ,
4120,Spider-Man,2600,82,Action,Parker Bros.  ,Parker Bros.  ,,,N/,0.93,0.87,0.05,N/,01st Jan 82  ,
4121,Castlevania II: Simon's Quest,NES,88,Platform,Konami  ,Konami  ,,,N/,0.93,0.45,0.06,0.42,01st Nov 88  ,
4122,Mega Man 4,NES,92,Platform,Capcom  ,Capcom  ,,,N/,0.93,0.51,0.09,0.32,01st Jan 92  ,
4123,Toy Story 2: Buzz Lightyear to the Rescue!,N64,99,Platform,Activision  ,Traveller's Tales  ,,,N/,0.93,0.71,0.20,N/,17th Nov 99  ,
4124,Build-A-Bear Workshop,DS,07,Simulation,Game Factory  ,Neko Entertainment  ,,,N/,0.93,0.85,0.01,N/,05th Nov 07  ,
4125,Bayonetta,X360,10,Action,Sega  ,PlatinumGames  ,9.1  ,8.9  ,N/,0.93,0.51,0.25,0.09,05th Jan 10  ,
4126,Teenage Mutant Ninja Turtles,GBA,03,Action,Konami  ,Konami  ,,,N/,0.93,0.67,0.25,N/,31st Oct 03  ,
4127,MLB 07: The Show,PS2,07,Sports,Sony Computer Entertainment  ,SCE San Diego Studio  ,,,N/,0.93,0.77,0.03,N/,26th Feb 07  ,04th Dec 18
4128,Cars,GC,06,Racing,THQ  ,Rainbow Studios  ,,7.6  ,N/,0.93,0.72,0.19,N/,06th Jun 06  ,
4129,Jak and Daxter Collection,PS3,12,Platform,Sony Computer Entertainment  ,Naughty Dog  ,,,N/,0.93,0.60,0.18,N/,07th Feb 12  ,
