Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date,Last_Update
53801,World of Outlaws: Sprint Cars,PS3,,Racing,Unknown  ,THQ  ,,,N/,N/,N/,N/,N/,,
53802,World of Outlaws: Sprint Cars,XBL,11,Racing,THQ  ,Big Ant Studios  ,,,N/,N/,N/,N/,N/,09th Aug 11  ,
53803,World of Pool,PSP,07,Sports,Ghostlight  ,Icon Games  ,,,N/,N/,N/,N/,N/,31st Aug 07  ,
53804,World of Pool,PSN,09,Misc,Ghostlight  ,Ghostlight  ,,,N/,N/,N/,N/,N/,19th Feb 09  ,
53805,World of Truck: The Ultimate Truck Collection,PC,14,Action,Avanquest Software  ,Unknown  ,,,N/,N/,N/,N/,N/,27th Oct 14  ,
53806,World of Warcraft,OSX,04,Misc,Blizzard Entertainment  ,Unknown  ,,,N/,N/,N/,N/,N/,23rd Nov 04  ,
53807,World of Warcraft: Warlords of Draenor,OSX,14,MMO,Blizzard Entertainment  ,Blizzard Entertainment  ,,,N/,N/,N/,N/,N/,13th Nov 14  ,11th Aug 18
53808,World of Warships,PC,15,Shooter,Wargaming.net  ,Wargaming.net  ,,,N/,N/,N/,N/,N/,17th Sep 15  ,
53809,World Poker Tour: Texas Hold 'Em,DSiW,10,Misc,Hands On Mobile  ,Hands-on Mobile  ,,,N/,N/,N/,N/,N/,24th May 10  ,
53810,World Racing,GC,04,Racing,TDK Mediactive  ,Synetic  ,,,N/,N/,N/,N/,N/,08th Apr 04  ,
53811,World Racing,PC,03,Racing,TDK Mediactive  ,Synetic  ,,,N/,N/,N/,N/,N/,19th Sep 03  ,
53812,World Racing,PS2,03,Racing,TDK Mediactive  ,Synetic  ,,,N/,N/,N/,N/,N/,19th Sep 03  ,
53813,World Revolution: The Last Defense,XBL,09,Shooter,Microsoft  ,xPox  ,,,N/,N/,N/,N/,N/,06th Jan 09  ,
