Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date,Last_Update
48001,SpellForce: Shadow of the Phoenix,PC,05,Strategy,JoWood Productions  ,EA Phenomic  ,,,N/,N/,N/,N/,N/,18th Feb 05  ,
48002,SpellForce: The Breath of Winter,PC,04,Strategy,JoWood Productions  ,EA Phenomic  ,,,N/,N/,N/,N/,N/,25th Jun 04  ,
48003,SpellForce: The Order of Dawn,PC,04,Strategy,Encore  ,Phenomic Game Development  ,,,N/,N/,N/,N/,N/,11th Feb 04  ,02nd Feb 18
48004,Spelljammer: Pirates of Realmspace,PC,92,Role-Playing,SSI  ,SSI  ,,,N/,N/,N/,N/,N/,01st Jan 92  ,
48005,"Spelltorn, Clash of Fates",And,14,Role-Playing,"2XL Games, Inc.  ","2XL Games, Inc.  ",,,N/,N/,N/,N/,N/,15th Aug 14  ,
48006,Spelunker,VC,08,Platform,Tozai Games  ,Micro Graphic Image  ,,,N/,N/,N/,N/,N/,17th Mar 08  ,
48007,Spelunker,NES,87,Platform,Broderbund  ,Micro Graphic Image  ,,,N/,N/,N/,N/,N/,01st Sep 87  ,
48008,Spelunker HD,PSN,10,Platform,Tozai Games  ,Irem Software Engineering  ,,,N/,N/,N/,N/,N/,23rd Nov 10  ,
48009,Spelunker II: Yuushahe no Chousen,NES,87,Role-Playing,Irem Software Engineering  ,Irem Software Engineering  ,,,N/,N/,N/,N/,N/,18th Sep 87  ,
48010,Spelunky,XBL,12,Platform,Microsoft  ,"Mossmouth, LLC  ",,,N/,N/,N/,N/,N/,04th Jul 12  ,
48011,Spelunky,PSV,13,Misc,Sony Computer Entertainment America  ,Unknown  ,,,N/,N/,N/,N/,N/,27th Aug 13  ,
48012,Spelunky,PS3,13,Misc,Sony Computer Entertainment America  ,Unknown  ,,,N/,N/,N/,N/,N/,27th Aug 13  ,
48013,Spice Road,PC,14,Misc,Unknown  ,Unknown  ,,,N/,N/,N/,N/,N/,24th Apr 14  ,
48014,Spider Fighter,2600,83,Shooter,Activision  ,Activision  ,,,N/,N/,N/,N/,N/,01st Jan 83  ,
48015,Spider-Man,DC,01,Action,Activision  ,Treyarch  ,,8.4  ,N/,N/,N/,N/,N/,19th Apr 01  ,
48016,Spider-Man,GG,92,Platform,Flying Edge  ,Bits Studios  ,,,N/,N/,N/,N/,N/,01st Jan 92  ,
48017,Spider-Man,MS,91,Platform,Sega  ,Sega  ,,,N/,N/,N/,N/,N/,01st Jan 91  ,
48018,Spider-Man,GB,00,Platform,Activision  ,Vicarious Visions  ,,,N/,N/,N/,N/,N/,31st Aug 00  ,
48019,Spider-Man,GEN,91,Platform,Sega  ,Recreational Brainware  ,,,N/,N/,N/,N/,N/,17th Oct 91  ,
48020,Spider-Man,PC,01,Action,Activision  ,Gray Matter  ,,,N/,N/,N/,N/,N/,17th Sep 01  ,
48021,Spider-Man,SNES,95,Platform,LJN  ,"Western Technologies, Inc.  ",,,N/,N/,N/,N/,N/,01st Feb 95  ,
48022,Spider-Man & Venom: Maximum Carnage,GEN,94,Action,Acclaim Entertainment  ,Software Creations  ,,,N/,N/,N/,N/,N/,18th Sep 94  ,
48023,Spider-Man & Venom: Maximum Carnage,SNES,94,Action,LJN  ,Software Creations  ,,,N/,N/,N/,N/,N/,01st Sep 94  ,
48024,Spider-Man / X-Men,GB,93,Platform,LJN  ,Unexpected Development  ,,,N/,N/,N/,N/,N/,01st Jan 93  ,
48025,Spider-Man 2,NGage,04,Action,Nokia  ,Activision  ,,5.8  ,N/,N/,N/,N/,N/,06th Jul 04  ,
48026,Spider-Man 2,PC,04,Action,Activision  ,The Fizz Factor  ,,4.5  ,N/,N/,N/,N/,N/,28th Jun 04  ,
48027,Spider-Man 2 Activity Center,PC,04,Misc,Activision Value  ,Unknown  ,,,N/,N/,N/,N/,N/,28th Jun 04  ,
48028,Spider-Man 2: The Sinister Six,GB,01,Platform,Activision  ,Torus Games  ,,,N/,N/,N/,N/,N/,30th May 01  ,
48029,Spider-Man 3,GBA,07,Platform,Activision  ,Vicarious Visions  ,,6.9  ,N/,N/,N/,N/,N/,04th May 07  ,
48030,Spider-Man 3: Invasion of the Spider-Slayers,GB,93,Platform,LJN  ,Bits Studios  ,,,N/,N/,N/,N/,N/,01st Jul 93  ,
48031,Spider-Man and the X-Men: Arcade's Revenge,SNES,92,Platform,LJN  ,Software Creations  ,,,N/,N/,N/,N/,N/,01st Jan 92  ,
48032,Spider-Man and the X-Men: Arcade's Revenge,GG,92,Action,Flying Edge  ,Flying Edge  ,,,N/,N/,N/,N/,N/,01st Jan 92  ,
48033,Spider-Man and Venom: Separation Anxiety,SNES,95,Action,Acclaim Entertainment  ,Software Creations  ,,,N/,N/,N/,N/,N/,01st Nov 95  ,
48034,Spider-Man and Venom: Separation Anxiety,GEN,95,Action,Acclaim Entertainment  ,Software Creations  ,,,N/,N/,N/,N/,N/,21st Jun 95  ,
48035,Spider-Man and Venom: Separation Anxiety,PC,95,Action,Acclaim Entertainment  ,Software Creations  ,,,N/,N/,N/,N/,N/,01st Jan 95  ,
48036,Spider-Man the Animated Series,GEN,93,Platform,Acclaim Entertainment  ,Acclaim Entertainment  ,,,N/,N/,N/,N/,N/,01st Jan 93  ,
48037,Spider-Man/X-Men: Arcade's Revenge,GEN,86,Platform,Acclaim Entertainment  ,Software Creations  ,,,N/,N/,N/,N/,N/,01st Jan 86  ,
48038,Spider-Man: Battle for New York,GBA,06,Platform,Activision  ,Torus Games  ,,,N/,N/,N/,N/,N/,14th Nov 06  ,
48039,Spider-Man: Lethal Foes,SNES,95,Action,Epoch  ,Agenda  ,,,N/,N/,N/,N/,N/,17th Mar 95  ,
48040,Spider-Man: Return of the Sinister Six,GG,93,Platform,Flying Edge  ,Bits Studios  ,,,N/,N/,N/,N/,N/,01st Jan 93  ,
48041,Spider-Man: Return of the Sinister Six,MS,92,Platform,Flying Edge  ,Bits Studios  ,,,N/,N/,N/,N/,N/,01st Jan 92  ,
48042,Spider-Man: Return of the Sinister Six,NES,92,Platform,LJN  ,Bits Studios  ,,,N/,N/,N/,N/,N/,01st Oct 92  ,
48043,Spider-Man: The Movie,PC,02,Action,Activision  ,Gray Matter  ,,,N/,N/,N/,N/,N/,14th Apr 02  ,
48044,Spider-Man: The Sinister Six,PC,96,Action,Unknown  ,Brooklyn Multimedia  ,,,N/,N/,N/,N/,N/,01st Jan 96  ,
48045,Spiderdroid,2600,83,Action,Unknown  ,Froggo  ,,,N/,N/,N/,N/,N/,01st Jan 83  ,
48046,SpiderEvader,XBL,09,Misc,Microsoft  ,SRH  ,,,N/,N/,N/,N/,N/,29th Sep 09  ,
48047,Spike's Peak,2600,83,Action,Atari  ,Atari  ,,,N/,N/,N/,N/,N/,01st Jan 83  ,
48048,SPIKEY WALLS,WiiU,14,Action,RCMADIAX  ,RCMADIAX  ,,,N/,N/,N/,N/,N/,18th Sep 14  ,05th Jan 18
48049,Spin Jam,PSN,08,Puzzle,Empire Interactive  ,Empire Interactive  ,,,N/,N/,N/,N/,N/,06th Nov 08  ,
48050,Spin Master,VC,10,Platform,D4 Enterprise  ,Data East  ,,,N/,N/,N/,N/,N/,22nd Nov 10  ,
48051,Spin Pair,PCE,90,Puzzle,Media Rings  ,Media Rings  ,,,N/,N/,N/,N/,N/,14th Dec 90  ,
48052,Spin Six,DSiW,10,Puzzle,Nintendo  ,Zener Works  ,,,N/,N/,N/,N/,N/,21st Jun 10  ,
48053,Spin the Bottle: Bumpie's Party,WiiU,20,Misc,KnapNok Games  ,Unknown  ,7.0  ,,N/,N/,N/,N/,N/,31st Dec 20  ,
48054,Spindizzy Worlds,SNES,93,Platform,ASCII Entertainment  ,ASCII Entertainment  ,,,N/,N/,N/,N/,N/,01st Mar 93  ,
48055,Spinout,PSN,09,Racing,Ghostlight  ,Icon Games  ,,,N/,N/,N/,N/,N/,19th Mar 09  ,
48056,Spiral Knights,PC,11,Role-Playing,Sega  ,Three Rings  ,8.0  ,8.0  ,N/,N/,N/,N/,N/,04th Apr 11  ,
