Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date,Last_Update
49201,Super Trump Collection 2,SNES,96,Misc,Bottom Up  ,Bottom Up  ,,,N/,N/,N/,N/,N/,19th Jul 96  ,
49202,Super Turrican,VC,08,Platform,Factor 5  ,Factor 5  ,,,N/,N/,N/,N/,N/,03rd Mar 08  ,
49203,Super Turrican,SNES,93,Platform,Seika   ,Factor 5  ,,,N/,N/,N/,N/,N/,01st May 93  ,
49204,Super Turrican,NES,93,Platform,Imagineer  ,Rainbow Arts  ,,,N/,N/,N/,N/,N/,22nd Jul 93  ,
49205,Super Turrican 2,VC,08,Platform,Nintendo  ,Factor 5  ,,,N/,N/,N/,N/,N/,29th Sep 08  ,
49206,Super Turrican 2,SNES,95,Platform,Ocean  ,Factor 5  ,,,N/,N/,N/,N/,N/,01st Nov 95  ,
49207,Super Ultra Baseball 2,SNES,94,Sports,Culture Brain  ,Culture Brain  ,,,N/,N/,N/,N/,N/,28th Jul 94  ,
49208,Super UNO,SNES,93,Misc,Tomy Corporation  ,Tomy Corporation  ,,,N/,N/,N/,N/,N/,12th Nov 93  ,
49209,Super Valis IV,SNES,93,Platform,Atlus  ,Laser Soft  ,,,N/,N/,N/,N/,N/,01st Feb 93  ,
49210,Super Volleyball,PCE,90,Sports,NEC  ,Micronics  ,,,N/,N/,N/,N/,N/,01st Jan 90  ,
49211,Super Volleyball,GEN,91,Sports,Video System  ,Micronics  ,,,N/,N/,N/,N/,N/,01st Jan 91  ,
49212,Super Widget,SNES,93,Platform,Atlus  ,Atlus Co.  ,,,N/,N/,N/,N/,N/,01st Sep 93  ,
49213,Super Win the Game,Linux,15,Misc,Minor Key Games  ,Unknown  ,,,N/,N/,N/,N/,N/,01st Jan 15  ,
49214,Super Win the Game,OSX,15,Misc,Minor Key Games  ,Unknown  ,,,N/,N/,N/,N/,N/,01st Jan 15  ,
49215,Super Win the Game,PC,15,Misc,Minor Key Games  ,Unknown  ,,,N/,N/,N/,N/,N/,01st Jan 15  ,
49216,Super Wing Commander,3DO,94,Simulation,Electronic Arts  ,"Origin Systems, Inc  ",,,N/,N/,N/,N/,N/,01st Jan 94  ,
49217,Super Worms,PC,95,Racing,Wiering Software  ,Wiering Software  ,,,N/,N/,N/,N/,N/,01st Jan 95  ,
49218,Super Xblox 360!,XBL,09,Puzzle,Microsoft  ,GIGGITYGIGG1TY  ,,,N/,N/,N/,N/,N/,21st Jul 09  ,
49219,Super Xevious: Ganpu no Nazo,NES,86,Shooter,Namco  ,Namco  ,,,N/,N/,N/,N/,N/,19th Sep 86  ,
49220,Super Yum Yum: Puzzle Adventures,DSiW,10,Puzzle,Mastertronic  ,AirPlay  ,,3.0  ,N/,N/,N/,N/,N/,29th Mar 10  ,
49221,Super Zugan 2: Tsukanpo Fighter,SNES,94,Misc,J-Wing  ,J-Wing  ,,,N/,N/,N/,N/,N/,30th Dec 94  ,
49222,Super Zugan: Hakotenjou kara no Shoutai,SNES,94,Misc,Electronic Arts Victor  ,Electronic Arts  ,,,N/,N/,N/,N/,N/,11th Feb 94  ,
49223,Super-Bikes: Riding Challenge,PS2,06,Racing,Black Bean Games  ,Milestone S.r.l.  ,,,N/,N/,N/,N/,N/,15th Sep 06  ,
49224,Super-Bikes: Riding Challenge,PC,06,Racing,Black Bean Games  ,Milestone S.r.l.  ,,,N/,N/,N/,N/,N/,22nd Sep 06  ,
49225,Superbike '99,PC,,Racing,Unknown  ,EA Sports  ,,,N/,N/,N/,N/,N/,,
49226,Superbike 2000,PC,00,Racing,EA Sports  ,Milestone  ,,,N/,N/,N/,N/,N/,29th Feb 00  ,
49227,Superbike 2001,PC,00,Racing,EA Sports  ,EA Sports  ,,,N/,N/,N/,N/,N/,09th Oct 00  ,
49228,Superbike Challenge,PC,,Racing,Unknown  ,Midas Interactive Entertainment  ,,,N/,N/,N/,N/,N/,,
