Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date,Last_Update
53601,Wizball,C64,87,Misc,Ocean Software  ,Unknown  ,,,N/,N/,N/,N/,N/,01st Jan 87  ,
53602,Wizorb,XBL,,Action,Unknown  ,Tribute Games  ,,,N/,N/,N/,N/,N/,,
53603,Woah Dave!,3DS,14,Action,Gaijin Games Inc.  ,Gaijin Games Inc.  ,5.7  ,,N/,N/,N/,N/,N/,30th Oct 14  ,
53604,Woah Dave!,PS4,15,Action,Gaijin Games Inc.  ,Gaijin Games Inc.  ,,,N/,N/,N/,N/,N/,31st Mar 15  ,
53605,Woah Dave!,PSV,15,Action,Gaijin Games Inc.  ,Gaijin Games Inc.  ,,,N/,N/,N/,N/,N/,06th Jan 15  ,
53606,Wolf Fang: Koukiba 2001,PS,96,Shooter,Xing Entertainment  ,Data East  ,,,N/,N/,N/,N/,N/,10th May 96  ,
53607,Wolf Fang: Koukiba 2001 SS,SAT,97,Shooter,Xing Entertainment  ,Data East  ,,,N/,N/,N/,N/,N/,28th Mar 97  ,
53608,Wolf of the Battlefield: Commando (Arcade),VC,10,Shooter,Capcom  ,Capcom  ,,,N/,N/,N/,N/,N/,06th Dec 10  ,
53609,Wolf of the Battlefield: Commando 3,XBL,08,Action,Capcom  ,Backbone Emeryville  ,,6.0  ,N/,N/,N/,N/,N/,11th Jun 08  ,
53610,Wolf of the Battlefield: Commando 3,PSN,08,Action,Capcom  ,Backbone Emeryville  ,,6.0  ,N/,N/,N/,N/,N/,06th Jun 08  ,
53611,Wolfchild,GG,93,Platform,Virgin Interactive  ,Core Design Ltd.  ,,,N/,N/,N/,N/,N/,01st Jan 93  ,
53612,Wolfchild,SCD,93,Platform,JVC  ,Core Design Ltd.  ,,,N/,N/,N/,N/,N/,18th Jan 93  ,
53613,Wolfchild,MS,93,Platform,Virgin Interactive  ,Core Design Ltd.  ,,,N/,N/,N/,N/,N/,01st Jan 93  ,
53614,Wolfchild,GEN,93,Platform,JVC  ,Core Design Ltd.  ,,,N/,N/,N/,N/,N/,01st Jan 93  ,
