Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date,Last_Update
7201,The Gunstringer,X360,11,Shooter,Microsoft Studios  ,Twisted Pixel Games  ,7.4  ,7.6  ,N/,0.40,0.26,0.10,N/,13th Sep 11  ,29th Sep 18
7202,Battalion Wars,GC,05,Strategy,Nintendo  ,Kuju Entertainment  ,,,N/,0.40,0.25,0.07,0.07,19th Sep 05  ,
7203,NBA ShootOut 2000,PS,99,Sports,989 Studios  ,989 Sports  ,,,N/,0.40,0.22,0.15,N/,30th Nov 99  ,
7204,Power Rangers: Dino Thunder,GC,04,Action,THQ  ,Pacific Coast Power & Light  ,,5.3  ,N/,0.40,0.31,0.08,N/,14th Sep 04  ,
7205,Wall-E,PS3,08,Platform,THQ  ,Heavy Iron Studios  ,,,N/,0.40,0.12,0.21,N/,24th Jun 08  ,
7206,Samurai Shodown,SNES,94,Fighting,Takara  ,Takara  ,,,N/,0.40,N/,N/,0.40,01st Nov 94  ,
7207,Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009,DS,09,Action,Konami  ,Konami  ,8.3  ,7.5  ,N/,0.40,0.27,0.01,0.09,19th May 09  ,
7208,Sid Meier's Civilization: Beyond Earth,PC,14,Simulation,2K Games  ,Firaxis Games  ,,,N/,0.40,0.14,0.23,N/,24th Oct 14  ,16th Oct 18
7209,Disney Sing It! High School Musical 3: Senior Year,PS3,09,Misc,Disney Interactive Studios  ,Zoe Mode  ,,,N/,0.40,0.08,0.26,N/,17th Feb 09  ,
7210,MLB 15: The Show,PS3,15,Sports,Sony Computer Entertainment America  ,SCE San Diego Studio  ,,,N/,0.40,0.32,0.01,N/,31st Mar 15  ,01st May 18
7211,James Cameron's Avatar: The Game,DS,09,Action,Ubisoft  ,Ubisoft Montreal  ,,6.4  ,N/,0.40,0.18,0.18,N/,01st Dec 09  ,
7212,Salt and Sanctuary,PC,16,Role-Playing,Ska Studios  ,Ska Studios  ,,,0.40,N/,N/,N/,N/,15th Mar 16  ,10th Feb 19
7213,LEGO The Hobbit,PC,14,Action-Adventure,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,,,0.40,N/,N/,N/,N/,08th Apr 14  ,15th Mar 18
7214,Fighting Vipers,SAT,96,Fighting,Sega  ,Sega-AM2  ,,8.0  ,N/,0.40,N/,N/,0.40,30th Nov 96  ,
7215,NCAA GameBreaker 2000,PS,99,Sports,989 Studios  ,Red Zone Entertainment  ,,,N/,0.40,0.22,0.15,N/,31st Jul 99  ,
7216,Transformers: Fall of Cybertron,PS3,12,Action,Activision  ,High Moon Studios  ,,,N/,0.40,0.19,0.15,N/,21st Aug 12  ,
7217,The Legend of Spyro: Dawn of the Dragon,PS2,08,Platform,Sierra Entertainment  ,Etranges Libellules  ,,,N/,0.40,0.12,0.01,N/,21st Oct 08  ,
7218,Monster Trucks Mayhem,Wii,09,Racing,Zoo Games  ,Team6 Game Studios  ,,,N/,0.40,0.38,N/,N/,15th Sep 09  ,
7219,AKB1/48: Idol to Koishitara...,PSP,10,Misc,Namco Bandai  ,Bandai Namco Games  ,,,0.40,N/,N/,N/,N/,23rd Dec 10  ,
7220,ArmA: Armed Assault,PC,,Shooter,Unknown  ,Bohemia Interactive Studio  ,,,0.40,N/,N/,N/,N/,,
7221,Caesar III,All,98,Simulation,Sierra Studios  ,Impressions Games  ,,,0.40,N/,N/,N/,N/,30th Sep 98  ,18th Mar 21
7222,Dynasty Warriors 8,All,13,Action,Tecmo Koei  ,Omega Force  ,,,0.40,N/,N/,N/,N/,16th Jul 13  ,16th Oct 20
7223,Fate/Stay Night,PC,04,Adventure,Type-Moon  ,Type-Moon  ,,,0.40,N/,N/,N/,N/,30th Jan 04  ,
7224,God Wars,Series,17,Role-Playing,Kadokawa Games  ,Kadokawa Games  ,,,0.40,N/,N/,N/,N/,20th Jun 17  ,17th Feb 20
7225,Gray Zone Warfare,PC,24,Shooter,MADFINGER Games  ,MADFINGER Games  ,,,0.40,N/,N/,N/,N/,30th Apr 24  ,02nd May 24
7226,Gundam Breaker,All,13,Action,Namco Bandai Games  ,Namco Bandai Games  ,,,0.40,N/,N/,N/,N/,27th Jun 13  ,23rd Nov 20
7227,Imperialism,All,97,Strategy,Strategic Simulations  ,Frog City Software  ,,,0.40,N/,N/,N/,N/,03rd Sep 97  ,13th Mar 21
7228,Imperialism II: Age of Exploration,All,99,Strategy,Strategic Simulations  ,Frog City Software  ,,,0.40,N/,N/,N/,N/,01st Apr 99  ,13th Mar 21
7229,IndyCar Racing,PC,93,Simulation,Papyrus  ,Papyrus Design Group  ,,,0.40,N/,N/,N/,N/,01st Jan 93  ,
7230,John Madden Football,GEN,90,Sports,Electronic Arts  ,Park Place Productions  ,,,0.40,N/,N/,N/,N/,01st Jan 90  ,
7231,Jurassic Park: Operation Genesis,All,03,Simulation,Universal Interactive  ,Blue Tongue Entertainment  ,,,0.40,N/,N/,N/,N/,10th Mar 03  ,19th Jan 21
7232,"King's Quest VI: Heir Today, Gone Tomorrow",All,92,Adventure,Sierra Online   ,Sierra On-Line  ,,,0.40,N/,N/,N/,N/,13th Oct 92  ,03rd Apr 21
7233,M1 Tank Platoon,PC,89,Simulation,Microprose  ,MicroProse  ,,,0.40,N/,N/,N/,N/,01st Jan 89  ,
7234,Magic: The Gathering,PC,97,Misc,Atari  ,MicroProse  ,,,0.40,N/,N/,N/,N/,28th Feb 97  ,
7235,MDK,All,97,Shooter,Playmates  ,Shiny Entertainment  ,,,0.40,N/,N/,N/,N/,05th May 97  ,30th Mar 21
7236,Mortal Kombat Mythologies: Sub-Zero,N64,97,Fighting,Midway Games  ,Avalanche Software  ,,,N/,0.40,0.32,0.07,N/,08th Dec 97  ,
7237,NFL Quarterback Club 2000,N64,99,Sports,Acclaim Entertainment  ,Iguana Entertainment  ,,,N/,0.40,0.37,0.03,N/,31st Aug 99  ,
7238,Outcast,PC,99,Adventure,Infogrames  ,Appeal  ,,,0.40,N/,N/,N/,N/,01st Aug 99  ,
7239,Police Quest: SWAT 2,PC,98,Strategy,Sierra Entertainment  ,Yosemite Entertainment  ,,,0.40,N/,N/,N/,N/,30th Jun 98  ,
7240,Project X Zone,3DS,13,Role-Playing,Namco Bandai Games  ,Banpresto  ,5.5  ,6.5  ,0.40,N/,N/,N/,N/,25th Jun 13  ,17th Jan 18
7241,Realms of Arkania III: Shadows over Riva,PC,97,Role-Playing,Sirtech  ,Attic Entertainment Software GmbH  ,,,0.40,N/,N/,N/,N/,31st May 97  ,
7242,Root Letter,All,16,Visual Novel,PQube  ,Kadokawa Games  ,,,0.40,N/,N/,N/,N/,10th Nov 16  ,30th Jan 21
7243,RR64: Ridge Racer 64,N64,00,Racing,Nintendo  ,Nintendo Software Technology Corporation  ,,,N/,0.40,0.32,0.07,N/,14th Feb 00  ,
7244,Sid Meier's Railroad Tycoon Deluxe,All,90,Simulation,Microprose  ,MPS Labs  ,,,0.40,N/,N/,N/,N/,01st Jan 90  ,12th Mar 21
7245,Tales of Zesteria,PS3,15,Misc,Namco Bandai Games  ,Unknown  ,,,0.40,N/,N/,N/,N/,20th Oct 15  ,
7246,Temple of Apshai,All,79,Role-Playing,Automated Simulations  ,Automated Simulations  ,,,0.40,N/,N/,N/,N/,01st Aug 79  ,07th Apr 21
7247,The Dukes of Hazzard: Racing for Home,PS,99,Racing,SouthPeak Interactive  ,Sinister Games  ,,,0.40,N/,N/,N/,N/,30th Nov 99  ,
7248,The Emperor's New Groove,All,00,Platform,Sony Computer Entertainment  ,Argonaut Games  ,,,0.40,N/,N/,N/,N/,13th Nov 00  ,05th Jul 21
7249,The Hitchhiker's Guide to the Galaxy,PC,84,Adventure,Infocom  ,"Infocom, Inc.  ",,,0.40,N/,N/,N/,N/,01st Jan 84  ,
7250,The Settlers,PC,93,Strategy,SSI  ,Blue Byte  ,,,0.40,N/,N/,N/,N/,01st Jan 93  ,
7251,Top Gear Rally,N64,97,Racing,Kemco  ,Boss Game Studios  ,,,N/,0.40,0.32,0.07,N/,01st Oct 97  ,
7252,Ultima IV: Quest of the Avatar,All,85,Role-Playing,Origin Systems  ,Origin Systems  ,,,0.40,N/,N/,N/,N/,01st Nov 85  ,15th Mar 21
7253,Under a Killing Moon,PC,94,Adventure,Access Software  ,Access Software  ,,,0.40,N/,N/,N/,N/,31st Oct 94  ,
7254,X-COM: UFO Defense,All,94,Strategy,Microprose  ,Mythos Games  ,,,0.40,N/,N/,N/,N/,01st Mar 94  ,23rd Apr 21
7255,18 Wheeler: American Pro Trucker,PS2,01,Racing,Acclaim Entertainment  ,Acclaim Studios Cheltenham  ,,6.0  ,N/,0.40,0.20,0.15,N/,14th Nov 01  ,
7256,Atari Anthology,PS2,04,Misc,Atari  ,Digital Eclipse  ,,,N/,0.40,0.33,0.01,N/,22nd Nov 04  ,
7257,Bugs Bunny: Lost in Time,PS,99,Platform,Infogrames  ,Behaviour Interactive Inc.  ,,7.0  ,N/,0.40,0.22,0.15,N/,31st May 99  ,
7258,Marvel: Ultimate Alliance,Wii,06,Role-Playing,Activision  ,Vicarious Visions  ,,6.9  ,N/,0.40,0.36,0.01,N/,14th Nov 06  ,
7259,Hot Wheels: Beat That!,PS2,07,Racing,Activision  ,Eutechnyx  ,,,N/,0.40,0.20,0.15,N/,25th Sep 07  ,
