Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date,Last_Update
13501,Solitaire & Mahjong,Wii,09,Puzzle,Crave Entertainment  ,Crave Entertainment  ,,,N/,0.12,0.11,N/,N/,17th Feb 09  ,
13502,Looney Tunes: Sheep Raider,PS,01,Platform,Infogrames  ,Infogrames  ,,,N/,0.12,0.07,0.05,N/,27th Sep 01  ,
13503,"Sumikko Gurashi: Koko, Dokonan Desu?",3DS,17,Puzzle,Nippon Columbia  ,Nippon Columbia  ,,,N/,0.12,N/,N/,0.12,20th Jul 17  ,03rd Jul 18
13504,SD Gundam G Generation Genesis,PSV,16,Strategy,Namco Bandai Games  ,Bandai Namco  ,,,N/,0.12,N/,N/,0.12,22nd Nov 16  ,16th Jan 18
13505,Dynasty Warriors 8: Xtreme Legends,PSV,14,Misc,Tecmo Koei  ,Unknown  ,,,N/,0.12,0.03,0.03,0.05,25th Mar 14  ,
13506,Backyard Baseball '10,DS,09,Sports,Atari  ,Atari  ,,,N/,0.12,0.11,N/,N/,31st Mar 09  ,
13507,Harvest Moon 2 GBC,GB,00,Simulation,Natsume  ,Victor Interactive Software  ,,,N/,0.12,N/,N/,0.12,11th Sep 00  ,
13508,X2: Wolverine's Revenge,GC,03,Action,Activision  ,GenePool  ,,6.0  ,N/,0.12,0.09,0.02,N/,14th Apr 03  ,
13509,SkyDrift,PC,11,Racing,HandyGames  ,Digital Reality  ,,,0.12,N/,N/,N/,N/,21st Nov 11  ,17th Apr 19
13510,Godzilla Unleashed: Double Smash,DS,07,Action,Atari  ,Santa Cruz Games  ,,,N/,0.12,0.11,0.00,N/,20th Nov 07  ,
13511,DiRT 2,DS,09,Racing,Codemasters  ,Codemasters  ,,,N/,0.12,0.06,0.05,N/,08th Sep 09  ,
13512,The Growth Journey,PC,16,Action-Adventure,Cleverweek  ,Cleverweek  ,,,0.12,N/,N/,N/,N/,07th Jan 16  ,17th Apr 19
13513,Kamen Rider: Climax Heroes Fourze,Wii,11,Fighting,Bandai  ,Eighting  ,,,N/,0.12,N/,N/,0.12,01st Dec 11  ,
13514,Backyard Sports Football: Rookie Rush,Wii,10,Sports,Atari  ,HB Studios  ,,,N/,0.12,0.11,N/,N/,26th Oct 10  ,
13515,Backyard Sports Football: Rookie Rush,X360,10,Sports,Atari  ,HB Studios  ,,,N/,0.12,0.11,N/,N/,26th Oct 10  ,
13516,Pro Yakyuu Famista Evolution,NS,18,Sports,Bandai Namco Games  ,Bandai Namco Games  ,,,N/,0.12,N/,N/,0.12,02nd Aug 18  ,26th Aug 18
13517,Happy Feet Two,PS3,11,Adventure,Warner Bros. Interactive  ,KMM Games  ,,,N/,0.12,0.10,0.00,N/,08th Nov 11  ,
13518,Gallop Racer 2000,PS,00,Sports,Tecmo  ,Tecmo  ,,,N/,0.12,N/,N/,0.11,17th Feb 00  ,
13519,Senran Kagura Shinovi Versus,PC,16,Fighting,Xseed Games  ,Tamsoft  ,,,0.12,N/,N/,N/,N/,01st Jul 16  ,17th Apr 19
13520,4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,DS,05,Misc,Atari  ,Sensory Sweep  ,,,N/,0.12,0.11,0.00,N/,13th Dec 05  ,
13521,Showdown: Legends of Wrestling,XB,04,Fighting,Acclaim Entertainment  ,Acclaim Studios Austin  ,,,N/,0.12,0.09,0.03,N/,22nd Jun 04  ,
13522,Macross Triangle Frontier,PSP,11,Action,Namco Bandai  ,ArtDink  ,,,N/,0.12,N/,N/,0.12,03rd Feb 11  ,
13523,NPPL Championship Paintball 2009,X360,08,Shooter,Activision  ,FUN Labs  ,,4.9  ,N/,0.12,0.10,0.01,N/,18th Nov 08  ,
13524,Picross 3D Round 2,3DS,16,Puzzle,Nintendo  ,HAL Laboratory  ,,8.6  ,N/,0.12,N/,0.00,0.12,01st Sep 16  ,23rd Apr 18
