Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date,Last_Update
24301,After Armageddon Gaiden: Majuu Toushouden Eclipse,SCD,94,Role-Playing,Sega  ,Micro Design  ,,,N/,N/,N/,N/,N/,11th Nov 94  ,
24302,After Burner,NES,89,Shooter,Tengen  ,SunSoft  ,,,N/,N/,N/,N/,N/,01st Jan 89  ,
24303,After Burner,MS,88,Simulation,Sega  ,Sega  ,,,N/,N/,N/,N/,N/,01st Jan 88  ,
24304,After Burner,PC,89,Action,Sega  ,Sega  ,,,N/,N/,N/,N/,N/,01st Jan 89  ,
24305,After Burner,Amig,88,Shooter,Sega  ,SunSoft  ,,,N/,N/,N/,N/,N/,01st Jan 88  ,
24306,After Burner,S32X,94,Shooter,Sega  ,SunSoft  ,,,N/,N/,N/,N/,N/,01st Jan 94  ,
24307,After Burner,MSX,88,Shooter,Sega  ,SunSoft  ,,,N/,N/,N/,N/,N/,01st Jan 88  ,
24308,After Burner,FMT,89,Shooter,CSK Research Institute  ,SunSoft  ,,,N/,N/,N/,N/,N/,01st Jan 89  ,
24309,After Burner,MSD,89,Shooter,Sega  ,SunSoft  ,,,N/,N/,N/,N/,N/,01st Jan 89  ,
24310,After Burner,AST,88,Shooter,Sega  ,SunSoft  ,,,N/,N/,N/,N/,N/,01st Jan 88  ,
24311,After Burner,ACPC,88,Shooter,Sega  ,SunSoft  ,,,N/,N/,N/,N/,N/,01st Jan 88  ,
24312,After Burner,C64,89,Misc,Sega  ,Unknown  ,,,N/,N/,N/,N/,N/,01st Jan 89  ,
24313,After Burner Climax,PSN,10,Simulation,Sega  ,Sega-AM2  ,,,N/,N/,N/,N/,N/,22nd Apr 10  ,
24314,After Burner Climax,XBL,10,Simulation,Sega  ,Sega-AM2  ,,,N/,N/,N/,N/,N/,21st Apr 10  ,
24315,After Burner II,GEN,90,Shooter,Sega  ,Sega-AM2  ,,,N/,N/,N/,N/,N/,22nd Mar 90  ,
24316,After Burner II,PCE,90,Shooter,NEC  ,Bits Laboratory  ,,,N/,N/,N/,N/,N/,28th Sep 90  ,
24317,After Burner II,NES,89,Misc,Sunsoft  ,Unknown  ,,,N/,N/,N/,N/,N/,30th Mar 89  ,
24318,After Burner II,MSD,89,Shooter,Sega  ,Bits Laboratory  ,,,N/,N/,N/,N/,N/,01st Jan 89  ,
