Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date,Last_Update
19301,Evangelion Shin Gekijoban: 3nd Impact,PSP,11,Action,Namco Bandai  ,Grasshopper Manufacture  ,,,N/,0.03,N/,N/,0.03,29th Sep 11  ,
19302,Geometry Wars 3: Dimensions Evolved,PS4,16,Action,Activision  ,Unknown  ,,,N/,0.03,0.02,N/,N/,11th Oct 16  ,
19303,Dynasty Warriors: Godseekers,PSV,17,Strategy,Tecmo Koei  ,Omega Force  ,,,N/,0.03,N/,N/,0.03,31st Jan 17  ,31st Dec 17
19304,Dakar 2: The World's Ultimate Rally,GC,03,Racing,Acclaim Entertainment  ,Acclaim Studios Cheltenham  ,,,N/,0.03,0.02,0.01,N/,25th Mar 03  ,
19305,NBA 2K7,XB,06,Sports,2K Sports  ,Visual Concepts  ,,8.4  ,N/,0.03,0.02,0.01,N/,25th Sep 06  ,
19306,Auto Modellista,GC,03,Racing,Capcom  ,Capcom  ,,5.9  ,N/,0.03,0.02,0.01,N/,30th Sep 03  ,
19307,Hanayaka Kana Ware ga Ichizoku Twin Pack,PSP,11,Misc,Idea Factory  ,Idea Factory  ,,,N/,0.03,N/,N/,0.03,08th Dec 11  ,
19308,Dungeon Hack,PC,93,Role-Playing,SSI  ,DreamForge Intertainment  ,,,0.03,N/,N/,N/,N/,01st Jan 93  ,
19309,Ben 10 (2017),XOne,17,Action,Outright Games  ,Torus Games  ,,,N/,0.03,0.02,N/,N/,14th Nov 17  ,21st Jan 19
19310,Dave Mirra Freestyle BMX 3,GBA,02,Sports,Acclaim Entertainment  ,Full Fat  ,,8.0  ,N/,0.03,0.02,0.01,N/,26th Nov 02  ,
19311,Greg Hastings' Tournament Paintball Max'd,GBA,06,Shooter,Activision  ,Activision Value  ,,2.2  ,N/,0.03,0.02,0.01,N/,31st Jan 06  ,
19312,Eco Creatures: Save The Forest,DS,08,Adventure,Majesco  ,"Lightweight Co.,Ltd.  ",,,N/,0.03,0.03,N/,N/,04th Mar 08  ,
19313,Kintaihi Shounen no Jiken: Kyakusen Eris-Gou no Sangeki,DS,09,Adventure,Creative Core  ,Creative Core  ,,,N/,0.03,N/,N/,0.03,17th Sep 09  ,
19314,Dragon Tamer: Sound Spirit,DS,07,Role-Playing,Namco Bandai  ,Bandai Namco Games  ,,,N/,0.03,N/,N/,0.03,01st Nov 07  ,
19315,Frogger: Ancient Shadow,XB,05,Platform,Konami  ,Hudson Soft  ,,,N/,0.03,0.02,0.01,N/,28th Sep 05  ,
19316,Kaizoku Sentai Gokaiger: Atsumete Henshin! 35 Sentai!,DS,11,Action,Namco Bandai  ,Namco Bandai  ,,,N/,0.03,N/,N/,0.03,17th Nov 11  ,
19317,Kiniro no Corda 2 f Encore,PSP,09,Role-Playing,KOEI  ,Koei  ,,,N/,0.03,N/,N/,0.03,20th Aug 09  ,
19318,La Pucelle: Ragnarok,PSP,09,Role-Playing,Nippon Ichi Software  ,Nippon Ichi Software  ,,,N/,0.03,N/,N/,0.03,26th Nov 09  ,
19319,Let's Dance with Mel B,PS3,12,Sports,Black Bean Games  ,Lightning Fish  ,,,N/,0.03,N/,0.02,N/,24th Apr 12  ,
19320,Darius II,SAT,96,Shooter,Taito  ,Taito Corporation  ,,,N/,0.03,N/,N/,0.03,01st Jan 96  ,
19321,Cossacks: European Wars,PC,01,Strategy,Strategy First  ,GSC Game World  ,,,N/,0.03,N/,0.02,N/,14th Apr 01  ,
19322,Bleach: Soul Carnival 2,PSP,09,Fighting,Sony Computer Entertainment  ,Eighting  ,,,N/,0.03,N/,N/,0.03,10th Dec 09  ,
19323,ParaParaParadise,PS2,01,Misc,Konami  ,Konami  ,,,N/,0.03,N/,N/,0.03,15th Mar 01  ,
19324,Rugby League Live,PS3,10,Sports,Home Entertainment Suppliers  ,Home Entertainment Suppliers  ,,,N/,0.03,N/,0.02,N/,02nd Nov 10  ,
19325,Jack Keane,PC,08,Adventure,Strategy First  ,DECK13 Interactive  ,,,N/,0.03,N/,0.02,N/,15th Apr 08  ,10th May 18
19326,Tiger & Bunny On Air Jack!,PSP,12,Visual Novel,Namco Bandai Games  ,Bandai Namco  ,,,N/,0.03,N/,N/,0.03,20th Sep 12  ,01st May 19
19327,Eureka Seven AO: Jungfrau no Hanabanatachi,PS3,12,Misc,Namco Bandai Games  ,B.B. Studio  ,,,N/,0.03,N/,N/,0.03,20th Sep 12  ,01st May 19
19328,The Settlers II 10th Anniversary,PC,06,Strategy,Ubisoft  ,Blue Byte  ,,,N/,0.03,N/,0.02,N/,22nd Sep 06  ,
19329,Gotcha Force,GC,03,Shooter,Capcom  ,Capcom  ,,5.8  ,N/,0.03,0.01,0.00,0.01,03rd Dec 03  ,
19330,The Battle of Yuu Yuu Hakusho: Shitou! Ankoku Bujutsukai! 120%,PS2,07,Fighting,Banpresto  ,Dimps Corporation  ,,,N/,0.03,N/,N/,0.03,11th Jan 07  ,
19331,Warship Gunner 2,PS2,06,Simulation,KOEI  ,Micro Cabin  ,,,N/,0.03,0.01,0.01,N/,21st Mar 06  ,
19332,The Raven Remastered,XOne,18,Adventure,THQ Nordic  ,KING Art Games  ,,,N/,0.03,0.02,N/,N/,13th Mar 18  ,29th Jan 18
19333,Mystery Trackers: The Void,PC,11,Puzzle,Focus Home Interactive  ,Focus Multimedia  ,,,N/,0.03,N/,0.02,N/,02nd Dec 11  ,
19334,Onimusha: Warlords,PS4,19,Action-Adventure,Capcom  ,Capcom  ,,,N/,0.03,N/,N/,0.03,15th Jan 19  ,29th Dec 18
19335,The Perfect Golf,PS,95,Sports,Seta Corporation  ,Seta Corporation  ,,,N/,0.03,N/,N/,0.03,01st Dec 95  ,
19336,Wrestle Kingdom,PS2,06,Fighting,Yuke's  ,Yuke's Future Media Creators  ,,,N/,0.03,N/,N/,0.03,20th Jul 06  ,
19337,Demon Driver: Time to Burn Rubber!,GBA,04,Racing,Ignition Entertainment  ,Ignition Entertainment  ,,,N/,0.03,0.02,0.01,N/,22nd Sep 04  ,
19338,We Sing (2016),PS4,16,Music,THQ Nordic  ,THQ Nordic  ,,,N/,0.03,0.02,N/,N/,01st Dec 16  ,07th Sep 18
19339,Infinite Stratos 2: Ignition Hearts,PS3,14,Visual Novel,5pb  ,5pb. Inc.  ,,,N/,0.03,N/,N/,0.03,27th Feb 14  ,01st May 19
19340,Mojo!,XB,03,Puzzle,Crave Entertainment  ,Crave Entertainment  ,,,N/,0.03,0.02,0.01,N/,26th Aug 03  ,
19341,NatGeo Challenge! Wild Life,X360,10,Misc,D3 Publisher  ,Gusto Games  ,,,N/,0.03,0.00,0.02,N/,09th Nov 10  ,
19342,Totally Spies! Totally Party,PC,08,Misc,Ubisoft  ,Mad Monkey Studio  ,,,N/,0.03,N/,0.02,N/,14th Feb 08  ,
19343,Mahou Sensei Negima! Kagai Jugyou ~Otome no Dokidoki Beachside~,PS2,06,Adventure,Konami  ,Konami  ,,,N/,0.03,N/,N/,0.03,23rd Mar 06  ,
19344,Buffy the Vampire Slayer: Chaos Bleeds,GC,03,Action,VU Games  ,Eurocom Entertainment Software  ,,,N/,0.03,0.02,0.01,N/,28th Aug 03  ,
19345,Nekketsu Kouha Kunio-Kun SP Kyousoukyoku,3DS,13,Fighting,Arc System Works  ,Arc System Works  ,,,N/,0.03,N/,N/,0.03,08th Aug 13  ,01st May 19
19346,River City Ransom SP,3DS,16,Action,Arc System Works  ,Technos Japan Corporation  ,,,N/,0.03,N/,N/,0.03,27th Oct 16  ,24th Apr 18
19347,The Pillars of the Earth,XOne,17,Adventure,Kalypso Media  ,Daedalic Entertainment  ,,,N/,0.03,0.02,N/,N/,28th Nov 17  ,15th Sep 18
19348,Brothers Conflict: Passion Pink,PSP,12,Visual Novel,Idea Factory  ,Otomate  ,,,N/,0.03,N/,N/,0.03,17th May 12  ,01st May 19
19349,Clannad,X360,08,Adventure,Prototype  ,Visual Arts  ,,,N/,0.03,N/,N/,0.03,28th Aug 08  ,
19350,Kuryuu Youma Gakuenki Recharge,PS2,06,Adventure,Atlus  ,Killaware  ,,,N/,0.03,N/,N/,0.03,28th Sep 06  ,
19351,Jet Grind Radio,GBA,03,Action,THQ  ,Vicarious Visions  ,,7.1  ,N/,0.03,0.02,0.01,N/,26th Jun 03  ,
19352,My Frogger: Toy Trials,DS,06,Action,Konami  ,Konami  ,,,N/,0.03,0.02,N/,N/,13th Nov 06  ,
19353,MySims,PC,08,Simulation,Electronic Arts  ,EA Redwood Shores  ,,,N/,0.03,N/,0.02,N/,28th Oct 08  ,
19354,Shin Hayarigami 2,PS4,16,Adventure,Nippon Ichi Software  ,Nippon Ichi Software  ,,,N/,0.03,N/,N/,0.03,07th Jul 16  ,20th Sep 18
19355,Turbo: Super Stunt Squad,WiiU,13,Misc,D3Publisher  ,Monkey Bar Games  ,,,N/,0.03,N/,0.03,N/,16th Jul 13  ,22nd Jan 18
19356,The Town of Light,PS4,17,Adventure,Wired Productions  ,LKA  ,,,N/,0.03,0.02,N/,N/,24th Mar 17  ,01st Feb 18
19357,Strike Witches: Aoi no Dengekisen - Shin Taichou Funtousuru!,DS,09,Action,Russel  ,Russel  ,,,N/,0.03,N/,N/,0.03,26th Nov 09  ,
19358,OlliOlli: Epic Combo Edition,PS4,16,Platform,Badland Studio  ,Roll7  ,,,N/,0.03,0.02,N/,N/,26th Jul 16  ,20th Sep 18
19359,Baldur's Gate: Dark Alliance,GBA,04,Role-Playing,"Destination Software, Inc  ",Magic Pockets  ,,8.0  ,N/,0.03,0.02,0.01,N/,10th Feb 04  ,
19360,Hakuoki: Kyoto Winds,PSV,17,Adventure,Idea Factory  ,Otomate  ,,,N/,0.03,0.02,0.00,N/,16th May 17  ,
19361,The Adventures of Lomax,PS,96,Platform,Psygnosis  ,Psygnosis  ,,,N/,0.03,0.01,0.01,N/,31st Oct 96  ,
19362,Under the Skin,PS2,04,Action,Capcom  ,Capcom Production Studio 4  ,,,N/,0.03,0.01,0.01,N/,12th Oct 04  ,
19363,Kabu Trader Shun,DS,07,Action,Capcom  ,Capcom  ,,,N/,0.03,N/,N/,0.03,07th Jun 07  ,
19364,Hermie Hopperhead: Scrap Panic,PS,95,Platform,Sony Computer Entertainment  ,Yuke's Media Creations  ,,,N/,0.03,N/,N/,0.02,29th Sep 95  ,
19365,Poy Poy,PS,97,Action,Konami  ,Konami Computer Entertainment Tokyo  ,,,N/,0.03,0.01,0.01,N/,30th Sep 97  ,
19366,Age of Conan: Rise of the Godslayer,PC,10,Role-Playing,Funcom   ,Funcom  ,,7.9  ,N/,0.03,N/,0.02,N/,11th May 10  ,
