Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date,Last_Update
14601,Scarlet Hollow,PC,21,Visual Novel,Black Tabby Games  ,Black Tabby Games  ,,,0.10,N/,N/,N/,N/,11th Jun 21  ,03rd Feb 26
14602,Senran Kagura: Estival Versus,All,16,Action,Marvelous Entertainment  ,Tamsoft  ,,,0.10,N/,N/,N/,N/,15th Mar 16  ,23rd Jan 21
14603,Senran Kagura: Peach Beach Splash,PS4,17,Action,Xseed Games  ,Marvelous Entertainment  ,,,0.10,N/,N/,N/,N/,26th Sep 17  ,30th Jun 18
14604,Sins of a Solar Empire: Rebellion,PC,70,Strategy,Unknown  ,Ironclad Games  ,,,0.10,N/,N/,N/,N/,01st Jan 70  ,
14605,Skylanders: Imaginators,All,16,Platform,Activision  ,Toys for Bob  ,,,0.10,N/,N/,N/,N/,16th Oct 16  ,18th Mar 21
14606,Star Control 3,PC,96,Strategy,Accolade  ,Legend Entertainment  ,,,0.10,N/,N/,N/,N/,31st Aug 96  ,
14607,Star Trek: New Worlds,PC,00,Strategy,Interplay  ,14 Degrees East  ,,,0.10,N/,N/,N/,N/,07th Sep 00  ,
14608,Tales of the World: Summoner's Lineage,GBA,03,Role-Playing,Namco  ,Magical Company  ,,,0.10,N/,N/,N/,N/,07th Mar 03  ,
14609,The Ancient Art of War at Sea,All,87,Strategy,Broderbund  ,Evryware  ,,,0.10,N/,N/,N/,N/,01st Jan 87  ,05th Oct 22
14610,The Dam Busters,All,84,Simulation,Accolade  ,Sydney Development  ,,,0.10,N/,N/,N/,N/,01st Jan 84  ,23rd Apr 22
14611,The Fool's Errand,All,87,Puzzle,Miles Computing  ,Cliff Johnson  ,,,0.10,N/,N/,N/,N/,01st Jan 87  ,08th Apr 21
14612,The Idolmaster: Starlit Season,All,21,Music,Bandai Namco  ,"ILCA, Inc.  ",,,0.10,N/,N/,N/,N/,14th Oct 21  ,20th Oct 21
14613,The Last Express,All,97,Adventure,Broderbund  ,Smoking Car Productions  ,,,0.10,N/,N/,N/,N/,30th Mar 97  ,28th Mar 21
14614,The Pagemaster,All,94,Platform,Fox Interactive  ,Probe Software  ,,,0.10,N/,N/,N/,N/,23rd Nov 94  ,28th Sep 22
14615,The Settlers: Rise of an Empire,PC,07,Strategy,Ubisoft  ,Blue Byte  ,,,0.10,N/,N/,N/,N/,25th Sep 07  ,
14616,Toriko: Gourmet Survival 2,PSP,,Role-Playing,Unknown  ,Natsume  ,,,0.10,N/,N/,N/,N/,,20th Nov 20
14617,Tormented Souls 2,All,25,Action-Adventure,PQube  ,Dual Effect  ,,,0.10,N/,N/,N/,N/,23rd Oct 25  ,29th Nov 25
14618,Touhou Luna Nights,PC,19,Action-Adventure,Vaka Game Magazine  ,Vaka Game Magazine  ,,,0.10,N/,N/,N/,N/,26th Feb 19  ,24th Jun 19
14619,Ultima II: Revenge of the Enchantress,PC,82,Role-Playing,Sierra Online   ,"Sierra On-Line, Inc.  ",,,0.10,N/,N/,N/,N/,01st Jan 82  ,
14620,Urban Myth Dissolution Center,All,25,Adventure,SHUEISHA GAMES  ,Hakababunko  ,,,0.10,N/,N/,N/,N/,12th Feb 25  ,26th Feb 25
14621,Virtual Pool 64,N64,98,Sports,Crave Entertainment  ,Celeris  ,,,N/,0.10,0.08,0.02,N/,17th Dec 98  ,
14622,VR Baseball '97,All,97,Sports,Interplay Entertainment Corp.  ,VR Sports  ,,,0.10,N/,N/,N/,N/,01st Jan 97  ,30th Mar 21
14623,Winning Post 9 2022,All,22,Simulation,Koei Tecmo  ,Koei Tecmo Games  ,,,0.10,N/,N/,N/,N/,14th Apr 22  ,03rd Aug 22
14624,World War 3,PC,18,Shooter, The Farm 51  ,The Farm 51  ,,,0.10,N/,N/,N/,N/,20th Oct 18  ,29th Aug 19
14625,Worms 3D,PS2,04,Strategy,Acclaim Entertainment  ,Team17 Software  ,,,0.10,N/,N/,N/,N/,11th Mar 04  ,
14626,Worms World Party,PC,01,Strategy,Titus  ,Team17 Software  ,,,0.10,N/,N/,N/,N/,16th Jun 01  ,
14627,Worms: Open Warfare,PSP,06,Strategy,THQ  ,Team17 Software  ,,6.9  ,0.10,N/,N/,N/,N/,22nd Mar 06  ,
14628,Worms: Open Warfare,DS,06,Strategy,THQ  ,Team17 Software  ,,,0.10,N/,N/,N/,N/,22nd Mar 06  ,
14629,XPLORA1: Peter Gabriel's Secret World,All,93,Music,MacPlay  ,Real World Media  ,,,0.10,N/,N/,N/,N/,21st Dec 93  ,28th Sep 22
14630,Yomawari,Series,16,Adventure,NIS America  ,Nippon Ichi Software  ,,,0.10,N/,N/,N/,N/,25th Oct 16  ,03rd Feb 21
14631,Zork Nemesis,PC,96,Adventure,Activision  ,Activision  ,,,0.10,N/,N/,N/,N/,29th Feb 96  ,
14632,Gekido,PS,00,Fighting,Interplay  ,NA.P.S. Team SNC  ,,,N/,0.10,0.06,0.04,N/,18th May 00  ,
14633,World Series of Poker 2008: Battle for the Bracelets,PS3,07,Misc,Activision  ,Left Field Productions  ,,,N/,0.10,0.08,0.01,N/,25th Sep 07  ,
14634,Michael Jackson The Experience HD,PSV,12,Misc,Ubisoft  ,Longtail Studios  ,,,N/,0.10,0.04,0.04,N/,14th Feb 12  ,
14635,Monkey Mischief! Party Time,Wii,08,Misc,Activision  ,Activision  ,,,N/,0.10,0.09,0.00,N/,18th Nov 08  ,
14636,Nascar Unleashed,PS3,11,Racing,Activision  ,Activision  ,,,N/,0.10,0.09,N/,N/,01st Nov 11  ,
14637,Accel World vs. Sword Art Online: Millennium Twilight,PS4,17,Action,Namco Bandai Games  ,Namco Bandai Games  ,,,N/,0.10,N/,0.03,0.06,07th Jul 17  ,04th Jul 18
14638,Spider-Man: Web of Shadows,DS,08,Action,Activision  ,Griptonite Games  ,,7.9  ,N/,0.10,0.09,0.00,N/,21st Oct 08  ,
14639,nail'd,X360,10,Racing,Deep Silver  ,Techland  ,,,N/,0.10,0.08,0.02,N/,30th Nov 10  ,
14640,Disney's The Jungle Book,GBA,03,Platform,Ubisoft  ,Visual Impact  ,,5.0  ,N/,0.10,0.07,0.03,N/,11th Feb 03  ,
14641,Rolling Stone: Drum King,Wii,09,Misc,505 Games  ,Del  ,,,N/,0.10,0.09,0.00,N/,26th May 09  ,
14642,Little League World Series Baseball 2010,X360,10,Sports,Activision  ,Now Production  ,,,N/,0.10,0.09,N/,N/,20th Jul 10  ,
14643,FootLOL: Epic Fail League,PC,13,Sports,HeroCraft  ,Lion's Shade  ,,,0.10,N/,N/,N/,N/,07th Aug 13  ,22nd Apr 19
14644,Angry Birds: Star Wars,WiiU,13,Puzzle,Activision  ,Exient Entertainment  ,,,N/,0.10,0.05,0.04,N/,29th Oct 13  ,16th Mar 18
14645,Army Men World War: Team Assault,PS,01,Action,3DO  ,3DO  ,,,N/,0.10,0.06,0.04,N/,28th Nov 01  ,
14646,Murdered: Soul Suspect,X360,14,Action-Adventure,Square Enix  ,Airtight Games  ,,,N/,0.10,0.06,0.03,N/,03rd Jun 14  ,06th Aug 18
14647,Tom Clancy's Splinter Cell,GBA,03,Shooter,Ubisoft  ,Ubisoft  ,,,N/,0.10,0.07,0.03,N/,27th Apr 03  ,
14648,Wolfenstein The Two Pack,PS4,17,Shooter,Bethesda Softworks  ,MachineGames  ,,,N/,0.10,0.08,N/,N/,22nd Aug 17  ,04th Jul 18
14649,TrackMania Turbo,XOne,16,Racing,Ubisoft  ,Nadeo  ,,,N/,0.10,0.05,0.04,N/,22nd Mar 16  ,29th May 18
14650,Marvel vs. Capcom: Clash of Super Heroes,DC,99,Fighting,Capcom  ,Capcom  ,,8.5  ,N/,0.10,N/,N/,0.10,07th Oct 99  ,
14651,NBA Ballers: Rebound,PSP,06,Sports,Midway Games  ,Backbone Entertainment  ,,7.3  ,N/,0.10,0.09,N/,N/,09th May 06  ,
14652,King's Field: The Ancient City,PS2,02,Role-Playing,Agetec  ,From Software  ,,,N/,0.10,0.05,0.04,N/,25th Mar 02  ,
14653,LEGO Rock Raiders,PS,00,Strategy,LEGO Media  ,Data Design Interactive  ,,,N/,0.10,0.06,0.04,N/,17th Aug 00  ,
14654,Silent Scope Complete,XB,04,Shooter,Konami  ,Konami  ,,,N/,0.10,0.07,0.02,N/,10th Feb 04  ,
14655,Odin Sphere: Leifthrasir,PS3,16,Role-Playing,Atlus  ,Vanillaware  ,,,N/,0.10,0.03,0.02,0.04,07th Jun 16  ,
14656,Ghost in the Shell,PS,97,Simulation,THQ  ,Exact  ,,,N/,0.10,0.06,0.04,N/,31st Oct 97  ,
14657,Divinity: Original Sin,XOne,15,Role-Playing,Focus Home Interactive  ,Larian Studios  ,,,N/,0.10,0.06,0.03,N/,27th Oct 15  ,
14658,Tom Clancy's HAWX 2,Wii,10,Action,Ubisoft  ,Ubisoft Bucharest  ,,,N/,0.10,0.06,0.03,N/,09th Nov 10  ,
14659,Blades of Time,PS3,12,Action,Konami Digital Entertainment  ,Gaijin Games Inc.  ,,,N/,0.10,0.04,0.03,0.01,06th Mar 12  ,
14660,Evil Dead: Fistfull of Boomstick,XB,03,Action,THQ  ,VIS Entertainment  ,,,N/,0.10,0.07,0.02,N/,17th Jun 03  ,
14661,Nicktoons MLB,DS,11,Sports,2K Sports  ,2K Sports  ,,,N/,0.10,0.09,N/,N/,13th Sep 11  ,
14662,Tom Clancy's Classic Trilogy,XB,04,Shooter,Ubisoft  ,Unknown  ,,,N/,0.10,0.07,0.02,N/,16th Nov 04  ,
