Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date,Last_Update
22101,Soul Calibur IV,XBL,08,Fighting,Namco Bandai Games  ,Project Soul  ,,8.4  ,N/,0.01,N/,0.00,N/,29th Jul 08  ,
22102,Akai Ito Destiny DS,DS,09,Adventure,Alchemist  ,Alchemist  ,,,N/,0.01,N/,N/,0.01,26th Mar 09  ,
22103,ToeJam & Earl: Back in the Groove,XOne,19,Platform,HumaNature Studios  ,HumaNature Studios  ,,,0.01,N/,N/,N/,N/,01st Mar 19  ,17th Sep 21
22104,Call of Duty,PC,03,Shooter,Activision  ,Infinity Ward  ,,7.0  ,N/,0.01,N/,0.01,N/,29th Oct 03  ,
22105,Saiaku Naru Saiyaku Ningen ni Sasagu,PS4,18,Visual Novel,Kemco  ,Kemco  ,,,N/,0.01,N/,N/,0.01,23rd Aug 18  ,26th Sep 18
22106,Battle B-Daman,GBA,06,Action,Atlus  ,Atlus Co.  ,,6.0  ,N/,0.01,0.00,0.00,N/,26th Jul 06  ,
22107,Moeru Mahjong: Moejong!,PSP,08,Misc,Hudson Entertainment  ,Hudson Soft  ,,,N/,0.01,N/,N/,0.01,23rd Oct 08  ,
22108,Hidden Expedition: The Crown of Solomon,PC,14,Adventure,Focus Multimedia  ,Big Fish Games  ,,,N/,0.01,N/,0.01,N/,19th Nov 14  ,01st May 19
22109,Nancy Drew: Message in a Haunted Mansion,GBA,01,Adventure,DreamCatcher Interactive  ,Handheld Games  ,,,N/,0.01,0.00,0.00,N/,15th Nov 01  ,
22110,Tokeijikake no Ley Line: Kagerou ni Samayou Majo,PSV,17,Adventure,Dramatic Create  ,Dramatic Create  ,,,N/,0.01,N/,N/,0.01,27th Apr 17  ,
22111,My Hero: Firefighter,DS,09,Simulation,Majesco  ,Game-life / Mad Monkey Studio  ,,,N/,0.01,0.00,0.00,N/,17th Nov 09  ,
22112,Dr. Sudoku,GBA,06,Puzzle,Mastiff  ,Success  ,,6.7  ,N/,0.01,0.00,0.00,N/,03rd May 06  ,
22113,Monochrome Fighter: Cross Road,PS2,08,Adventure,5pb  ,Genterprise  ,,,N/,0.01,N/,N/,0.01,27th Nov 08  ,
22114,Chainz Galaxy,DS,,Puzzle,Jack of All Games  ,Jack of All Games  ,,,N/,0.01,N/,0.00,N/,,
22115,Simple 2000 Series Wii Vol. 2: The Party Game,Wii,08,Misc,D3 Publisher  ,Tamsoft  ,,,N/,0.01,N/,N/,0.01,28th Aug 08  ,
22116,Steel Horizon,PSP,07,Strategy,Konami  ,Climax Group  ,,,N/,0.01,0.01,N/,N/,02nd Jul 07  ,
22117,ATV Renegades,XOne,17,Racing,Nighthawk Interactive  ,Nighthawk Interactive  ,,,N/,0.01,0.00,N/,N/,18th Apr 17  ,14th Sep 18
22118,Enkeltbillet,PSP,14,Adventure,Idea Factory  ,Otomate  ,,,N/,0.01,N/,N/,0.01,31st Jul 14  ,
22119,Zettai Karen Children DS: Dai-4 no Children,DS,08,Role-Playing,Konami  ,Konami  ,,,N/,0.01,N/,N/,0.01,04th Sep 08  ,
22120,Amatsutsumi,PSV,18,Visual Novel,Prototype  ,Prototype  ,,,N/,0.01,N/,N/,0.01,17th May 18  ,04th Jun 18
