Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date,Last_Update
59701,HunterxHunter NenxImpact,NS,,Fighting,Unknown  ,Eighting  ,,,N/,N/,N/,N/,N/,,12th Aug 24
59702,Hustle Kings,PS4,15,Sports,Sony Computer Entertainment  ,EPOS Game Studios  ,,,N/,N/,N/,N/,N/,10th Feb 15  ,25th Sep 18
59703,HYPER DEMON,PC,,Shooter,Unknown  ,Sorath  ,,,N/,N/,N/,N/,N/,,10th Oct 22
59704,Hyper Light Breaker,PC,,Action-Adventure,Unknown  ,Heart Machine  ,,,N/,N/,N/,N/,N/,,19th Oct 23
59705,Hyper Light Drifter - Special Edition,NS,18,Role-Playing,Abylight  ,Heart Machine  ,,,N/,N/,N/,N/,N/,06th Sep 18  ,15th Nov 18
59706,Hyper Scape,XOne,20,Shooter,Ubisoft  ,Ubisoft Montreal  ,,,N/,N/,N/,N/,N/,11th Aug 20  ,08th Jul 20
59707,Hyper Scape,PS4,20,Shooter,Ubisoft  ,Ubisoft Montreal  ,,,N/,N/,N/,N/,N/,11th Aug 20  ,08th Jul 20
59708,Hyper Scape,PC,20,Shooter,Ubisoft  ,Ubisoft Montreal  ,,,N/,N/,N/,N/,N/,12th Jul 20  ,08th Jul 20
59709,HyperBrawl Tournament,XOne,,Sports,Unknown  ,Milky Tea  ,,,N/,N/,N/,N/,N/,,23rd Oct 20
59710,HyperBrawl Tournament,PS4,,Sports,Unknown  ,Milky Tea  ,,,N/,N/,N/,N/,N/,,23rd Oct 20
59711,HyperBrawl Tournament,PC,,Sports,Unknown  ,Milky Tea  ,4.0  ,,N/,N/,N/,N/,N/,,23rd Oct 20
59712,HyperBrawl Tournament,NS,,Sports,Unknown  ,Milky Tea  ,,,N/,N/,N/,N/,N/,,23rd Oct 20
59713,Hypercharge: Unboxed,PC,20,Shooter,Digital Cybercherries  ,Digital Cybercherries  ,,,N/,N/,N/,N/,N/,01st Dec 20  ,17th Jan 20
59714,Hypercharge: Unboxed,NS,20,Shooter,Digital Cybercherries  ,Digital Cybercherries  ,,,N/,N/,N/,N/,N/,31st Jan 20  ,17th Jan 20
59715,Hypercharge: Unboxed,XS,,Shooter,Unknown  ,Digital Cybercherries  ,6.0  ,,N/,N/,N/,N/,N/,,07th Jun 24
59716,Hypercharge: Unboxed,XOne,,Shooter,Unknown  ,Digital Cybercherries  ,,,N/,N/,N/,N/,N/,,07th Jun 24
