Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date,Last_Update
53001,Walter Payton Football,MS,89,Sports,Sega  ,Sega  ,,,N/,N/,N/,N/,N/,01st Jan 89  ,
53002,Wan Nyan Doubutsu Byouin,GBA,03,Simulation,TDK Core  ,TDK Core  ,,,N/,N/,N/,N/,N/,25th Jul 03  ,
53003,Wan Wan Meitantei,GBA,03,Adventure,Culture Brain  ,Culture Brain  ,,,N/,N/,N/,N/,N/,19th Dec 03  ,
53004,Wand of Fortune Twin Pack,PS2,10,Adventure,Idea Factory  ,Idea Factory  ,,,N/,N/,N/,N/,N/,25th Feb 10  ,
53005,Wander,PS4,15,Role-Playing,Wander MMO  ,Wander MMO  ,,,N/,N/,N/,N/,N/,04th Jun 15  ,
53006,Wanderer,PC,,Action-Adventure,Unknown  ,Mighty Eyes  ,,,N/,N/,N/,N/,N/,,19th Nov 22
53007,Wandering Willows,PC,09,Role-Playing,PlayFirst  ,PlayFirst  ,,,N/,N/,N/,N/,N/,13th Aug 09  ,
53008,Wangan Dead Heat + Real Arrange,SAT,96,Racing,Pack-In-Video  ,Genki  ,,,N/,N/,N/,N/,N/,30th Aug 96  ,
53009,Wangan Dream,PC,99,Adventure,Dreams  ,Dreams  ,,,N/,N/,N/,N/,N/,06th Aug 99  ,
53010,Wangan Midnight,PS2,02,Racing,Genki  ,Genki  ,,,N/,N/,N/,N/,N/,28th Mar 02  ,
53011,Wangan Trial,PS,98,Racing,Victor Interactive  ,Victor Interactive Software  ,,,N/,N/,N/,N/,N/,07th Mar 98  ,
53012,Wangan Trial Love,SAT,98,Adventure,Victor Interactive  ,Victor Interactive Software  ,,,N/,N/,N/,N/,N/,02nd Apr 98  ,
53013,Wanko de Kururin! Wankuru,GBA,04,Adventure,MTO  ,MTO  ,,,N/,N/,N/,N/,N/,25th Jun 04  ,
53014,Wanko Mix,GBA,04,Adventure,TDK Core  ,TDK Core  ,,,N/,N/,N/,N/,N/,16th Dec 04  ,
53015,Wannyon Idol Gakuen,GBA,03,Strategy,Culture Brain  ,Culture Brain  ,,,N/,N/,N/,N/,N/,30th Dec 03  ,
53016,Wantame Variety Channel,DS,08,Misc,Capcom  ,Capcom  ,,,N/,N/,N/,N/,N/,07th Aug 08  ,
53017,Wanted,MS,89,Action,Sega  ,Sega  ,,,N/,N/,N/,N/,N/,01st Jan 89  ,
53018,Wanted Corp.,PSN,11,Shooter,Zoo Games  ,EKO System  ,,,N/,N/,N/,N/,N/,06th Dec 11  ,
53019,Wanted Dead or Alive,PC,04,Shooter,XS Games  ,Iridion Interactive AB  ,,,N/,N/,N/,N/,N/,01st Feb 04  ,
53020,Wanted: A Wild Western Adventure,PC,04,Adventure,The Adventure Company  ,Revistonic  ,,,N/,N/,N/,N/,N/,03rd Oct 04  ,
53021,Wanted: Monty Mole,ZXS,84,Misc,Gremlin Graphics  ,Unknown  ,,,N/,N/,N/,N/,N/,01st Jan 84  ,
53022,Wanted: Monty Mole,C64,84,Misc,Gremlin Graphics  ,Unknown  ,,,N/,N/,N/,N/,N/,01st Jan 84  ,
53023,WAR,PC,,Role-Playing,Unknown  ,Mythic  ,,,N/,N/,N/,N/,N/,,
53024,War Breeds,PC,,Strategy,Unknown  ,Red Orb  ,,,N/,N/,N/,N/,N/,,
53025,War for the Overworld,Linux,15,Misc,Unknown  ,Unknown  ,,,N/,N/,N/,N/,N/,02nd Apr 15  ,
53026,War for the Overworld,OSX,15,Misc,Unknown  ,Unknown  ,,,N/,N/,N/,N/,N/,02nd Apr 15  ,
53027,War Front: Turning Point,PC,07,Strategy,CDV Software Entertainment  ,Digital Reality  ,,,N/,N/,N/,N/,N/,23rd Feb 07  ,
53028,War Gods,PC,97,Fighting,Midway Games  ,Midway Games  ,,,N/,N/,N/,N/,N/,30th Jun 97  ,
53029,War in a Box: Paper Tanks,Linux,14,Strategy,DQ Team  ,DQ Team  ,,,N/,N/,N/,N/,N/,04th Jul 14  ,10th Aug 18
53030,War in a Box: Paper Tanks,OSX,14,Strategy,DQ Team  ,DQ Team  ,,,N/,N/,N/,N/,N/,04th Jul 14  ,10th Aug 18
53031,War in a Box: Paper Tanks,PC,14,Strategy,DQ Team  ,DQ Team  ,,,N/,N/,N/,N/,N/,04th Jul 14  ,10th Aug 18
53032,War in Middle Earth,ZXS,89,Misc,Melbourne House  ,Unknown  ,,,N/,N/,N/,N/,N/,01st Jan 89  ,
53033,War in Middle Earth,ACPC,89,Strategy,Melbourne House  ,Melbourne House  ,,,N/,N/,N/,N/,N/,01st Jan 89  ,06th Jan 18
53034,War in Middle Earth,MSX,89,Misc,Melbourne House  ,Unknown  ,,,N/,N/,N/,N/,N/,01st Jan 89  ,
53035,War in Middle Earth,MSD,89,Misc,Melbourne House  ,Unknown  ,,,N/,N/,N/,N/,N/,01st Jan 89  ,
53036,War in Middle Earth,AST,89,Misc,Melbourne House  ,Unknown  ,,,N/,N/,N/,N/,N/,01st Jan 89  ,
53037,War in Middle Earth,Amig,89,Misc,Melbourne House  ,Unknown  ,,,N/,N/,N/,N/,N/,01st Jan 89  ,
