Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date,Last_Update
59101,Ghostbusters: The Video Game Remastered,PC,19,Action-Adventure,Saber Interactive  ,Mad Dog Games  ,,,N/,N/,N/,N/,N/,04th Oct 19  ,08th Aug 19
59102,Ghostbusters: The Video Game Remastered,XOne,19,Action-Adventure,Saber Interactive  ,Mad Dog Games  ,,,N/,N/,N/,N/,N/,04th Oct 19  ,08th Aug 19
59103,Ghostbusters: The Video Game Remastered,PS4,19,Action-Adventure,Saber Interactive  ,Mad Dog Games  ,,,N/,N/,N/,N/,N/,04th Oct 19  ,08th Aug 19
59104,Ghostbusters: The Video Game Remastered,NS,19,Action-Adventure,Saber Interactive  ,Mad Dog Games  ,,,N/,N/,N/,N/,N/,04th Oct 19  ,08th Aug 19
59105,Ghostrunner,XOne,20,Action,505 Games  ,One More Level  ,,,N/,N/,N/,N/,N/,27th Oct 20  ,15th Sep 20
59106,Ghostrunner,PS4,20,Action,505 Games  ,One More Level  ,,,N/,N/,N/,N/,N/,27th Oct 20  ,15th Sep 20
59107,Ghostrunner,PC,20,Action,505 Games  ,One More Level  ,9.0  ,,N/,N/,N/,N/,N/,27th Oct 20  ,15th Sep 20
59108,Ghostrunner,NS,,Action,Unknown  ,One More Level  ,,,N/,N/,N/,N/,N/,,06th Nov 21
59109,Ghostrunner,XS,,Action,Unknown  ,One More Level  ,,,N/,N/,N/,N/,N/,,13th Jan 22
59110,Ghostrunner,PS5,,Action,Unknown  ,One More Level  ,,,N/,N/,N/,N/,N/,,13th Jan 22
59111,Ghostrunner 2,PC,,Action,Unknown  ,One More Level  ,8.5  ,,N/,N/,N/,N/,N/,,26th Aug 23
59112,Ghostrunner 2,XS,,Action,Unknown  ,One More Level  ,,,N/,N/,N/,N/,N/,,26th Aug 23
59113,Ghostrunner 2,PS5,,Action,Unknown  ,One More Level  ,,,N/,N/,N/,N/,N/,,26th Aug 23
59114,Ghostrunner: Project_Hel,XS,,Action,Unknown  ,One More Level  ,,,N/,N/,N/,N/,N/,,13th Jan 22
59115,Ghostrunner: Project_Hel,XOne,,Action,Unknown  ,One More Level  ,,,N/,N/,N/,N/,N/,,13th Jan 22
59116,Ghostrunner: Project_Hel,PS5,,Action,Unknown  ,One More Level  ,,,N/,N/,N/,N/,N/,,13th Jan 22
59117,Ghostrunner: Project_Hel,PS4,,Action,Unknown  ,One More Level  ,,,N/,N/,N/,N/,N/,,13th Jan 22
59118,Ghostrunner: Project_Hel,PC,,Action,Unknown  ,One More Level  ,6.5  ,,N/,N/,N/,N/,N/,,13th Jan 22
59119,Ghostrunner: Project_Hel,NS,,Action,Unknown  ,One More Level  ,,,N/,N/,N/,N/,N/,,13th Jan 22
59120,Ghosts 'n Goblins Resurrection,NS,21,Platform,Capcom  ,Capcom  ,9.0  ,,N/,N/,N/,N/,N/,25th Feb 21  ,26th Feb 21
59121,Ghosts 'n Goblins,GB,,Platform,Unknown  ,Capcom  ,,,N/,N/,N/,N/,N/,,31st Dec 17
59122,Ghostwire Tokyo,PC,21,Action-Adventure,Bethesda Softworks  ,Tango Gameworks  ,,,N/,N/,N/,N/,N/,01st Dec 21  ,09th Jun 19
59123,Ghostwire Tokyo,PS5,21,Action-Adventure,Bethesda Softworks  ,Tango Gameworks  ,5.0  ,,N/,N/,N/,N/,N/,01st Dec 21  ,12th Jun 20
59124,Ghostwire: Tokyo,XS,,Action-Adventure,Unknown  ,Tango Gameworks  ,,,N/,N/,N/,N/,N/,,09th May 24
59125,Ghostwire: Tokyo,All,22,Action-Adventure,Bethesda Softworks  ,Tango Gameworks  ,,,N/,N/,N/,N/,N/,25th Mar 22  ,09th May 24
59126,Gibbéri:sh',2600,,Role-Playing,Unknown  ,EA  ,,,N/,N/,N/,N/,N/,,04th Jan 18
59127,GigaBash,PS5,,Fighting,Unknown  ,Passion Republic Games  ,,,N/,N/,N/,N/,N/,,18th Nov 22
59128,GigaBash,PS4,,Fighting,Unknown  ,Passion Republic Games  ,,,N/,N/,N/,N/,N/,,18th Nov 22
59129,GigaBash,PC,,Fighting,Unknown  ,Passion Republic Games  ,,,N/,N/,N/,N/,N/,,18th Nov 22
59130,Gigantic: Rampage Edition,XS,,Action,Unknown  ,Abstraction Games  ,7.5  ,,N/,N/,N/,N/,N/,,16th Mar 24
59131,Gigantic: Rampage Edition,XOne,,Action,Unknown  ,Abstraction Games  ,,,N/,N/,N/,N/,N/,,16th Mar 24
59132,Gigantic: Rampage Edition,PS5,,Action,Unknown  ,Abstraction Games  ,,,N/,N/,N/,N/,N/,,16th Mar 24
59133,Gigantic: Rampage Edition,PS4,,Action,Unknown  ,Abstraction Games  ,,,N/,N/,N/,N/,N/,,16th Mar 24
59134,Gigantic: Rampage Edition,PC,,Action,Unknown  ,Abstraction Games  ,,,N/,N/,N/,N/,N/,,16th Mar 24
