Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date,Last_Update
16001,Game Center CX: Arino no Chousenjou 2,DS,09,Action,Namco Bandai  ,Bandai Namco Games  ,,,N/,0.07,N/,N/,0.07,26th Feb 09  ,
16002,E.X. Troopers,3DS,12,Action,Capcom  ,Capcom  ,,,N/,0.07,N/,N/,0.07,22nd Nov 12  ,23rd Dec 18
16003,Tom Clancy's Ghost Recon 2,GC,05,Shooter,Ubisoft  ,Red Storm Entertainment  ,,5.7  ,N/,0.07,0.06,0.01,N/,15th Mar 05  ,
16004,Bass Pro Shops: The Strike - Championship Edition,NS,18,Simulation,Planet Entertainment  ,XS Games  ,,,N/,0.07,0.06,N/,N/,09th Nov 18  ,11th Sep 18
16005,WRC 2: FIA World Rally Championship,X360,11,Racing,Ubisoft  ,Milestone S.r.l  ,,5.8  ,N/,0.07,N/,0.06,N/,14th Oct 11  ,
16006,Touhou Genso Rondo: Bullet Ballet,PS4,16,Shooter,NIS America  ,CUBETYPE  ,,,N/,0.07,0.06,N/,N/,06th Sep 16  ,17th Sep 18
16007,The Walking Dead: A Telltale Series Collection,PS4,17,Adventure,Warner Bros. Interactive Entertainment  ,Telltale Games  ,,,N/,0.07,0.06,N/,N/,05th Dec 17  ,
16008,Jewel Link Chronicles: Legend of Athena,DS,11,Puzzle,GSP  ,Avanquest Software  ,,,N/,0.07,N/,0.06,N/,25th Feb 11  ,
16009,Monster Racers,DS,10,Racing,KOEI  ,Koei  ,,,N/,0.07,0.05,N/,0.02,04th May 10  ,
16010,The King of Fighters: Evolution,DC,01,Fighting,Agetec  ,SNK Corporation  ,,7.6  ,N/,0.07,N/,N/,0.07,10th May 01  ,
16011,DS Uranai Seikatsu,DS,09,Misc,Nintendo  ,Nintendo  ,,,N/,0.07,N/,N/,0.07,15th Jan 09  ,
