Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date,Last_Update
34701,Grand Theft Auto IV: The Ballad of Gay Tony,PSN,10,Adventure,Rockstar Games  ,Rockstar North  ,,9.0  ,N/,N/,N/,N/,N/,13th Apr 10  ,
34702,Grand Theft Auto IV: The Ballad of Gay Tony,PC,10,Adventure,Rockstar Games  ,Rockstar North  ,,9.0  ,N/,N/,N/,N/,N/,13th Apr 10  ,
34703,Grand Theft Auto IV: The Complete Edition,PS3,10,Action,Rockstar Games  ,Rockstar North  ,,,N/,N/,N/,N/,N/,26th Oct 10  ,
34704,Grand Theft Auto IV: The Complete Edition,X360,10,Action,Rockstar Games  ,Rockstar North  ,,,N/,N/,N/,N/,N/,26th Oct 10  ,
34705,Grand Theft Auto IV: The Complete Edition,PC,10,Action,Rockstar Games  ,Rockstar North  ,,,N/,N/,N/,N/,N/,29th Oct 10  ,
34706,Grand Theft Auto IV: The Lost and Damned,XBL,09,Adventure,Rockstar Games  ,Rockstar North  ,9.0  ,8.9  ,N/,N/,N/,N/,N/,17th Feb 09  ,
34707,Grand Theft Auto IV: The Lost and Damned,PSN,10,Adventure,Rockstar Games  ,Rockstar North  ,,9.4  ,N/,N/,N/,N/,N/,13th Apr 10  ,
34708,Grand Theft Auto IV: The Lost and Damned,PC,10,Adventure,Rockstar Games  ,Rockstar North  ,,9.4  ,N/,N/,N/,N/,N/,13th Apr 10  ,
34709,Grand Theft Auto Online,X360,13,Misc,Take-Two Interactive  ,Unknown  ,,,N/,N/,N/,N/,N/,01st Oct 13  ,
34710,Grand Theft Auto: Chinatown Wars,PSN,09,Adventure,Rockstar Games  ,Rockstar Leeds  ,,9.4  ,N/,N/,N/,N/,N/,19th Oct 09  ,
34711,Grand Theft Auto: Episodes from Liberty City,DS,09,Misc,Atari  ,Unknown  ,,,N/,N/,N/,N/,N/,16th Jun 09  ,
34712,Grand Theft Auto: Liberty City Stories,PSN,09,Action,Rockstar Games  ,Rockstar Leeds  ,,9.0  ,N/,N/,N/,N/,N/,21st Oct 09  ,
34713,Grand Theft Auto: Liberty City Stories / Vice City Stories,PS2,09,Action,Take-Two Interactive  ,Rockstar Leeds  ,,,N/,N/,N/,N/,N/,23rd Jun 09  ,
34714,Grand Theft Auto: Liberty City Stories / Vice City Stories,PSP,09,Action,Take-Two Interactive  ,Rockstar Leeds  ,,,N/,N/,N/,N/,N/,31st Jul 09  ,
