Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date,Last_Update
57001,Clumsy Rush,NS,19,Action,RedDeerGames  ,RedDeerGames  ,,,N/,N/,N/,N/,N/,23rd Dec 19  ,07th May 22
57002,ClusterPuck 99,NS,18,Sports,Coatsink Software  ,PHL Collective  ,6.0  ,,N/,N/,N/,N/,N/,29th Mar 18  ,23rd Mar 18
57003,Clustertruck,PS4,16,Misc,TinyBuild Games  ,Landfall  ,,,N/,N/,N/,N/,N/,27th Sep 16  ,01st Mar 18
57004,Clustertruck,XOne,16,Misc,TinyBuild Games  ,Landfall  ,,,N/,N/,N/,N/,N/,27th Sep 16  ,01st Mar 18
57005,Clustertruck,NS,18,Misc,TinyBuild Games  ,Landfall  ,5.0  ,,N/,N/,N/,N/,N/,15th Mar 18  ,01st Mar 18
57006,Cobra Kai: The Karate Kid Saga Continues,XOne,20,Fighting,GameMill Entertainment  ,GameMill Entertainment  ,,,N/,N/,N/,N/,N/,27th Oct 20  ,31st Jan 21
57007,Cobra Kai: The Karate Kid Saga Continues,PS4,20,Fighting,GameMill Entertainment  ,GameMill Entertainment  ,,,N/,N/,N/,N/,N/,27th Oct 20  ,31st Jan 21
57008,Cobra Kai: The Karate Kid Saga Continues,NS,20,Fighting,GameMill Entertainment  ,GameMill Entertainment  ,,,N/,N/,N/,N/,N/,27th Oct 20  ,24th Sep 20
57009,Cobra Kai: The Karate Kid Saga Continues,PC,21,Fighting,GameMill Entertainment  ,GameMill Entertainment  ,,,N/,N/,N/,N/,N/,05th Jan 21  ,31st Jan 21
57010,Cocoon,XS,,Adventure,Unknown  ,Geometric Interactive  ,8.5  ,,N/,N/,N/,N/,N/,,01st Aug 23
57011,Cocoon,XOne,,Adventure,Unknown  ,Geometric Interactive  ,,,N/,N/,N/,N/,N/,,01st Aug 23
57012,Cocoon,PS5,,Adventure,Unknown  ,Geometric Interactive  ,,,N/,N/,N/,N/,N/,,01st Aug 23
57013,Cocoon,PS4,,Adventure,Unknown  ,Geometric Interactive  ,,,N/,N/,N/,N/,N/,,01st Aug 23
57014,Cocoon,PC,,Adventure,Unknown  ,Geometric Interactive  ,,,N/,N/,N/,N/,N/,,01st Aug 23
57015,Cocoon,NS,,Adventure,Unknown  ,Geometric Interactive  ,,,N/,N/,N/,N/,N/,,01st Aug 23
57016,Code Realize Wintertide Miracles,PS4,19,Visual Novel,Aksys Games  ,Aksys Games  ,,,N/,N/,N/,N/,N/,14th Feb 19  ,11th Nov 18
57017,Code Shifter,XOne,20,Action,Arc System Works  ,Arc System Works  ,,,N/,N/,N/,N/,N/,01st Dec 20  ,10th Jan 20
57018,Code Shifter,PS4,20,Action,Arc System Works  ,Arc System Works  ,,,N/,N/,N/,N/,N/,01st Dec 20  ,10th Jan 20
57019,Code Shifter,PC,20,Action,Arc System Works  ,Arc System Works  ,,,N/,N/,N/,N/,N/,01st Dec 20  ,10th Jan 20
57020,Code Shifter,NS,20,Action,Arc System Works  ,Arc System Works  ,,,N/,N/,N/,N/,N/,01st Dec 20  ,10th Jan 20
57021,Code Vein,PC,19,Action,Namco Bandai Games  ,Bandai Namco Studios  ,,,N/,N/,N/,N/,N/,27th Sep 19  ,27th Apr 18
57022,Code Vein,XOne,19,Action,Bandai Namco Entertainment  ,Bandai Namco Studios  ,,,N/,N/,N/,N/,N/,24th Sep 19  ,17th Jun 18
