Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date,Last_Update
46801,Sid Meier's Pirates! Live the Life,PC,05,Strategy,2K Games  ,Firaxis Games  ,,,N/,N/,N/,N/,N/,02nd May 05  ,
46802,Sid Meier's Starships,OSX,15,Strategy,2K Games  ,Firaxis Games  ,,,N/,N/,N/,N/,N/,12th Mar 15  ,
46803,Side Pocket,SNES,93,Misc,Data East  ,Iguana Entertainment  ,,,N/,N/,N/,N/,N/,01st Dec 93  ,
46804,Side Pocket,GG,94,Misc,Data East  ,Data East USA  ,,,N/,N/,N/,N/,N/,01st Jan 94  ,
46805,Side Pocket,GB,90,Misc,Data East  ,Data East  ,,,N/,N/,N/,N/,N/,01st Nov 90  ,
46806,Side Pocket,NES,87,Misc,Namco  ,Data East  ,,,N/,N/,N/,N/,N/,01st Jan 87  ,
46807,Side Pocket,GEN,92,Misc,Data East  ,Data East  ,,,N/,N/,N/,N/,N/,01st Jan 92  ,
46808,Side Pocket 3,SAT,97,Misc,Data East  ,Data East  ,,,N/,N/,N/,N/,N/,18th Jul 97  ,
46809,Side Pocket for WonderSwan,WS,99,Sports,Data East  ,Data East  ,,,N/,N/,N/,N/,N/,25th Nov 99  ,
46810,Sidearms,PCE,89,Shooter,Unknown  ,NEC Avenue  ,,,N/,N/,N/,N/,N/,01st Jan 89  ,
46811,Sidehill Gouger,XBL,09,Puzzle,Microsoft  ,Canned Games  ,,,N/,N/,N/,N/,N/,15th Dec 09  ,
46812,Sideral Defense,XBL,,Strategy,Unknown  ,TuConcepto Games  ,,,N/,N/,N/,N/,N/,,
46813,Sideway,PSN,,Misc,Unknown  ,Playbrains / Fuel Industries  ,,,N/,N/,N/,N/,N/,,
46814,Sideway: New York,PSN,11,Platform,Sony Online Entertainment  ,Playbrains / Fuel Industries  ,,7.0  ,N/,N/,N/,N/,N/,11th Oct 11  ,
46815,Siege Hero,And,12,Misc,Miniclip.com  ,Unknown  ,,,N/,N/,N/,N/,N/,31st May 12  ,
46816,Siege Hero,PC,11,Puzzle,Miniclip.com  ,Armor Games  ,,,N/,N/,N/,N/,N/,30th Apr 11  ,
46817,Siege of Avalon,PC,00,Role-Playing,Global Star Software  ,Digital Tome  ,,,N/,N/,N/,N/,N/,19th Jul 00  ,
46818,Siesta Fiesta,3DS,14,Misc,Midway Studios  Austin  ,Unknown  ,,,N/,N/,N/,N/,N/,24th Jul 14  ,
46819,Signal,DS,09,Adventure,D3 Publisher  ,Studio Altair  ,,,N/,N/,N/,N/,N/,03rd Dec 09  ,
46820,Signs of Life,PC,14,Misc,Unknown  ,Unknown  ,,,N/,N/,N/,N/,N/,27th Jan 14  ,
46821,Silent Debuggers,PCE,91,Shooter,NEC  ,Data East  ,,,N/,N/,N/,N/,N/,01st Jan 91  ,
46822,Silent Debuggers,VC,07,Shooter,Hudson Soft  ,Data East  ,,,N/,N/,N/,N/,N/,16th Jul 07  ,
46823,Silent Heroes,PC,06,Strategy,Paradox Interactive   ,Dark Fox  ,,,N/,N/,N/,N/,N/,10th Sep 06  ,
46824,Silent Hill,PSN,09,Adventure,Sony Computer Entertainment  ,KCET  ,,,N/,N/,N/,N/,N/,10th Sep 09  ,
46825,Silent Hill 2,PC,02,Action,Konami  ,Creature Labs  ,,,N/,N/,N/,N/,N/,02nd Dec 02  ,
46826,Silent Hill 4: The Room,PC,04,Adventure,Konami  ,Team Silent  ,,,N/,N/,N/,N/,N/,07th Sep 04  ,
46827,Silent Hill: Origins,PSN,09,Action,Konami  ,Climax Group  ,,,N/,N/,N/,N/,N/,10th Dec 09  ,
46828,Silent Hill: Shattered Memories,PSN,10,Adventure,Konami  ,Climax Group  ,,,N/,N/,N/,N/,N/,28th Jan 10  ,
46829,Silent Hills,PS4,20,Action,Konami Digital Entertainment  ,Kojima Productions  ,,,N/,N/,N/,N/,N/,31st Dec 20  ,
46830,Silent Hunter Online,PC,20,Strategy,Ubisoft  ,Blue Byte  ,,,N/,N/,N/,N/,N/,31st Dec 20  ,
46831,Silent Hunter: Wolves of the Pacific U-Boat Missions Expansion,PC,08,Simulation,Ubisoft  ,Ubisoft Romania  ,,7.0  ,N/,N/,N/,N/,N/,24th Mar 08  ,
46832,Silent Mobius - Case: Titanic,PS,98,Adventure,Gainax Network Systems  ,Gainax  ,,,N/,N/,N/,N/,N/,08th Oct 98  ,
46833,Silent Mobius: Genei no Datenshi,PS,98,Role-Playing,"Emotion, Inc.  ","TechnoSoft Co., Ltd.  ",,,N/,N/,N/,N/,N/,23rd Dec 98  ,
46834,Silent Scope,DC,00,Shooter,Konami  ,KCET  ,,6.9  ,N/,N/,N/,N/,N/,23rd Oct 00  ,
46835,Silent Scope: Bone Eater,Arc,15,Misc,Konami Digital Entertainment  ,Unknown  ,,,N/,N/,N/,N/,N/,01st Jan 15  ,
46836,Silent Service,NES,89,Simulation,Ultra Games  ,Rare Ltd.  ,,,N/,N/,N/,N/,N/,01st Jan 89  ,
46837,Silent Service,PC,85,Simulation,Microprose  ,"MicroProse Software, Inc.  ",,,N/,N/,N/,N/,N/,01st Jan 85  ,
46838,Silent Service II,PC,90,Simulation,Microprose  ,"MicroProse Software, Inc  ",,,N/,N/,N/,N/,N/,01st Jan 90  ,
46839,Silent Steel: A Cinematic Strategy Adventure,PC,95,Adventure,Tsunami Media  ,"Tsunami Media, Inc.  ",,,N/,N/,N/,N/,N/,01st Jan 95  ,
46840,Silent Storm,PC,04,Strategy,Encore  ,Nival Interactive  ,,,N/,N/,N/,N/,N/,20th Jan 04  ,
46841,Silent Thunder: A-10 Tank Killer II,PC,96,Simulation,Sierra Entertainment  ,"Dynamix, Inc.  ",,,N/,N/,N/,N/,N/,29th Feb 96  ,
46842,Silhouette Mirage,SAT,97,Platform,ESP  ,"Treasure Co., Ltd.  ",,,N/,N/,N/,N/,N/,11th Sep 97  ,
46843,Silhouette Mirage,PSN,10,Platform,ESP  ,"Treasure Co., Ltd.  ",,,N/,N/,N/,N/,N/,25th Aug 10  ,
46844,Silk to Cotton,GBA,02,Action,Mig Entertainment  ,Mig Entertainment  ,,,N/,N/,N/,N/,N/,31st Oct 02  ,
46845,Silkroad Online,PC,04,Role-Playing,Unknown  ,"Joymax Co., Ltd.  ",,,N/,N/,N/,N/,N/,01st Jan 04  ,
46846,Silkroad Online: Legend VIII - Mysterious Temple of Jupiter,PC,11,Role-Playing,Unknown  ,Joymax  ,,,N/,N/,N/,N/,N/,02nd Aug 11  ,
46847,Silkworm,NES,90,Shooter,Sammy Corporation  ,Tecmo  ,,,N/,N/,N/,N/,N/,01st Jun 90  ,
46848,Silky & Milky,PC,01,Adventure,Unknown  ,Evolution (Japan)  ,,,N/,N/,N/,N/,N/,16th Mar 01  ,
46849,Silpheed,SCD,93,Shooter,Sega  ,Game Arts  ,,7.0  ,N/,N/,N/,N/,N/,01st Jan 93  ,
46850,Silpheed,PC,88,Shooter,Sierra Entertainment  ,Game Art  ,,,N/,N/,N/,N/,N/,01st Jan 88  ,
46851,Silver,DC,00,Role-Playing,Infogrames  ,Spiral House  ,,6.9  ,N/,N/,N/,N/,N/,29th Jun 00  ,
46852,Silver,PC,99,Role-Playing,Atari  ,Spiral House  ,,,N/,N/,N/,N/,N/,31st Aug 99  ,
46853,Silver Star Chess,WW,09,Strategy,Agetec  ,Agetec Inc.  ,,,N/,N/,N/,N/,N/,18th May 09  ,
46854,Silver Star Reversi,WW,09,Misc,Agetec  ,Electronic Arts  ,,,N/,N/,N/,N/,N/,29th Jun 09  ,
46855,Silver Surfer,NES,90,Shooter,Arcadia Systems  ,Software Creations  ,,,N/,N/,N/,N/,N/,01st Nov 90  ,
46856,Silver Zombie,And,14,Misc,Unknown  ,Unknown  ,,,N/,N/,N/,N/,N/,27th Mar 14  ,
46857,Silverfall,PSP,07,Role-Playing,Monte Christo Multimedia  ,Kyiv's Games  ,,,N/,N/,N/,N/,N/,03rd Aug 07  ,
46858,Silverfall,PC,07,Role-Playing,Atari  ,Kyiv's Games  ,,,N/,N/,N/,N/,N/,27th Mar 07  ,
46859,Silverfall: Earth Awakening,PC,08,Role-Playing,Unknown  ,Monte Cristo Multimedia  ,,,N/,N/,N/,N/,N/,18th Jul 08  ,
46860,Sim City 4: Rush Hour,PC,86,Simulation,Electronic Arts  ,Microsoft  ,,7.0  ,N/,N/,N/,N/,N/,01st Jan 86  ,
46861,SimAnt,SNES,93,Simulation,Maxis  ,Tomcat System  ,,,N/,N/,N/,N/,N/,01st Oct 93  ,
46862,SimAnt,PC,91,Simulation,Maxis  ,Maxis  ,,,N/,N/,N/,N/,N/,01st Jan 91  ,
46863,SimCity,VC,06,Simulation,Nintendo  ,Intelligent Systems  ,,7.5  ,N/,N/,N/,N/,N/,19th Nov 06  ,
46864,SimCity 2000,N64,98,Simulation,Imagineer  ,Genki  ,,3.5  ,N/,N/,N/,N/,N/,30th Jan 98  ,
46865,SimCity 2000,PSN,09,Simulation,Sony Computer Entertainment  ,Maxis  ,,,N/,N/,N/,N/,N/,27th Aug 09  ,
46866,SimCity 4: Rush Hour,PC,03,Simulation,Electronic Arts  ,Maxis  ,,,N/,N/,N/,N/,N/,22nd Sep 03  ,
46867,SimCity BuildIt,And,14,Simulation,Electronic Arts  ,Electronic Arts  ,,,N/,N/,N/,N/,N/,22nd Oct 14  ,
46868,SimCity Jr.,SNES,96,Simulation,Imagineer  ,Imagineer  ,,,N/,N/,N/,N/,N/,26th Jul 96  ,
46869,SimCoaster,PC,01,Strategy,Electronic Arts  ,Bullfrog Prod.  ,,,N/,N/,N/,N/,N/,30th Jan 01  ,
46870,SimCopter,PC,96,Simulation,Maxis  ,Maxis  ,,,N/,N/,N/,N/,N/,15th Oct 96  ,
46871,SimEarth: The Living Planet,PC,90,Simulation,Maxis  ,Maxis  ,,,N/,N/,N/,N/,N/,01st Jan 90  ,
46872,SimEarth: The Living Planet,SCD,93,Simulation,Sega  ,Maxis  ,,,N/,N/,N/,N/,N/,12th Mar 93  ,
46873,SimEarth: The Living Planet,PCE,93,Simulation,Hudson Soft  ,Maxis  ,,,N/,N/,N/,N/,N/,01st Jan 93  ,
46874,SimEarth: The Living Planet,VC,09,Simulation,Hudson Soft  ,Maxis  ,,,N/,N/,N/,N/,N/,22nd Jun 09  ,
46875,SimGolf,PC,96,Simulation,Magic Pockets  ,Maxis Software  ,,,N/,N/,N/,N/,N/,01st Jan 96  ,
46876,SimIsle: Missions in the Rainforest,PC,95,Simulation,Maxis  ,"Intelligent Games, Ltd.  ",,,N/,N/,N/,N/,N/,30th Sep 95  ,
46877,SimLife,PC,92,Simulation,Maxis  ,Maxis Software  ,,,N/,N/,N/,N/,N/,01st Jan 92  ,
46878,Simon the Sorcerer,PC,93,Adventure,Infocom  ,Adventuresoft  ,,,N/,N/,N/,N/,N/,02nd Jan 93  ,
46879,Simon the Sorcerer 4: Chaos Happens,PC,07,Adventure,RTL  ,Silver Style Entertainment e.K.  ,,,N/,N/,N/,N/,N/,23rd Feb 07  ,
46880,Simon the Sorcerer 5: Who'd Even Want Contact?!,PC,09,Adventure,Atari  ,Silver Style Entertainment  ,,,N/,N/,N/,N/,N/,26th Mar 09  ,
46881,"Simon the Sorcerer II: The Lion, the Wizard and the Wardrobe",PC,95,Adventure,Adventure Soft  ,Adventuresoft  ,,,N/,N/,N/,N/,N/,02nd Jan 95  ,
46882,Simon the Sorcerer's Pinball,PC,98,Misc,Adventure Soft  ,Adventure Soft  ,,,N/,N/,N/,N/,N/,01st Jan 98  ,
46883,SimPark,PC,96,Simulation,Maxis  ,Maxis Software  ,,,N/,N/,N/,N/,N/,31st Oct 96  ,
46884,Simple 1500 Jitsuyou Series Vol. 10: Tarot Uranai,PS,01,Misc,D3 Publisher  ,Game Stage  ,,,N/,N/,N/,N/,N/,25th Oct 01  ,
46885,Simple 1500 Jitsuyou Series Vol. 11: Katei de Dekiru Tsubo Shiatsu,PS,01,Misc,D3 Publisher  ,ASK  ,,,N/,N/,N/,N/,N/,13th Dec 01  ,
46886,Simple 1500 Jitsuyou Series Vol. 12: Katei no Igaku,PS,01,Misc,D3 Publisher  ,ASK  ,,,N/,N/,N/,N/,N/,13th Dec 01  ,
46887,Simple 1500 Jitsuyou Series Vol. 14: Kurashi no Manner,PS,02,Misc,D3 Publisher  ,Sol  ,,,N/,N/,N/,N/,N/,14th Feb 02  ,
46888,Simple 1500 Jitsuyou Series Vol. 15: Inu no Kaikata,PS,02,Misc,D3 Publisher  ,Billiken Soft  ,,,N/,N/,N/,N/,N/,18th Apr 02  ,
46889,Simple 1500 Jitsuyou Series Vol. 16: Neko no Kaikata,PS,02,Misc,D3 Publisher  ,Billiken Soft  ,,,N/,N/,N/,N/,N/,18th Apr 02  ,
46890,Simple 1500 Jitsuyou Series Vol. 17: Planetarium,PS,02,Misc,D3 Publisher  ,Highwaystar  ,,,N/,N/,N/,N/,N/,18th Apr 02  ,
46891,Simple 1500 Jitsuyou Series Vol. 18: Kanji Quiz: Kanji Kentei ni Challenge,PS,02,Misc,D3 Publisher  ,Dyna  ,,,N/,N/,N/,N/,N/,23rd May 02  ,
46892,Simple 1500 Jitsuyou Series Vol. 1: Norikae Annai- 2000 Edition,PS,00,Misc,D3 Publisher  ,Jorudan  ,,,N/,N/,N/,N/,N/,14th Sep 00  ,
46893,Simple 1500 Jitsuyou Series Vol. 2: Katei no Fuusui,PS,00,Misc,D3 Publisher  ,Game Stage  ,,,N/,N/,N/,N/,N/,24th Aug 00  ,
46894,Simple 1500 Jitsuyou Series Vol. 3: Seimei Handan,PS,00,Misc,D3 Publisher  ,Game Stage  ,,,N/,N/,N/,N/,N/,24th Aug 00  ,
46895,Simple 1500 Jitsuyou Series Vol. 4: Ryouri ~Teiban Ryouri Recipe Shou~,PS,00,Misc,D3 Publisher  ,Nekogumi  ,,,N/,N/,N/,N/,N/,24th Aug 00  ,
46896,Simple 1500 Jitsuyou Series Vol. 5: Kusuri no Jiten - Pill Book 2001 Edition,PS,01,Misc,D3 Publisher  ,Hi  ,,,N/,N/,N/,N/,N/,18th Jan 01  ,
46897,Simple 1500 Jitsuyou Series Vol. 6: Cocktail no Recipe,PS,01,Misc,D3 Publisher  ,Astroll  ,,,N/,N/,N/,N/,N/,18th Jan 01  ,
46898,Simple 1500 Jitsuyou Series Vol. 7: Rakushiku Manabu Unten Menkyo,PS,01,Misc,D3 Publisher  ,Vingt-et-un Systems  ,,,N/,N/,N/,N/,N/,02nd May 01  ,
46899,Simple 1500 Jitsuyou Series Vol. 8: 1-Jikan de Wakaru Kabushiki Toushi,PS,01,Misc,D3 Publisher  ,Game Stage  ,,,N/,N/,N/,N/,N/,26th Jul 01  ,
46900,Simple 1500 Jitsuyou Series Vol. 9: Watashi Style no Aromatherapy,PS,01,Misc,D3 Publisher  ,Hi  ,,,N/,N/,N/,N/,N/,26th Jul 01  ,
