Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date,Last_Update
55901,Automachef,PC,19,Simulation,Team 17  ,Hermes Interactive  ,,,N/,N/,N/,N/,N/,23rd Jul 19  ,17th Aug 19
55902,Avadon 2: The Corruption,PC,13,Role-Playing,Spiderweb Software   ,Spiderweb Software  ,,,N/,N/,N/,N/,N/,30th Oct 13  ,17th Apr 19
55903,Avadon 3: The Warborn,PC,16,Role-Playing,Spiderweb Software   ,Spiderweb Software  ,,,N/,N/,N/,N/,N/,14th Sep 16  ,17th Apr 19
55904,Avarice: The Final Saga (OS/2 Warp),PC,96,Adventure,Stardock  ,Continuous Software Systems  ,,,N/,N/,N/,N/,N/,01st Jan 96  ,31st Mar 18
55905,Avatar: Frontiers of Pandora,PC,,Action-Adventure,Unknown  ,Ubisoft  ,,,N/,N/,N/,N/,N/,,12th Jun 21
55906,Avatar: Frontiers of Pandora,PS5,,Action-Adventure,Unknown  ,Ubisoft  ,,,N/,N/,N/,N/,N/,,12th Jun 21
55907,Avatar: Frontiers of Pandora,XS,,Action-Adventure,Unknown  ,Ubisoft  ,,,N/,N/,N/,N/,N/,,12th Jun 21
55908,Aven Colony,PC,,Strategy,Unknown  ,Mothership Entertainment  ,,,N/,N/,N/,N/,N/,,23rd Jan 22
55909,AVICII Invector,XOne,19,Music,Wired Productions  ,Wired Productions  ,,,N/,N/,N/,N/,N/,11th Dec 19  ,17th Aug 20
55910,AVICII Invector,PS4,19,Music,Wired Productions  ,Wired Productions  ,,,N/,N/,N/,N/,N/,11th Dec 19  ,17th Aug 20
55911,AVICII Invector,PC,19,Music,Wired Productions  ,Wired Productions  ,,,N/,N/,N/,N/,N/,11th Dec 19  ,17th Aug 20
55912,AVICII Invector,NS,20,Music,Wired Productions  ,Wired Productions  ,,,N/,N/,N/,N/,N/,08th Sep 20  ,17th Aug 20
55913,Avowed,XS,20,Role-Playing,Xbox Game Studios  ,Obsidian Entertainment  ,7.0  ,,N/,N/,N/,N/,N/,01st Dec 20  ,23rd Jul 20
55914,Avowed,PC,20,Role-Playing,Xbox Game Studios  ,Obsidian Entertainment  ,,,N/,N/,N/,N/,N/,01st Dec 20  ,23rd Jul 20
55915,AWAY: Journey to the Unexpected,NS,18,Action-Adventure,PLAYDIUS  ,Aurelien Regard Games  ,,,N/,N/,N/,N/,N/,30th Dec 18  ,01st Feb 18
55916,Awsome Pea,PS4,,Action,Unknown  ,Sometimes You  ,,,N/,N/,N/,N/,N/,,29th Jan 24
55917,Awsome Pea,XOne,,Action,Unknown  ,Sometimes You  ,,,N/,N/,N/,N/,N/,,29th Jan 24
55918,Awsome Pea,PC,,Action,Unknown  ,Sometimes You  ,,,N/,N/,N/,N/,N/,,29th Jan 24
55919,Awsome Pea 2,PC,,Action,Unknown  ,Sometimes You  ,,,N/,N/,N/,N/,N/,,29th Jan 24
55920,Awsome Pea 2,NS,,Action,Unknown  ,Sometimes You  ,,,N/,N/,N/,N/,N/,,29th Jan 24
55921,Awsome Pea 2,XOne,,Action,Unknown  ,Sometimes You  ,,,N/,N/,N/,N/,N/,,29th Jan 24
55922,Awsome Pea 2,PS4,,Action,Unknown  ,Sometimes You  ,,,N/,N/,N/,N/,N/,,29th Jan 24
55923,Awsome Pea 3,PC,,Action,Unknown  ,Sometimes You  ,,,N/,N/,N/,N/,N/,,29th Jan 24
55924,Axiom Verge 2,NS,21,Action-Adventure,Thomas Happ Games  ,Thomas Happ Games  ,,,N/,N/,N/,N/,N/,11th Aug 21  ,10th Dec 19
55925,Axiom Verge 2,PS5,,Action-Adventure,Unknown  ,Thomas Happ Games  ,,,N/,N/,N/,N/,N/,,12th Jun 21
55926,Axiom Verge 2,PS4,,Action-Adventure,Unknown  ,Thomas Happ Games  ,,,N/,N/,N/,N/,N/,,12th Jun 21
55927,Axiom Verge 2,PC,,Action-Adventure,Unknown  ,Thomas Happ Games  ,,,N/,N/,N/,N/,N/,,12th Jun 21
55928,Axis Football 2015,PC,,Sports,Unknown  ,Unknown  ,,,N/,N/,N/,N/,N/,,09th Feb 24
55929,Axis Football 2016,PC,16,Sports,Unknown  ,Unknown  ,,,N/,N/,N/,N/,N/,29th Jul 16  ,06th Feb 24
55930,Axis Football 2017,PC,17,Sports,Unknown  ,Unknown  ,,,N/,N/,N/,N/,N/,16th Aug 17  ,06th Feb 24
55931,Axis Football 2018,PC,18,Sports,Unknown  ,Unknown  ,,,N/,N/,N/,N/,N/,14th Sep 18  ,06th Feb 24
55932,Axis Football 2019,PC,19,Sports,Unknown  ,Unknown  ,,,N/,N/,N/,N/,N/,27th Sep 19  ,06th Feb 24
55933,Axis Football 2020,PC,,Sports,Unknown  ,Unknown  ,,,N/,N/,N/,N/,N/,,06th Feb 24
55934,Axis Football 2021,PC,21,Sports,Unknown  ,Unknown  ,,,N/,N/,N/,N/,N/,26th Aug 21  ,06th Feb 24
55935,AXYOS: Battlecards,PC,19,Strategy,Axyos Games  ,Axyos Games  ,,,N/,N/,N/,N/,N/,22nd Apr 19  ,31st Mar 19
55936,Azkend 2: The World Beneath,NS,18,Puzzle,10tons  ,10tons Ltd  ,,,N/,N/,N/,N/,N/,12th Jan 18  ,18th Jan 18
