Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date,Last_Update
53201,We Love JUGGLER,PSP,10,Adventure,Kita Denshi  ,Kita Denshi  ,,,N/,N/,N/,N/,N/,18th Mar 10  ,
53202,We Sing (2016),XOne,16,Music,THQ Nordic  ,THQ Nordic  ,,,N/,N/,N/,N/,N/,31st Dec 16  ,07th Sep 18
53203,We're Back - A Dinosaurs Tale,GG,93,Action,Hi Tech Expressions  ,Hi Tech Expressions  ,,,N/,N/,N/,N/,N/,01st Jan 93  ,
53204,We're Back! A Dinosaur's Story,GB,93,Platform,Hi Tech Expressions  ,Beam Software  ,,,N/,N/,N/,N/,N/,01st Oct 93  ,
53205,We're Back! A Dinosaur's Story,SNES,93,Platform,Hi Tech Expressions  ,Visual Concepts  ,,,N/,N/,N/,N/,N/,01st Nov 93  ,
53206,Weakness Hero Torauman,DC,02,Action,Fortyfive  ,Fortyfive  ,,,N/,N/,N/,N/,N/,28th Feb 02  ,
53207,Weapon of Choice,XBL,08,Action,Microsoft  ,Mommy's Best Games  ,,,N/,N/,N/,N/,N/,12th Dec 08  ,01st Oct 18
53208,Weapon Shop de Omasse,3DS,14,Role-Playing,Level 5  ,Level 5  ,,5.6  ,N/,N/,N/,N/,N/,20th Feb 14  ,12th Apr 18
53209,WeaponLord,GEN,95,Fighting,Namco  ,Visual Concepts  ,,,N/,N/,N/,N/,N/,01st Jan 95  ,
53210,WeaponLord,SNES,95,Fighting,Namco  ,Visual Concepts  ,,,N/,N/,N/,N/,N/,01st Sep 95  ,
53211,Web Mystery: Yochi Yume o Kenru Neko,DC,99,Adventure,Mebius  ,Mebius  ,,,N/,N/,N/,N/,N/,22nd Apr 99  ,
53212,WeChat Speed,And,14,Misc,Tencent Technology(Shenzhen) Company Limited  ,Unknown  ,,,N/,N/,N/,N/,N/,26th Mar 14  ,
53213,Wedding Dash,PC,07,Simulation,PlayFirst  ,PlayFirst  ,,,N/,N/,N/,N/,N/,17th Oct 07  ,
53214,Wedding Dash 2: Rings Around the World,PC,08,Simulation,PlayFirst  ,PlayFirst  ,,,N/,N/,N/,N/,N/,01st Sep 08  ,
53215,Wedding Peach,SNES,95,Simulation,KSS  ,KSS  ,,,N/,N/,N/,N/,N/,29th Sep 95  ,
53216,Wedding Peach: Doki Doki Oiro-naoshi Fashion Dai-sakusen,PS,96,Simulation,KSS  ,KSS  ,,,N/,N/,N/,N/,N/,27th Sep 96  ,
53217,Wedding Peach: Jamapii Panic,GB,95,Puzzle,KSS  ,Atelier Double  ,,,N/,N/,N/,N/,N/,08th Dec 95  ,
53218,Weird Park: Broken Tune,PC,11,Puzzle,Unknown  ,"Alawar Entertainment, Inc.  ",,,N/,N/,N/,N/,N/,26th Oct 11  ,03rd May 19
53219,Weird Worlds: Return to Infinite Space,PC,05,Strategy,Shrapnel Games  ,Digital Eel  ,,,N/,N/,N/,N/,N/,04th Nov 05  ,
53220,Welcome to Mexico,XBL,09,Platform,Microsoft  ,Angelo Pelini  ,,,N/,N/,N/,N/,N/,28th Feb 09  ,
53221,Weltorv Estleia,PS,99,Role-Playing,Hudson Soft  ,Hudson Soft  ,,,N/,N/,N/,N/,N/,25th Feb 99  ,
53222,Wendy: Every Witch Way,GB,01,Platform,TDK Mediactive  ,WayForward Technologies  ,,,N/,N/,N/,N/,N/,28th Aug 01  ,
53223,Werewolf Hallow,XBL,10,Shooter,Microsoft  ,cgIRIS  ,,,N/,N/,N/,N/,N/,29th Nov 10  ,
53224,Werewolf: The Last Warrior,NES,90,Platform,Data East  ,Takara  ,,,N/,N/,N/,N/,N/,01st Jan 90  ,
53225,Werewolves vs Vampires,PS4,14,Misc,10tons Ltd  ,Unknown  ,,,N/,N/,N/,N/,N/,08th Apr 14  ,
53226,Werewolves vs Vampires,PSV,14,Misc,10tons Ltd  ,Unknown  ,,,N/,N/,N/,N/,N/,04th Feb 14  ,
53227,Werewolves vs Vampires,And,12,Misc,10tons Ltd  ,Unknown  ,,,N/,N/,N/,N/,N/,27th Sep 12  ,
53228,West,XBL,10,Role-Playing,Microsoft  ,WizardBertius  ,,,N/,N/,N/,N/,N/,30th Nov 10  ,
53229,Western Outlaw: Wanted Dead or Alive,PC,03,Shooter,Groove Games  ,Jarhead Games  ,,,N/,N/,N/,N/,N/,28th Sep 03  ,
53230,Western Story,And,,Misc,Unknown  ,Unknown  ,,,N/,N/,N/,N/,N/,,
53231,Westward IV: All Aboard,PC,,Strategy,Unknown  ,Sandlot Games  ,,,N/,N/,N/,N/,N/,,
53232,Wet 2,PS3,,Shooter,Unknown  ,Behaviour Interactive Inc.  ,,,N/,N/,N/,N/,N/,,
