Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date,Last_Update
26201,Barker Bill's Trick Shooting,NES,90,Shooter,Nintendo  ,Nintendo R&D1  ,,,N/,N/,N/,N/,N/,01st Aug 90  ,
26202,Barkley: Shut Up and Jam 2,GEN,95,Sports,Accolade  ,Accolade  ,,,N/,N/,N/,N/,N/,01st Jan 95  ,
26203,Barkley: Shut Up and Jam!,GEN,93,Sports,Accolade  ,Accolade  ,,,N/,N/,N/,N/,N/,01st Jan 93  ,
26204,Barkley: Shut Up and Jam!,SNES,94,Sports,Accolade  ,Accolade  ,,,N/,N/,N/,N/,N/,01st Jun 94  ,
26205,Barney's Hide and Seek,GEN,93,Platform,Sega  ,Realtime Associates  ,,,N/,N/,N/,N/,N/,01st Jan 93  ,
26206,Barnyard,PC,06,Action,THQ  ,Blue Tongue  ,,,N/,N/,N/,N/,N/,01st Aug 06  ,
26207,Barnyard Blaster,7800,88,Action,Atari  ,Atari  ,,,N/,N/,N/,N/,N/,01st Jan 88  ,
26208,Baron Wittard: Nemesis of Ragnarok,PC,11,Misc,Iceberg Interactive  ,Unknown  ,,,N/,N/,N/,N/,N/,18th Feb 11  ,
26209,Baroque,SAT,98,Role-Playing,Sting  ,Sting  ,,,N/,N/,N/,N/,N/,21st May 98  ,
26210,Baroque,PS,99,Role-Playing,Sting  ,Sting  ,,,N/,N/,N/,N/,N/,28th Oct 99  ,
26211,Baroque Syndrome,PS,00,Role-Playing,Sting  ,Sting  ,,,N/,N/,N/,N/,N/,27th Jul 00  ,
26212,Bart Simpson's Escape From Camp Deadly,GB,91,Platform,Acclaim Entertainment  ,Imagineering Inc.  ,,,N/,N/,N/,N/,N/,01st Nov 91  ,
26213,Bartender DS,DS,07,Misc,Electronic Arts  ,Electronic Arts  ,,,N/,N/,N/,N/,N/,27th Sep 07  ,
26214,Barunba,PCE,90,Shooter,Namco  ,Zap  ,,,N/,N/,N/,N/,N/,27th Apr 90  ,
26215,Baseball,VC,07,Sports,Nintendo  ,Nintendo  ,,,N/,N/,N/,N/,N/,01st Jan 07  ,
26216,Baseball,3DS,11,Sports,Nintendo  ,Nintendo  ,,5.0  ,N/,N/,N/,N/,N/,14th Jul 11  ,
26217,Baseball (3DS VC),3DS,,Sports,Unknown  ,Nintendo  ,,,N/,N/,N/,N/,N/,,
26218,Baseball 2000,PC,99,Sports,Microsoft  ,WizBang! Software Productions  ,,,N/,N/,N/,N/,N/,31st Mar 99  ,
26219,Baseball Heroes,Lynx,92,Action,Atari  ,Atari  ,,,N/,N/,N/,N/,N/,01st Jan 92  ,
26220,Baseball Mania,PS2,,Sports,Unknown  ,Tamsoft  ,,,N/,N/,N/,N/,N/,,
26221,Baseball Navigator,PS,97,Sports,Angel Studios  ,Angel Studios  ,,,N/,N/,N/,N/,N/,31st Jul 97  ,
26222,Baseball Pro nami Kusauakyuu,PS,,Sports,Unknown  ,Unknown  ,,,N/,N/,N/,N/,N/,,
26223,Baseball Simulation: ID Pro Yakyuu,PS,01,Sports,Konami  ,Konami  ,,,N/,N/,N/,N/,N/,25th Jan 01  ,
26224,Baseball Simulator 1.000,NES,90,Sports,Culture Brain  ,Culture Brain  ,,,N/,N/,N/,N/,N/,01st Mar 90  ,
26225,Baseball Stars,NES,89,Sports,SNK  ,SNK Corporation  ,,,N/,N/,N/,N/,N/,01st Jul 89  ,
26226,Baseball Stars 2,NG,92,Sports,SNK  ,SNK Corporation  ,,,N/,N/,N/,N/,N/,28th Apr 92  ,
26227,Baseball Stars 2,VC,07,Sports,D4 Enterprise  ,SNK Corporation  ,,,N/,N/,N/,N/,N/,10th Dec 07  ,
