Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date,Last_Update
17601,Test Drive: Ferrari Legends,X360,12,Racing,Atari  ,Slightly Mad Studios  ,,,N/,0.05,0.04,N/,N/,03rd Jul 12  ,04th Jan 19
17602,Mighty No. 9,XOne,15,Platform,Eidos Interactive Ltd  ,Comcept  ,,,N/,0.05,0.04,N/,N/,01st Jul 15  ,04th Jul 18
17603,E.X. Troopers,PS3,12,Action,Capcom  ,HexaDrive  ,,,N/,0.05,N/,N/,0.05,22nd Nov 12  ,23rd Dec 18
17604,Nobunaga's Ambition II,3DS,15,Strategy,Tecmo Koei  ,Koei  ,,,N/,0.05,N/,N/,0.05,06th Aug 15  ,
17605,Kiniro no Corda 2 Encore,PS2,07,Role-Playing,KOEI  ,Koei  ,,,N/,0.05,N/,N/,0.05,20th Sep 07  ,
17606,M&M's Adventure,DS,08,Adventure,Zoo Digital Publishing  ,Nikitova Games  ,,,N/,0.05,0.04,N/,N/,02nd Dec 08  ,
17607,ESPN Great Outdoor Games Bass 2002,GBA,01,Sports,Konami  ,Konami  ,,5.5  ,N/,0.05,0.03,0.01,N/,29th Nov 01  ,
17608,Sushi Go-Round,Wii,10,Simulation,SouthPeak Interactive  ,Asylum Entertainment  ,,,N/,0.05,0.04,N/,N/,30th Mar 10  ,
17609,Need For Speed Underground,PC,03,Racing,Electronic Arts  ,EA Black Box  ,,,N/,0.05,N/,0.04,N/,17th Nov 03  ,
17610,Soul Eater: Medusa no Inbou,DS,08,Action,Namco Bandai  ,Bandai Namco Games  ,,,N/,0.05,N/,N/,0.05,23rd Oct 08  ,
17611,Guild Wars Trilogy,PC,05,Role-Playing,NCSoft  ,ArenaNet  ,,,N/,0.05,0.00,0.04,N/,26th Apr 05  ,
17612,Batman: The Enemy Within,XOne,17,Adventure,Telltale Games  ,Telltale Games  ,,,N/,0.05,0.04,N/,N/,03rd Oct 17  ,29th Jun 18
17613,Monster Jam: Crush It,PS4,17,Racing,GameMill  ,GameMill  ,,,N/,0.05,0.04,N/,N/,17th Jan 17  ,
17614,The Sims,PC,00,Simulation,Maxis  ,Maxis  ,,8.9  ,N/,0.05,0.01,0.03,N/,31st Jan 00  ,
17615,Rugby Challenge 3,X360,16,Sports,Alternative Software  ,Wicked Witch Software  ,,,N/,0.05,N/,0.04,N/,22nd Apr 16  ,18th Apr 18
17616,WRC 7,XOne,17,Racing,Bigben Interactive  ,Kylotonn Entertainment  ,,,N/,0.05,0.04,N/,N/,03rd Oct 17  ,06th Jan 18
17617,Punch King,GBA,02,Fighting,Acclaim Entertainment  ,Full Fat  ,,,N/,0.05,0.03,0.01,N/,15th May 02  ,
17618,World Championship Pool 2004,PS2,04,Sports,Jaleco  ,Blade Interactive  ,,,N/,0.05,0.02,0.02,N/,27th Apr 04  ,
17619,Prison Architect,PS4,16,Simulation,Introversion Software  ,Introversion Software  ,,,N/,0.05,0.02,0.02,N/,28th Jun 16  ,18th Aug 18
17620,V-Rally 3,GBA,02,Racing,Atari  ,Velez & Dubail  ,,,N/,0.05,0.03,0.01,N/,30th Sep 02  ,
17621,Kakuto Chojin,XB,02,Fighting,Microsoft Game Studios  ,DreamFactory  ,,,N/,0.05,0.04,0.01,N/,11th Nov 02  ,
17622,Beyond Oasis,GEN,94,Role-Playing,Sega  ,Ancient  ,,,N/,0.05,N/,N/,0.05,08th Dec 94  ,
17623,Robotech: Invasion,XB,04,Shooter,Global Star Software  ,Vicious Cycle  ,,,N/,0.05,0.04,0.01,N/,05th Oct 04  ,
17624,Jewel Quest Mysteries,DS,09,Puzzle,Activision  ,Activision  ,,,N/,0.05,0.03,0.01,N/,03rd Nov 09  ,
17625,Muramasa: The Demon Blade,Wii,09,Role-Playing,Ignition Entertainment  ,Vanillaware  ,8.6  ,8.0  ,0.05,N/,N/,N/,N/,08th Sep 09  ,10th Jan 19
17626,Wii de Asobu Chibi-Robo!,Wii,09,Adventure,Nintendo  ,skip Ltd.  ,,,N/,0.05,N/,N/,0.05,11th Jun 09  ,
