Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date,Last_Update
39001,Mahjong Gakuensai DX,SAT,98,Misc,Unknown  ,Make Software  ,,,N/,N/,N/,N/,N/,23rd Sep 98  ,
39002,Mahjong Gensoukyoku 3,PC,96,Simulation,Active  ,Active  ,,,N/,N/,N/,N/,N/,31st May 96  ,
39003,Mahjong Gensoukyoku I-II,PC,96,Misc,Active  ,Active  ,,,N/,N/,N/,N/,N/,20th Sep 96  ,
39004,Mahjong Goku Special,PCE,90,Misc,Sunsoft  ,Chatnoir  ,,,N/,N/,N/,N/,N/,10th Aug 90  ,
39005,Mahjong Goku Tenjiku,PCFX,95,Misc,NEC Interchannel   ,Chat Noir  ,,,N/,N/,N/,N/,N/,24th Mar 95  ,
39006,Mahjong Goku Tenjiku,SAT,94,Misc,Electronic Arts Victor  ,Chat Noir  ,,,N/,N/,N/,N/,N/,22nd Nov 94  ,
39007,Mahjong Goku Tenjiku,PS,94,Misc,Electronic Arts Victor  ,Chat Noir  ,,,N/,N/,N/,N/,N/,03rd Dec 94  ,
39008,Mahjong Goku Tenjiku,3DO,94,Misc,ASCII Entertainment  ,Chat Noir  ,,,N/,N/,N/,N/,N/,25th Jun 94  ,
39009,Mahjong Goku Tenjiku,SNES,94,Misc,Chat Noir  ,Chat Noir  ,,,N/,N/,N/,N/,N/,19th Aug 94  ,
39010,Mahjong Goku Tenjiku 99,PS,99,Misc,Chat Noir  ,Chat Noir  ,,,N/,N/,N/,N/,N/,03rd Jun 99  ,
39011,Mahjong Haoh Battle Royale,PS2,05,Misc,NCS  ,NCS  ,,,N/,N/,N/,N/,N/,14th Jul 05  ,
39012,Mahjong Haoh Battle Royale II,PSP,10,Misc,NCS  ,NCS  ,,,N/,N/,N/,N/,N/,14th Jan 10  ,
39013,Mahjong Haoh Battle Royale II,PS2,06,Misc,NCS  ,NCS  ,,,N/,N/,N/,N/,N/,13th Apr 06  ,
39014,Mahjong Haoh: Dankyuu Battle 3,PS3,13,Misc,NCS  ,Unknown  ,,,N/,N/,N/,N/,N/,31st Oct 13  ,
39015,Mahjong Haouden: Kaiser's Quest,PCE,92,Misc,UPL   ,UPL  ,,,N/,N/,N/,N/,N/,28th Feb 92  ,
39016,Mahjong Keiji,GBA,01,Misc,Hudson Entertainment  ,Hudson  ,,,N/,N/,N/,N/,N/,12th Jul 01  ,
39017,Mahjong Kuru Jidai: AV Gal Seifukuhen,3DO,94,Misc,Micronet  ,Micronet  ,,,N/,N/,N/,N/,N/,20th Jul 94  ,
39018,Mahjong Kuru Jidai: Ko Gal Hokagohen,3DO,95,Misc,Micronet  ,Micronet  ,,,N/,N/,N/,N/,N/,18th Oct 95  ,
39019,Mahjong Quest,GB,98,Misc,J-Wing  ,J-Wing  ,,,N/,N/,N/,N/,N/,23rd Dec 98  ,
39020,Mahjong Quest Collection,PC,09,Misc,iWin   ,iWin  ,,,N/,N/,N/,N/,N/,24th Aug 09  ,
39021,Mahjong Sengoku Jidai,MS,87,Misc,Sega  ,Sega  ,,,N/,N/,N/,N/,N/,18th Oct 87  ,
39022,Mahjong Shikaku Retsuden: Mahjong Wars,PCE,90,Misc,Nihon Bussan  ,Nichibutsu  ,,,N/,N/,N/,N/,N/,01st Feb 90  ,
39023,Mahjong Solitaire,PSN,10,Puzzle,Agetec  ,Agetec  ,,,N/,N/,N/,N/,N/,29th Jun 10  ,
39024,Mahjong Taikai,NES,89,Misc,KOEI  ,Koei  ,,,N/,N/,N/,N/,N/,31st Oct 89  ,
