Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date,Last_Update
23301,ArmA: Queen's Gambit,PC,07,Shooter,505 Games  ,Bohemia Interactive  ,,,N/,0.00,N/,0.00,N/,28th Sep 07  ,
23302,Discworld Noir,PC,99,Adventure,GT Interactive  ,Perfect Entertainment  ,,,N/,0.00,N/,0.00,N/,01st Jan 99  ,
23303,FlatOut,PC,05,Racing,Empire Interactive  ,Bugbear Entertainment  ,,,N/,0.00,0.00,0.00,N/,12th Jul 05  ,
23304,Konami Double Pack: Metal Gear Solid Portable Ops / Coded Arms,PSP,09,Action,Konami  ,Konami  ,,,N/,0.00,N/,0.00,N/,09th Apr 09  ,
23305,LEGO Racers 2,GBA,01,Racing,LEGO Media  ,Pocket Studios  ,,,N/,0.00,0.00,0.00,N/,27th Nov 01  ,
23306,LEGO Racers 2,PC,01,Racing,LEGO Media  ,Attention To Detail  ,,,N/,0.00,N/,0.00,N/,04th Oct 01  ,
23307,Buffy the Vampire Slayer: Sacrifice,DS,09,Action,505 Games  ,Beast  ,,,N/,0.00,N/,0.00,N/,13th Feb 09  ,
23308,Ferrari Challenge Trofeo Pirelli,PS3,08,Racing,Activision  ,Eutechnyx  ,,,N/,0.00,0.00,0.00,N/,26th Aug 08  ,
23309,"Mind, Body & Soul: Spellbound 2",DS,10,Misc,505 Games  ,505 Games  ,,,N/,0.00,N/,0.00,N/,26th Mar 10  ,
23310,Tour de France 2011,PS3,,Sports,Unknown  ,Cyanide Studio  ,,6.0  ,N/,0.00,N/,0.00,N/,,
23311,Blitzkrieg: Rolling Thunder,PC,04,Strategy,CDV Software Entertainment  ,Nival Interactive / La Plata Studios  ,,,N/,0.00,N/,0.00,N/,30th Nov 04  ,
23312,Destroyer Command,PC,02,Strategy,Ubisoft  ,Ultimation Inc  ,,,N/,0.00,N/,0.00,N/,14th Feb 02  ,
23313,echoshift,PSP,10,Puzzle,Sony Computer Entertainment  ,JAPAN Studio / Artoon  ,,7.5  ,N/,0.00,N/,0.00,N/,24th Feb 10  ,17th Sep 18
23314,Gothic 3: Forsaken Gods,PC,08,Role-Playing,JoWood Productions  ,Trine Games  ,,4.4  ,N/,0.00,N/,0.00,N/,20th Nov 08  ,04th Jan 18
23315,Sea Dogs,PC,00,Simulation,Bethesda Softworks  ,Akella  ,,,N/,0.00,N/,0.00,N/,24th Nov 00  ,
23316,Army Men,PC,98,Action,3DO  ,3DO  ,,,N/,0.00,N/,0.00,N/,30th Apr 98  ,
23317,Disney Violetta: Rhythm & Music,3DS,14,Music,Disney Interactive Studios  ,Little Orbit  ,,,N/,0.00,N/,0.00,N/,26th Sep 14  ,07th Apr 18
23318,Fallout: New Vegas Ultimate Edition,PS3,12,Role-Playing,Bethesda Softworks  ,Obsidian Entertainment  ,,,N/,0.00,0.00,N/,N/,07th Feb 12  ,
23319,Intellivision Lives!,DS,10,Misc,Virtual Play Games  ,Intellivision Productions Inc.  ,,,N/,0.00,0.00,N/,N/,14th Sep 10  ,
23320,King of Clubs,PSP,08,Sports,Oxygen Interactive  ,Oxygen Interactive  ,,,N/,0.00,N/,0.00,N/,20th Mar 08  ,
23321,Spinout,PSP,08,Racing,Ghostlight  ,Icon Games  ,,,N/,0.00,N/,0.00,N/,20th Mar 08  ,
23322,Top Trumps: Dogs & Dinosaurs,DS,07,Puzzle,Ubisoft  ,Sogoplay  ,,,N/,0.00,N/,0.00,N/,12th Oct 07  ,
23323,Passport to... Amsterdam,PSP,06,Misc,Sony Computer Entertainment  ,SCEE London Studio  ,,,N/,0.00,N/,0.00,N/,22nd Sep 06  ,24th Sep 18
23324,SimFarm,PC,93,Simulation,Maxis  ,Maxis Software  ,,,N/,0.00,N/,0.00,N/,01st Jan 93  ,
23325,Star Wolves,PC,05,Role-Playing,1C Company  ,X-Bow Software  ,,,N/,0.00,N/,0.00,N/,04th Mar 05  ,
23326,Tumblebugs 2,PC,08,Puzzle,Mumbo Jumbo  ,Wildfire Studios  ,,,N/,0.00,0.00,N/,N/,21st Oct 08  ,
23327,Undercover: Dual Motives,DS,,Adventure,Unknown  ,Sproing Interactive Media  ,,,N/,0.00,N/,0.00,N/,,
23328,Battle of the Bands,Wii,08,Misc,THQ  ,Planet Moon Studios  ,,,N/,0.00,0.00,0.00,N/,21st Apr 08  ,
23329,Grand Theft Auto,PC,98,Action,ASC Games  ,DMA Design  ,,6.4  ,N/,0.00,N/,0.00,N/,24th Mar 98  ,
23330,Jewel Link Double Pack: Atlantic Quest / Galactic Quest,DS,14,Puzzle,Avanquest Software  ,Avanquest Software  ,,,N/,0.00,N/,0.00,N/,30th May 14  ,08th May 19
23331,Metropolis Crimes,DS,09,Adventure,Ubisoft  ,Lexis Numerique  ,,,N/,0.00,N/,0.00,N/,01st Oct 09  ,
23332,Reveries: Seelenfänger,PC,15,Puzzle,Rondomedia  ,ERS G-Studio  ,,,N/,0.00,N/,0.00,N/,07th Oct 15  ,22nd Sep 18
23333,Samantha Swift and the Hidden Roses of Athena,PC,08,Adventure,Mumbo Jumbo  ,MumboJumbo  ,,,N/,0.00,N/,0.00,N/,08th Oct 08  ,
23334,Jolly Rover,PC,10,Adventure,Unknown  ,Brawsome  ,,,N/,0.00,N/,0.00,N/,07th Jun 10  ,
