Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date,Last_Update
52901,Voodoo Whisperer Curse of a Legend,PC,14,Misc,Strategy First  ,Unknown  ,,,N/,N/,N/,N/,N/,08th Apr 14  ,
52902,Vorpal,XBL,10,Shooter,Microsoft  ,Abraham Morales  ,,,N/,N/,N/,N/,N/,30th Dec 10  ,
52903,Vortex,SNES,94,Shooter,Electro Brain  ,Argonaut Games  ,,,N/,N/,N/,N/,N/,01st Sep 94  ,
52904,Voxatron,PC,,Action,Unknown  ,Lexaloffle Games  ,,,N/,N/,N/,N/,N/,,
52905,Voyage Century,PC,06,Role-Playing,IGG  ,Snail Game  ,,,N/,N/,N/,N/,N/,22nd Dec 06  ,
52906,Voyage: Inspired by Jules Verne,PC,05,Adventure,The Adventure Company  ,Kheops Studio  ,,,N/,N/,N/,N/,N/,18th Aug 05  ,
52907,Voyage: Journey to the Moon,PC,05,Action,Meridian4  ,Unknown  ,,,N/,N/,N/,N/,N/,16th Aug 05  ,19th Jul 18
52908,VR Golf '97,SAT,96,Sports,Interplay  ,VR Sports  ,,,N/,N/,N/,N/,N/,01st Jan 96  ,
52909,VR Soccer,SAT,96,Sports,Gremlin Interactive Ltd  ,Gremlin Interactive  ,,,N/,N/,N/,N/,N/,01st Jan 96  ,
52910,VR Sports Powerboat Racing,PC,,Racing,Unknown  ,Promethean Designs  ,,,N/,N/,N/,N/,N/,,
52911,VR Stalker,3DO,94,Action,American Laser Games  ,Morpheus Interactive  ,,,N/,N/,N/,N/,N/,01st Jan 94  ,
52912,VR Troopers,GG,95,Fighting,Sega  ,Syrox Developments  ,,,N/,N/,N/,N/,N/,01st Jan 95  ,
52913,VR Troopers,GEN,95,Fighting,Sega  ,Syrox Developments  ,,,N/,N/,N/,N/,N/,01st Jan 95  ,
52914,VR Virtua Racing,SAT,95,Racing,Time Warner Interactive  ,Sega-AM2  ,,,N/,N/,N/,N/,N/,01st Jun 95  ,
52915,VRC PRO,PC,15,Racing,Virtual Racing Industries Ltd.  ,Virtual Racing Industries Ltd.  ,,,N/,N/,N/,N/,N/,24th Mar 15  ,
52916,VS-robo,3DS,,Action,Unknown  ,Rocket Company  ,,,N/,N/,N/,N/,N/,,
52917,VT Tennis,DSiW,10,Sports,Virtual Toys  ,Virtual Toys  ,,4.0  ,N/,N/,N/,N/,N/,01st Mar 10  ,
52918,VT Tennis,PSN,10,Sports,Virtual Toys  ,Virtual Toys  ,,,N/,N/,N/,N/,N/,25th May 10  ,
52919,Vulcanus: Seek & Destroy,PSP,06,Action,Compile Heart  ,Zepetto  ,,,N/,N/,N/,N/,N/,16th Nov 06  ,
52920,Vulture Attack,2600,,Shooter,Unknown  ,K-Tel Vision  ,,,N/,N/,N/,N/,N/,,
52921,VVVVVV,3DS,11,Platform,Unknown  ,Nicalis  ,,,N/,N/,N/,N/,N/,29th Dec 11  ,
52922,W Ring: The Double Rings,PCE,90,Shooter,Naxat Soft  ,Naxat Soft  ,,,N/,N/,N/,N/,N/,28th Sep 90  ,
52923,W. L. O. Sekai Renai Kikou,PC,09,Adventure,Akabee Soft 2  ,Akabee Soft 2  ,,,N/,N/,N/,N/,N/,26th Mar 09  ,
52924,W. L. O. Sekai Renai Kikou LLS: Love Love Show,PC,09,Adventure,Akabee Soft 2  ,Akabee Soft 2  ,,,N/,N/,N/,N/,N/,24th Sep 09  ,
52925,W.I.T.C.H.,GBA,06,Action,Disney Interactive Studios  ,Climax  ,,,N/,N/,N/,N/,N/,15th Sep 06  ,
52926,Wabbit,2600,82,Action,Apollo  ,Apollo  ,,,N/,N/,N/,N/,N/,01st Jan 82  ,
52927,Wachenröder,SAT,98,Role-Playing,Sega  ,Sega  ,,,N/,N/,N/,N/,N/,06th Aug 98  ,
52928,Wacky Karts,XBL,09,Racing,Microsoft  ,KrollWare LLC  ,,,N/,N/,N/,N/,N/,20th Aug 09  ,
52929,Wacky Land Boss,PS3,,Action,Unknown  ,Fair Play Labs  ,,,N/,N/,N/,N/,N/,,
52930,Wacky Races,DC,00,Racing,Infogrames  ,Infogrames  ,,,N/,N/,N/,N/,N/,26th Jun 00  ,
52931,Wacky Races,NES,92,Platform,Atlus  ,Atlus Co.  ,,,N/,N/,N/,N/,N/,01st May 92  ,
52932,Wacky Races,GB,00,Racing,Infogrames  ,Velez & Dubail  ,,,N/,N/,N/,N/,N/,09th Jun 00  ,
52933,Wacky Races,PS,01,Racing,Infogrames  ,Appaloosa Interactive  ,,,N/,N/,N/,N/,N/,19th Oct 01  ,
52934,Wacky Races,PC,00,Racing,Infogrames  ,Appaloosa Interactive  ,,,N/,N/,N/,N/,N/,01st Jan 00  ,
52935,Wacky Races / Bugs Bunny & Taz: Time Busters,PS,02,Misc,Infogrames  ,Various  ,,,N/,N/,N/,N/,N/,22nd Nov 02  ,
52936,Wacky Races starring Dastardly & Muttley,PS2,01,Racing,Infogrames  ,Infogrames  ,,,N/,N/,N/,N/,N/,29th Jun 01  ,
52937,Wacky Water Fun: Shooting Gallery,XBL,09,Shooter,Microsoft  ,North Squard  ,,,N/,N/,N/,N/,N/,15th Aug 09  ,
52938,Wacky Wheels,PC,94,Racing,Apogee  ,Beavis-Soft  ,,,N/,N/,N/,N/,N/,17th Oct 94  ,
52939,Wacky Worlds Creativity Studio,GEN,94,Misc,Sega  ,HeadGames  ,,,N/,N/,N/,N/,N/,20th Jul 94  ,
52940,Wackylands Boss,PSN,11,Action,Creat Studio  ,Fair Play Labs  ,,,N/,N/,N/,N/,N/,01st Feb 11  ,
52941,Waga Ryuu o Miyo: Pride of the Dragon Peace,PS2,04,Role-Playing,Sony Computer Entertainment  ,SCEI  ,,,N/,N/,N/,N/,N/,28th Oct 04  ,
52942,Wagamama * Fairy: Mirumo de Pon! DokiDoki Memorial Panic,GBA,05,Adventure,Konami  ,Jupiter Multimedia  ,,,N/,N/,N/,N/,N/,08th Sep 05  ,
52943,Wagamama * Fairy: Mirumo de Pon! Hachinin no Toki no Yousei,GBA,03,Adventure,Konami  ,Jupiter Multimedia  ,,,N/,N/,N/,N/,N/,11th Dec 03  ,
52944,Wagamama * Fairy: Mirumo de Pon! Mirumo no Mahou Gakkou Monogatari,PS,03,Adventure,Konami  ,Jupiter Corporation  ,,,N/,N/,N/,N/,N/,20th Mar 03  ,
52945,Wagamama * Fairy: Mirumo de Pon! Nazo no Kagi to Shinjitsu no Tobira,GBA,04,Adventure,Konami  ,Jupiter Multimedia  ,,,N/,N/,N/,N/,N/,16th Dec 04  ,
52946,Wagamama * Fairy: Mirumo de Pon! Ougon Maracas no Densetsu,GBA,02,Adventure,Konami  ,Jupiter Multimedia  ,,,N/,N/,N/,N/,N/,19th Dec 02  ,
52947,Wagamama * Fairy: Mirumo de Pon! Taisen Mahoudama,GBA,03,Puzzle,Konami  ,Konami  ,,,N/,N/,N/,N/,N/,11th Sep 03  ,
52948,Wagamama * Fairy: Mirumo de Pon! Yume no Kakera,GBA,04,Adventure,Konami  ,Jupiter Multimedia  ,,,N/,N/,N/,N/,N/,15th Jul 04  ,
52949,Wagyan Land,NES,89,Action,Namco  ,Namco  ,,,N/,N/,N/,N/,N/,09th Feb 89  ,
52950,Wagyan Land,GG,91,Action,Namco  ,Namco  ,,,N/,N/,N/,N/,N/,26th Jul 91  ,
52951,Wagyan Land 2,NES,90,Action,Namco  ,Namco  ,,,N/,N/,N/,N/,N/,14th Dec 90  ,
52952,Wagyan Land 3,NES,92,Action,Namco  ,Namco  ,,,N/,N/,N/,N/,N/,08th Dec 92  ,
52953,Wagyan Paradise,SNES,94,Action,Namco  ,Namco  ,,,N/,N/,N/,N/,N/,16th Dec 94  ,
52954,Wai Wai 3-nin Uchi Mahjong,PS,00,Misc,Hori  ,Hori  ,,,N/,N/,N/,N/,N/,14th Dec 00  ,
52955,Wai Wai Mahjong: Yukai na Jantomi-tachi,PCE,89,Misc,Video System  ,Video System  ,,,N/,N/,N/,N/,N/,19th Jun 89  ,
52956,Wai Wai World 2: SOS!! Paseri Jou,NES,91,Platform,Konami  ,Konami  ,,,N/,N/,N/,N/,N/,05th Jan 91  ,
52957,Waialae Country Club,3DO,94,Sports,Panasonic Interactive Media  ,Tikipod  ,,,N/,N/,N/,N/,N/,01st Jan 94  ,
52958,Waialae Country Club: True Golf Classics,N64,98,Sports,Nintendo  ,Tikipod  ,,,N/,N/,N/,N/,N/,29th Jul 98  ,
52959,Wakeboarding HD,PSN,10,Racing,TikGames   ,Creat Studios  ,,,N/,N/,N/,N/,N/,25th Mar 10  ,
52960,Wakeboarding Unleashed Featuring Shaun Murray,PC,02,Sports,Aspyr  ,Beenox  ,,,N/,N/,N/,N/,N/,22nd Dec 02  ,
52961,WAKEDAS,3DS,13,Misc,CIRCLE Entertainment  ,Unknown  ,,,N/,N/,N/,N/,N/,22nd Aug 13  ,
52962,Wakfu,PC,12,Role-Playing,Square Enix  ,Ankama Studio  ,,,N/,N/,N/,N/,N/,01st Feb 12  ,
52963,Waku Waku 7,SAT,97,Fighting,Sunsoft  ,SunSoft  ,,,N/,N/,N/,N/,N/,20th Jun 97  ,
52964,Waku Waku 7,NG,96,Fighting,SNK  ,SunSoft  ,,,N/,N/,N/,N/,N/,27th Dec 96  ,
52965,Waku Waku 7,VC,10,Fighting,D4 Enterprise  ,SunSoft  ,,,N/,N/,N/,N/,N/,27th Apr 10  ,
52966,Waku Waku Bowling,PS,98,Sports,Coconuts Japan   ,Coconuts Japan  ,,,N/,N/,N/,N/,N/,02nd Apr 98  ,
52967,Waku Waku Derby,PS,97,Sports,KSS  ,KSS  ,,,N/,N/,N/,N/,N/,18th Dec 97  ,
52968,Waku Waku Volley,PS,98,Sports,Athena  ,Athena  ,,,N/,N/,N/,N/,N/,26th Nov 98  ,
52969,Wakugumi: Monochrome Puzzle,DSiW,09,Puzzle,Nintendo  ,Mitchell  ,,,N/,N/,N/,N/,N/,16th Oct 09  ,
52970,Wakusei Koukitai Little Cats,PCFX,97,Simulation,NEC Interchannel   ,NEC  ,,,N/,N/,N/,N/,N/,04th Jul 97  ,
52971,Wakusei Koukitai Little Cats,PS,98,Simulation,Family Soft  ,Family Soft  ,,,N/,N/,N/,N/,N/,25th Jun 98  ,
52972,Wakusei Koukitai Little Cats,PSN,11,Simulation,Family Soft  ,Family Soft  ,,,N/,N/,N/,N/,N/,25th Mar 11  ,
52973,Wakusei Woodstock: Funky Horror Band,SCD,91,Role-Playing,Sega  ,Sega  ,,,N/,N/,N/,N/,N/,20th Dec 91  ,
52974,Walketh,XBL,10,Role-Playing,Microsoft  ,PlayItLoud  ,,,N/,N/,N/,N/,N/,19th Sep 10  ,
52975,Wall Ball,2600,83,Action,Avalon Interactive  ,Avalon Hill  ,,,N/,N/,N/,N/,N/,01st Jan 83  ,
52976,Wall Defender,2600,83,Shooter,Bomb  ,Bomb  ,,,N/,N/,N/,N/,N/,01st Jan 83  ,
52977,Wall Street Kid,NES,90,Simulation,Sofel  ,Sofel  ,,,N/,N/,N/,N/,N/,01st Jun 90  ,
52978,Wallaby!! Usagi no Kuni no Kanagroo Race,PCE,90,Strategy,NCS  ,Tenky  ,,,N/,N/,N/,N/,N/,14th Dec 90  ,
52979,Wallaby!! Usagi no Kuni no Kanagroo Race,VC,09,Strategy,Hudson Soft  ,Tenky  ,,,N/,N/,N/,N/,N/,24th Feb 09  ,
52980,Wallace & Gromit in Project Zoo,PC,03,Platform,BAM! Entertainment  ,Frontier Developments  ,,,N/,N/,N/,N/,N/,31st Oct 03  ,
52981,Wallace & Gromit's Grand Adventures Episode 1: Fright of the Bumblebees,PC,09,Adventure,Telltale Games  ,Telltale Games  ,7.0  ,,N/,N/,N/,N/,N/,24th Mar 09  ,
52982,Wallace & Gromit's Grand Adventures Episode 1: Fright of the Bumblebees,XBL,09,Adventure,Telltale Games  ,Telltale Games  ,,,N/,N/,N/,N/,N/,27th May 09  ,
52983,Wallace & Gromit's Grand Adventures Episode 2: The Last Resort,PC,09,Adventure,Telltale Games  ,Telltale Games  ,6.8  ,,N/,N/,N/,N/,N/,06th May 09  ,
52984,Wallace & Gromit's Grand Adventures Episode 2: The Last Resort,XBL,09,Adventure,Telltale Games  ,Telltale Games  ,6.8  ,,N/,N/,N/,N/,N/,04th Nov 09  ,
52985,Wallace & Gromit's Grand Adventures Episode 3: Muzzled!,PC,09,Adventure,Telltale Games  ,Telltale Games  ,7.3  ,8.0  ,N/,N/,N/,N/,N/,16th Jun 09  ,
52986,Wallace & Gromit's Grand Adventures Episode 3: Muzzled!,XBL,09,Adventure,Telltale Games  ,Telltale Games  ,7.3  ,,N/,N/,N/,N/,N/,04th Nov 09  ,
52987,Wallace & Gromit's Grand Adventures Episode 4: The Bogey Man,PC,09,Adventure,Telltale Games  ,Telltale Games  ,,,N/,N/,N/,N/,N/,29th Jul 09  ,
52988,Wallace & Gromit's Grand Adventures Episode 4: The Bogey Man,XBL,09,Adventure,Telltale Games  ,Telltale Games  ,,,N/,N/,N/,N/,N/,04th Nov 09  ,
52989,Wally Bear and the No! gang,NES,92,Action,American Video Entertainment  ,"American Game Cartridges, Inc.  ",,,N/,N/,N/,N/,N/,01st Jan 92  ,
52990,Walt Disney Pictures Presents Enchanted: Once Upon Andalasia,GBA,07,Platform,Disney Interactive Studios  ,Artificial Mind and Movement  ,,,N/,N/,N/,N/,N/,15th Nov 07  ,
52991,Walt Disney Pictures Presents The Santa Clause 3: The Escape Clause,GBA,06,Platform,Buena Vista  ,1st Playable Productions  ,,,N/,N/,N/,N/,N/,19th Oct 06  ,
52992,Walt Disney Pictures Presents: Dinosaur,GB,00,Adventure,Ubisoft  ,Digital Eclipse  ,,,N/,N/,N/,N/,N/,19th May 00  ,
52993,Walt Disney World Quest: Magical Racing Tour,DC,00,Racing,Eidos Interactive  ,Crystal Dynamics  ,,,N/,N/,N/,N/,N/,19th Jul 00  ,
52994,Walt Disney World Quest: Magical Racing Tour,GB,00,Racing,Activision  ,Prolific  ,,,N/,N/,N/,N/,N/,07th Dec 00  ,
52995,Walt Disney World Quest: Magical Racing Tour,PC,01,Racing,Disney Interactive Studios  ,Crystal Dynamics  ,,,N/,N/,N/,N/,N/,24th Jan 01  ,
52996,Walt Disney's Alice in Wonderland,GB,00,Platform,Nintendo  ,Digital Eclipse  ,,,N/,N/,N/,N/,N/,04th Oct 00  ,
52997,Walt Disney's The Jungle Book,SNES,94,Platform,Virgin Interactive  ,Virgin Interactive  ,,,N/,N/,N/,N/,N/,01st Aug 94  ,
52998,Walt Disney's The Jungle Book,GG,94,Platform,Virgin Interactive  ,Syrox Developments  ,,,N/,N/,N/,N/,N/,01st Jan 94  ,
52999,Walt Disney's The Jungle Book,MS,93,Platform,Virgin Interactive  ,Syrox Developments  ,,,N/,N/,N/,N/,N/,01st Jan 93  ,
53000,Walt Disney's The Jungle Book: Mowgli's Wild Adventure,GB,00,Platform,Ubisoft  ,Ubisoft  ,,,N/,N/,N/,N/,N/,20th Nov 00  ,
