Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date,Last_Update
44101,Puzzle Bobble,WS,99,Puzzle,Sunsoft  ,Taito Corporation  ,,,N/,N/,N/,N/,N/,01st Jul 99  ,
44102,Puzzle Bobble,PC,99,Puzzle,Interplay  ,Taito Corporation  ,,,N/,N/,N/,N/,N/,01st Jan 99  ,
44103,Puzzle Bobble 2X & Space Invaders,SAT,97,Misc,Taito  ,Taito Corporation  ,,,N/,N/,N/,N/,N/,04th Apr 97  ,
44104,Puzzle Bobble DS,DS,05,Puzzle,Taito  ,Lancarse  ,,,N/,N/,N/,N/,N/,25th Aug 05  ,
44105,Puzzle Bobble Pocket,PSP,04,Puzzle,Taito  ,Taito Corporation  ,,,N/,N/,N/,N/,N/,22nd Dec 04  ,
44106,Puzzle Bobble VS,NGage,03,Puzzle,Taito  ,Taito Corporation  ,,2.2  ,N/,N/,N/,N/,N/,06th Oct 03  ,
44107,Puzzle Bots,PC,10,Adventure,Wadjet Eye Games  ,Wadjet Eye Games  ,7.0  ,,N/,N/,N/,N/,N/,10th May 10  ,
44108,Puzzle Boy,PCE,91,Puzzle,Nippon Telenet  ,Atlus Co.  ,,,N/,N/,N/,N/,N/,22nd Feb 91  ,
44109,Puzzle Challenge: Crosswords and More!,PSN,09,Puzzle,Crave Entertainment  ,Supersonic Software  ,,,N/,N/,N/,N/,N/,30th Sep 09  ,
44110,Puzzle Chronicles,PC,10,Puzzle,Konami  ,Infinite Interactive  ,,,N/,N/,N/,N/,N/,22nd Apr 10  ,
44111,Puzzle Chronicles,PSN,10,Puzzle,Konami  ,Infinite Interactive  ,,,N/,N/,N/,N/,N/,22nd Apr 10  ,
44112,Puzzle Chronicles,XBL,10,Puzzle,Konami  ,Infinite Interactive  ,,,N/,N/,N/,N/,N/,21st Apr 10  ,
44113,Puzzle Chronicles,DSiW,10,Puzzle,Konami  ,Konami  ,,,N/,N/,N/,N/,N/,02nd Feb 10  ,
44114,Puzzle Chronicles (PSP),PSN,10,Puzzle,Konami  ,Infinite Interactive  ,,,N/,N/,N/,N/,N/,18th Feb 10  ,
44115,Puzzle City,PC,08,Puzzle,eGames  ,eGames  ,,,N/,N/,N/,N/,N/,13th Jun 08  ,
44116,Puzzle DeFusion,XBL,08,Puzzle,Microsoft  ,rebotz  ,,,N/,N/,N/,N/,N/,23rd Dec 08  ,
44117,Puzzle Dimension,PC,10,Puzzle,Unknown  ,Doctor Entertainment  ,8.0  ,,N/,N/,N/,N/,N/,21st Jun 10  ,
44118,Puzzle Dimension,PSN,11,Puzzle,Unknown  ,Doctor Entertainment  ,,8.0  ,N/,N/,N/,N/,N/,28th Jun 11  ,
44119,Puzzle Fever,DSiW,11,Puzzle,Korner Entertainment  ,Korner Entertainment SL  ,,,N/,N/,N/,N/,N/,14th Jul 11  ,
44120,Puzzle Guild: The Dragon War,And,14,Puzzle,Unknown  ,Unknown  ,,,N/,N/,N/,N/,N/,28th Aug 14  ,
44121,Puzzle Guzzle,PSN,11,Puzzle,Agetec  ,Irem Software Engineering  ,,,N/,N/,N/,N/,N/,19th Apr 11  ,
44122,Puzzle Iroiro: Gekkan Crossword House Vol. 1,DSiW,09,Puzzle,Nintendo  ,Nintendo  ,,,N/,N/,N/,N/,N/,27th May 09  ,
44123,Puzzle Iroiro: Gekkan Crossword House Vol. 2,DSiW,09,Puzzle,Nintendo  ,Nintendo  ,,,N/,N/,N/,N/,N/,01st Jul 09  ,
44124,Puzzle Iroiro: Gekkan Crossword House Vol. 3,DSiW,09,Puzzle,Nintendo  ,Nintendo  ,,,N/,N/,N/,N/,N/,29th Jul 09  ,
44125,Puzzle Iroiro: Gekkan Crossword House Vol. 4,DSiW,09,Puzzle,Nintendo  ,Nintendo  ,,,N/,N/,N/,N/,N/,02nd Sep 09  ,
44126,Puzzle Iroiro: Gekkan Crossword House Vol. 5,DSiW,09,Puzzle,Nintendo  ,Nintendo  ,,,N/,N/,N/,N/,N/,30th Sep 09  ,
44127,Puzzle Iroiro: Gekkan Crossword House Vol. 6,DSiW,09,Puzzle,Nintendo  ,Nintendo  ,,,N/,N/,N/,N/,N/,28th Oct 09  ,
44128,Puzzle League Express,DSiW,09,Puzzle,Nintendo  ,Intelligent Systems  ,,,N/,N/,N/,N/,N/,31st Aug 09  ,
44129,Puzzle Mania,PS,99,Puzzle,Human Entertainment  ,Human Club  ,,,N/,N/,N/,N/,N/,25th Feb 99  ,
44130,Puzzle Mania 2,PS,99,Puzzle,Human Entertainment  ,Human Club  ,,,N/,N/,N/,N/,N/,25th Mar 99  ,
44131,Puzzle Maniacs,PS2,06,Puzzle,505 Games  ,HuneX  ,,,N/,N/,N/,N/,N/,01st Mar 06  ,
44132,Puzzle Mate: Crossword Mate,DS,08,Puzzle,Compile Heart  ,Compile Heart  ,,,N/,N/,N/,N/,N/,17th Apr 08  ,
44133,Puzzle Mate: Nanpure Mate,DS,08,Puzzle,Compile Heart  ,Compile Heart  ,,,N/,N/,N/,N/,N/,17th Apr 08  ,
44134,Puzzle Mate: Oekaki Mate,DS,08,Puzzle,Compile Heart  ,Compile Heart  ,,,N/,N/,N/,N/,N/,17th Apr 08  ,
44135,Puzzle Nintama Rantarou: Ninjutsu Gakuen Puzzle no Maki,SNES,96,Puzzle,Culture Brain  ,Culture Brain  ,,,N/,N/,N/,N/,N/,28th Jun 96  ,
44136,Puzzle Pandemonium,XBL,09,Puzzle,Microsoft  ,Sondogg Software  ,,,N/,N/,N/,N/,N/,20th Feb 09  ,
44137,Puzzle Quest 2,XBL,10,Puzzle,D3 Publisher  ,Infinite Interactive  ,,,N/,N/,N/,N/,N/,30th Jun 10  ,
44138,Puzzle Quest 2,PC,10,Puzzle,Namco Networks America  ,Infinite Interactive  ,,,N/,N/,N/,N/,N/,12th Aug 10  ,
44139,Puzzle Quest 2,PSP,,Puzzle,Unknown  ,Infinite Interactive  ,,,N/,N/,N/,N/,N/,,
44140,Puzzle Quest 2,PSN,,Puzzle,Unknown  ,Infinite Interactive  ,,,N/,N/,N/,N/,N/,,
44141,Puzzle Quest: Challenge of the Warlords,XBL,07,Puzzle,D3 Publisher  ,Infinite Interactive  ,,9.1  ,N/,N/,N/,N/,N/,10th Oct 07  ,
44142,Puzzle Quest: Challenge of the Warlords,PSN,08,Puzzle,D3 Publisher  ,Vicious Cycle  ,,,N/,N/,N/,N/,N/,09th Oct 08  ,
44143,Puzzle Quest: Challenge of the Warlords,PC,07,Puzzle,D3 Publisher  ,Infinite Interactive  ,,8.6  ,N/,N/,N/,N/,N/,10th Oct 07  ,
44144,Puzzle Quest: Challenge of the Warlords,DSiW,11,Puzzle,Unknown  ,1st Playable Productions  ,,,N/,N/,N/,N/,N/,23rd May 11  ,
44145,Puzzle Quest: Challenge of the Warlords,3DS,11,Misc,D3Publisher  ,Unknown  ,,,N/,N/,N/,N/,N/,23rd May 11  ,
44146,Puzzle Quest: Challenge of the Warlords (PSP),PSN,08,Puzzle,D3 Publisher  ,Vicious Cycle  ,,,N/,N/,N/,N/,N/,24th Sep 08  ,
44147,Puzzle Quest: Galactrix,PSN,09,Puzzle,D3 Publisher  ,Infinite Interactive  ,,,N/,N/,N/,N/,N/,07th May 09  ,
44148,Puzzle Quest: Galactrix,XBL,09,Puzzle,D3 Publisher  ,Infinite Interactive  ,,,N/,N/,N/,N/,N/,08th Apr 09  ,
44149,Puzzle Retreat,And,13,Misc,The Voxel Agents  ,Unknown  ,,,N/,N/,N/,N/,N/,31st Jan 13  ,
44150,Puzzle Rocks,DSiW,11,Puzzle,Cinemax  ,Cinemax  ,,5.5  ,N/,N/,N/,N/,N/,03rd Jun 11  ,
