Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date,Last_Update
32701,Family Feud,GBA,06,Misc,Global Star Software  ,Ingram Entertainment  ,,,N/,N/,N/,N/,N/,12th Oct 06  ,
32702,Family Feud,PC,06,Misc,Global Star Software  ,Ingram Entertainment  ,,,N/,N/,N/,N/,N/,26th Sep 06  ,
32703,Family Feud,GEN,93,Misc,GameTek  ,Eurocom Entertainment Software  ,,,N/,N/,N/,N/,N/,01st Jan 93  ,
32704,Family Feud,PSN,10,Misc,Ludia  ,Ludia Inc.  ,,,N/,N/,N/,N/,N/,06th Jul 10  ,
32705,Family Feud 2,And,14,Misc,Unknown  ,Ludia  ,,,N/,N/,N/,N/,N/,01st Apr 14  ,
32706,Family Feud Collection,PC,09,Misc,iWin   ,iWin  ,,,N/,N/,N/,N/,N/,24th Aug 09  ,
32707,Family Games: Pen & Paper Edition!,WW,10,Misc,Icon Games  ,Icon Games  ,,,N/,N/,N/,N/,N/,13th Dec 10  ,
32708,Family Games: Pen & Paper Edition!,PSN,11,Misc,Icon Games  ,Icon Games  ,,,N/,N/,N/,N/,N/,04th Jan 11  ,
32709,Family Glide Hockey,WW,09,Sports,Arc System Works  ,Arc System Works  ,,,N/,N/,N/,N/,N/,19th Jan 09  ,
32710,Family Go-Kart Racing,WW,10,Racing,Aksys Games  ,Arc System Works  ,,,N/,N/,N/,N/,N/,22nd Feb 10  ,
32711,Family Guy,XB,06,Adventure,2K Games  ,High Voltage Software  ,,,N/,N/,N/,N/,N/,16th Oct 06  ,
32712,Family Guy,PS2,06,Adventure,2K Games  ,High Voltage Software  ,,,N/,N/,N/,N/,N/,16th Oct 06  ,
32713,Family Guy Time Warped,3DS,13,Misc,EnjoyUp Games  ,Unknown  ,,,N/,N/,N/,N/,N/,16th May 13  ,
32714,Family Guy: Back to the Multiverse,PC,12,Action-Adventure,Activision  ,Heavy Iron Studios  ,,,N/,N/,N/,N/,N/,20th Nov 12  ,19th Oct 18
32715,Family Guy: The Quest for Stuff,And,14,Misc,"TinyCo, Inc.  ",Unknown  ,,,N/,N/,N/,N/,N/,10th Apr 14  ,
32716,Family Jockey,GB,91,Sports,Namco  ,Namco  ,,,N/,N/,N/,N/,N/,29th Mar 91  ,
32717,Family Jockey,NES,87,Sports,Namco  ,Namco  ,,,N/,N/,N/,N/,N/,24th Apr 87  ,
32718,Family Jockey 2,GB,93,Sports,Namco  ,Namco  ,,,N/,N/,N/,N/,N/,27th Aug 93  ,
32719,Family Kart 3D,3DS,13,Misc,Arc System Works  ,Unknown  ,,,N/,N/,N/,N/,N/,01st Aug 13  ,
32720,Family Mahjong,NES,87,Misc,Namco  ,Nihon Bussan  ,,,N/,N/,N/,N/,N/,11th Aug 87  ,
32721,Family Mahjong II: Shanghai he no Michi,NES,88,Misc,Namco  ,Nihon Bussan  ,,,N/,N/,N/,N/,N/,25th Nov 88  ,
32722,Family Mini Golf,WW,09,Sports,Aksys Games  ,Arc System Works  ,,,N/,N/,N/,N/,N/,22nd Jun 09  ,
32723,Family Park Tycoon,DS,08,Strategy,Astragon  ,Visual Imagination Software  ,,,N/,N/,N/,N/,N/,17th Nov 08  ,
32724,Family Pirate Party,WW,09,Misc,Aksys Games  ,Arc System Works  ,,,N/,N/,N/,N/,N/,11th May 09  ,
32725,Family Slot Car Racing,WW,09,Racing,Aksys Games  ,Arc System Works  ,,,N/,N/,N/,N/,N/,17th Aug 09  ,
32726,Family Stadium 2003,GC,03,Sports,Namco  ,Namco  ,,,N/,N/,N/,N/,N/,30th May 03  ,
32727,Family Table Tennis,WW,08,Sports,Aksys Games  ,Ars System Works  ,,4.7  ,N/,N/,N/,N/,N/,26th May 08  ,
32728,Family Table Tennis,3DS,13,Misc,Aksys Games  ,Unknown  ,,,N/,N/,N/,N/,N/,26th Sep 13  ,
32729,Family Tennis,NES,87,Sports,Namco  ,Namco  ,,,N/,N/,N/,N/,N/,11th Dec 87  ,
32730,Family Tennis,WW,09,Sports,Aksys Games  ,Arc System Works  ,,,N/,N/,N/,N/,N/,21st Sep 09  ,
32731,Family Tennis Advance,GBA,02,Sports,Namco  ,Namco  ,,,N/,N/,N/,N/,N/,14th Jun 02  ,
32732,Family Trainer: Double Challenge,Wii,09,Sports,Namco Bandai  ,High Horse Entertainment  ,,,N/,N/,N/,N/,N/,06th Nov 09  ,
32733,Family Trainer: Fuuun! Takeshi Shiro 2,NES,88,Sports,Bandai  ,Bandai  ,,,N/,N/,N/,N/,N/,20th Dec 88  ,
32734,Family Trainer: Jogging Race,NES,87,Sports,Bandai  ,Bandai  ,,,N/,N/,N/,N/,N/,28th May 87  ,
32735,Family Trainer: Meiro Daisakusen,NES,87,Misc,Bandai  ,Bandai  ,,,N/,N/,N/,N/,N/,31st Jul 87  ,
32736,Family Trainer: Rairai Kyonshizu: Baby Kyonshii no Amida Daibouken,NES,89,Misc,Bandai  ,Bandai  ,,,N/,N/,N/,N/,N/,26th Jan 89  ,
32737,Family Trainer: Tostugeki! Fuuun Takeshi Shiro,NES,87,Misc,Bandai  ,Bandai  ,,,N/,N/,N/,N/,N/,28th Dec 87  ,
32738,Famista '89 - Kaimaku Han!!,NES,89,Sports,Namco  ,Namco  ,,,N/,N/,N/,N/,N/,28th Jul 89  ,
32739,Famista '90,NES,89,Sports,Namco  ,Namco  ,,,N/,N/,N/,N/,N/,19th Dec 89  ,
32740,Famista '93,NES,92,Sports,Namco  ,Namco  ,,,N/,N/,N/,N/,N/,22nd Dec 92  ,
32741,Famista '94,NES,93,Sports,Namco  ,Namco  ,,,N/,N/,N/,N/,N/,01st Dec 93  ,
32742,Famista 2,GB,92,Sports,Namco  ,Namco  ,,,N/,N/,N/,N/,N/,30th Jul 92  ,
32743,Famista 3,GB,93,Sports,Namco  ,Namco  ,,,N/,N/,N/,N/,N/,29th Oct 93  ,
